,T2M,PRECTOTCORR,DY,MO,YEAR,RH2M,WD50M,WS2M
0,13.28,0.0,1,1,2011,74.94,283.31,0.27
1,13.13,0.0,2,1,2011,83.5,302.0,0.35
2,12.9,1.0,3,1,2011,76.81,97.81,0.41
3,13.48,1.0,4,1,2011,74.31,109.19,0.45
4,13.65,1.0,5,1,2011,69.44,104.0,0.4
5,14.51,1.0,6,1,2011,68.38,147.31,0.42
6,15.34,1.0,7,1,2011,68.5,217.12,0.38
7,15.32,0.0,8,1,2011,73.62,129.44,0.4
8,14.89,0.0,9,1,2011,85.62,224.12,0.38
9,13.99,0.0,10,1,2011,81.06,301.12,0.26
10,13.22,1.0,11,1,2011,71.12,259.31,0.29
11,12.2,1.0,12,1,2011,74.38,272.31,0.29
12,12.16,1.0,13,1,2011,75.31,215.25,0.34
13,11.8,1.0,14,1,2011,68.5,273.25,0.26
14,11.99,1.0,15,1,2011,62.38,241.62,0.32
15,13.19,0.0,16,1,2011,67.56,252.69,0.27
16,11.88,0.0,17,1,2011,84.31,273.06,0.41
17,10.44,0.0,18,1,2011,78.06,192.69,0.33
18,10.21,0.0,19,1,2011,69.81,290.19,0.34
19,10.6,0.0,20,1,2011,64.0,124.94,0.49
20,11.26,1.0,21,1,2011,69.75,174.5,0.41
21,12.61,1.0,22,1,2011,65.12,233.69,0.3
22,12.81,1.0,23,1,2011,64.38,215.94,0.36
23,13.16,1.0,24,1,2011,66.5,214.94,0.45
24,14.08,1.0,25,1,2011,67.06,231.31,0.38
25,15.16,1.0,26,1,2011,63.62,188.94,0.48
26,14.72,1.0,27,1,2011,73.94,292.5,0.3
27,14.37,1.0,28,1,2011,68.44,173.25,0.35
28,14.53,1.0,29,1,2011,64.44,196.31,0.51
29,14.93,1.0,30,1,2011,64.31,199.44,0.44
30,14.94,0.0,31,1,2011,68.25,251.69,0.34
31,14.29,0.0,1,2,2011,73.69,311.56,0.28
32,15.16,1.0,2,2,2011,66.94,132.5,0.29
33,16.09,1.0,3,2,2011,63.69,96.0,0.44
34,17.05,1.0,4,2,2011,54.44,210.0,0.33
35,17.19,1.0,5,2,2011,50.25,186.38,0.34
36,16.55,1.0,6,2,2011,57.5,278.94,0.3
37,15.84,1.0,7,2,2011,67.81,291.0,0.26
38,16.03,1.0,8,2,2011,67.75,284.88,0.3
39,16.21,1.0,9,2,2011,62.62,286.5,0.3
40,16.01,1.0,10,2,2011,53.19,308.75,0.37
41,15.73,1.0,11,2,2011,44.75,283.5,0.36
42,15.01,1.0,12,2,2011,49.81,288.69,0.23
43,15.99,1.0,13,2,2011,53.31,250.12,0.28
44,16.67,1.0,14,2,2011,56.0,269.75,0.27
45,17.27,0.0,15,2,2011,61.62,300.69,0.3
46,18.33,0.0,16,2,2011,67.0,281.94,0.35
47,17.14,0.0,17,2,2011,72.81,281.94,0.34
48,15.4,0.0,18,2,2011,78.31,282.88,0.44
49,15.94,1.0,19,2,2011,64.81,287.5,0.3
50,16.4,1.0,20,2,2011,61.69,263.12,0.38
51,16.9,0.0,21,2,2011,59.81,248.88,0.28
52,16.2,0.0,22,2,2011,65.81,204.31,0.3
53,17.98,1.0,23,2,2011,48.44,246.44,0.33
54,19.17,1.0,24,2,2011,45.44,227.75,0.34
55,18.9,1.0,25,2,2011,52.69,184.06,0.45
56,19.1,1.0,26,2,2011,56.56,286.44,0.31
57,18.5,1.0,27,2,2011,54.38,299.69,0.31
58,17.49,1.0,28,2,2011,49.12,301.19,0.38
59,18.84,1.0,1,3,2011,40.81,159.5,0.39
60,19.69,1.0,2,3,2011,40.94,229.75,0.39
61,19.73,1.0,3,3,2011,43.06,256.38,0.31
62,19.96,1.0,4,3,2011,48.44,294.44,0.35
63,20.21,1.0,5,3,2011,52.94,278.69,0.47
64,19.9,0.0,6,3,2011,57.75,279.81,0.54
65,19.11,1.0,7,3,2011,41.12,276.38,0.48
66,18.08,1.0,8,3,2011,38.88,267.88,0.44
67,19.58,0.0,9,3,2011,42.5,256.88,0.39
68,21.09,1.0,10,3,2011,46.19,272.44,0.46
69,21.34,0.0,11,3,2011,51.5,277.56,0.41
70,19.3,0.0,12,3,2011,69.81,279.88,0.4
71,20.16,0.0,13,3,2011,63.5,264.88,0.25
72,19.85,0.0,14,3,2011,50.69,318.25,0.42
73,21.02,1.0,15,3,2011,46.75,107.62,0.34
74,18.14,0.0,16,3,2011,66.31,124.44,0.4
75,18.97,0.0,17,3,2011,59.94,161.56,0.3
76,18.51,0.0,18,3,2011,68.75,261.69,0.34
77,19.23,0.0,19,3,2011,70.0,249.06,0.4
78,21.61,0.0,20,3,2011,63.31,254.06,0.45
79,21.62,0.0,21,3,2011,63.62,257.62,0.44
80,21.96,0.0,22,3,2011,63.38,278.12,0.38
81,22.43,0.0,23,3,2011,59.69,302.38,0.33
82,22.76,0.0,24,3,2011,55.19,288.19,0.34
83,22.05,0.0,25,3,2011,62.0,286.69,0.44
84,20.96,0.0,26,3,2011,66.25,167.38,0.35
85,21.17,0.0,27,3,2011,63.06,207.56,0.33
86,19.48,0.0,28,3,2011,72.19,110.56,0.38
87,18.51,0.0,29,3,2011,77.94,113.69,0.3
88,19.05,0.0,30,3,2011,79.38,182.0,0.35
89,19.26,0.0,31,3,2011,77.25,220.75,0.39
90,19.85,0.0,1,4,2011,74.12,277.5,0.34
91,20.98,0.0,2,4,2011,66.5,282.94,0.29
92,22.22,0.0,3,4,2011,62.5,211.12,0.32
93,22.92,0.0,4,4,2011,62.19,295.12,0.27
94,22.45,0.0,5,4,2011,63.38,264.38,0.3
95,22.5,1.0,6,4,2011,60.5,298.69,0.35
96,22.03,0.0,7,4,2011,49.0,313.44,0.35
97,23.04,0.0,8,4,2011,47.75,216.81,0.4
98,24.23,0.0,9,4,2011,46.88,225.38,0.34
99,22.33,1.0,10,4,2011,54.06,323.62,0.35
100,23.21,1.0,11,4,2011,50.25,287.06,0.33
101,24.06,1.0,12,4,2011,48.75,293.25,0.3
102,24.72,0.0,13,4,2011,51.94,244.06,0.3
103,23.4,0.0,14,4,2011,63.62,285.69,0.33
104,23.67,0.0,15,4,2011,62.81,291.25,0.44
105,24.16,1.0,16,4,2011,56.69,300.62,0.31
106,24.56,1.0,17,4,2011,55.38,296.75,0.32
107,25.01,0.0,18,4,2011,60.69,252.12,0.27
108,23.26,0.0,19,4,2011,73.81,279.06,0.26
109,22.74,0.0,20,4,2011,76.94,274.56,0.29
110,22.49,0.0,21,4,2011,76.38,276.94,0.38
111,23.28,0.0,22,4,2011,67.44,299.5,0.34
112,21.85,0.0,23,4,2011,66.5,236.06,0.27
113,24.01,0.0,24,4,2011,59.5,277.56,0.24
114,22.38,0.0,25,4,2011,64.56,274.69,0.17
115,23.16,0.0,26,4,2011,60.75,166.25,0.26
116,20.39,0.0,27,4,2011,77.25,133.06,0.23
117,22.28,0.0,28,4,2011,71.62,174.06,0.2
118,23.48,0.0,29,4,2011,67.69,245.06,0.23
119,23.2,0.0,30,4,2011,72.62,256.94,0.21
120,23.91,0.0,1,5,2011,72.0,261.31,0.34
121,23.4,0.0,2,5,2011,73.69,274.88,0.35
122,23.15,0.0,3,5,2011,75.88,288.62,0.4
123,22.88,0.0,4,5,2011,74.0,248.31,0.24
124,23.97,0.0,5,5,2011,66.44,205.19,0.3
125,23.87,0.0,6,5,2011,71.44,227.06,0.29
126,23.83,0.0,7,5,2011,74.75,291.31,0.3
127,24.27,0.0,8,5,2011,72.62,294.88,0.33
128,24.91,0.0,9,5,2011,68.06,300.5,0.4
129,24.65,0.0,10,5,2011,64.88,301.81,0.37
130,24.64,0.0,11,5,2011,70.81,279.75,0.3
131,24.85,0.0,12,5,2011,70.56,289.75,0.3
132,25.44,0.0,13,5,2011,69.44,286.81,0.27
133,25.6,1.0,14,5,2011,70.12,281.69,0.3
134,25.96,0.0,15,5,2011,69.5,295.5,0.26
135,25.65,0.0,16,5,2011,71.25,103.88,0.25
136,26.2,0.0,17,5,2011,69.0,206.81,0.15
137,25.29,0.0,18,5,2011,73.06,236.38,0.23
138,23.96,0.0,19,5,2011,79.94,267.19,0.2
139,21.99,0.0,20,5,2011,87.5,251.44,0.3
140,21.95,0.0,21,5,2011,86.75,235.0,0.26
141,22.82,0.0,22,5,2011,87.94,259.88,0.38
142,23.69,0.0,23,5,2011,87.81,255.56,0.29
143,23.35,0.0,24,5,2011,81.62,278.0,0.32
144,23.69,0.0,25,5,2011,80.56,303.38,0.26
145,24.08,0.0,26,5,2011,80.5,295.25,0.23
146,23.31,0.0,27,5,2011,87.81,279.69,0.24
147,24.05,0.0,28,5,2011,80.06,154.88,0.23
148,22.56,0.0,29,5,2011,93.38,85.94,0.32
149,23.03,0.0,30,5,2011,90.0,215.88,0.35
150,23.42,0.0,31,5,2011,83.44,258.12,0.23
151,23.11,0.0,1,6,2011,81.56,253.06,0.28
152,24.41,0.0,2,6,2011,78.88,298.44,0.23
153,24.42,0.0,3,6,2011,79.94,304.25,0.3
154,24.63,0.0,4,6,2011,80.0,292.06,0.28
155,24.57,0.0,5,6,2011,80.5,297.12,0.31
156,24.44,0.0,6,6,2011,82.56,165.94,0.3
157,23.72,0.0,7,6,2011,88.06,192.94,0.21
158,23.21,0.0,8,6,2011,90.81,106.38,0.23
159,23.2,0.0,9,6,2011,93.31,170.31,0.21
160,23.66,0.0,10,6,2011,89.12,264.81,0.35
161,24.01,0.0,11,6,2011,83.88,275.06,0.3
162,24.08,0.0,12,6,2011,86.25,295.19,0.19
163,24.83,0.0,13,6,2011,84.56,209.25,0.18
164,23.73,0.0,14,6,2011,91.25,109.44,0.25
165,24.19,0.0,15,6,2011,89.44,107.0,0.41
166,23.58,0.0,16,6,2011,93.06,106.44,0.58
167,23.58,0.0,17,6,2011,88.62,106.56,0.61
168,24.88,0.0,18,6,2011,85.25,128.38,0.34
169,25.44,0.0,19,6,2011,81.81,162.81,0.25
170,23.94,0.0,20,6,2011,89.75,292.19,0.24
171,24.01,0.0,21,6,2011,87.19,273.5,0.23
172,24.44,0.0,22,6,2011,86.69,281.38,0.28
173,24.29,0.0,23,6,2011,86.62,274.5,0.28
174,23.71,0.0,24,6,2011,94.62,285.56,0.22
175,25.04,0.0,25,6,2011,85.56,201.69,0.23
176,24.94,0.0,26,6,2011,87.44,162.0,0.22
