YEAR,MO,DY,WS2M,T2M,RH2M,PRECTOTCORR,WD50M,WS10M_RANGE,PS
2011,1,1,2.7,18.03,69.62,0,310.5,3.94,99.57
2011,1,2,1.94,15.34,56.44,0,236.75,2.57,99.83
2011,1,3,1.95,14.05,55.12,0,342.56,1.8,100.03
2011,1,4,2,13.54,58.12,0,342.75,1.86,100.01
2011,1,5,1.93,14.12,51.38,0,296,2.31,99.89
2011,1,6,1.96,13.37,57.5,0,339.94,2.61,100.01
2011,1,7,1.95,14.37,53.56,0,223.38,3.88,99.98
2011,1,8,1.46,14.37,51.94,0,193.06,2.79,99.82
2011,1,9,1.23,16.4,49.81,0,198.81,2.66,99.74
2011,1,10,2.32,14.42,47.25,0,327.12,1.95,99.72
2011,1,11,2.24,12.96,50.62,0,329,2.23,99.76
2011,1,12,1.48,14.19,45.5,0,268.88,2.75,99.72
2011,1,13,1.38,14.85,48.88,0,255.38,2.93,99.8
2011,1,14,1.2,17.29,50.44,0,236.88,2.36,99.83
2011,1,15,1.62,18.33,62.31,0,213.06,4.84,99.87
2011,1,16,3.16,19.03,56.25,0.07,284,3.37,99.52
2011,1,17,1.81,14.69,35.06,0,257.94,5.4,99.7
2011,1,18,1.43,15.4,45.62,0,263.88,2.86,99.74
2011,1,19,1.48,16.39,49.62,0,215.44,2.31,99.65
2011,1,20,1.81,14.76,51.69,0,58.25,1.3,99.98
2011,1,21,1.65,14.75,50,0,176.31,1.65,99.96
2011,1,22,1.53,16.14,48.31,0,263.75,3.91,100.01
2011,1,23,1.38,18.41,48.69,0,242.81,2.57,100.09
2011,1,24,1.19,19.19,50.44,0,228.56,2.58,100.05
2011,1,25,1.02,20.21,52.56,0,229.88,2.81,100.05
2011,1,26,0.95,20.99,57.06,0,117.38,2.24,100.1
2011,1,27,1.33,21.01,59.69,0,204.38,2.21,100.15
2011,1,28,1.3,19.25,51.88,0,76.56,1.41,100.14
2011,1,29,0.9,19.24,55.75,0.28,133.12,2.7,100.02
2011,1,30,1.06,20.69,74,5.32,171.38,2.71,99.98
2011,1,31,2.09,20.73,65.38,0.01,301.81,2.16,99.96
2011,2,1,1.96,19.37,48.81,0,258.56,2.32,100.05
2011,2,2,1.76,18.05,48.19,0,260.12,1.51,100.07
2011,2,3,1.88,18.26,46.81,0,231.31,2.02,100.06
2011,2,4,1.59,19.2,47.75,0,222.25,2.32,99.97
2011,2,5,1.07,19.99,46.81,0,203.75,1.29,99.87
2011,2,6,1.18,20.89,48.62,0,194.94,3.22,99.8
2011,2,7,1.4,21.92,43.38,0,269.12,3.21,99.62
2011,2,8,1.4,22.73,41.25,0,282.5,3.41,99.33
2011,2,9,2.32,21.76,46.12,0,325.19,2.49,99.36
2011,2,10,2.01,21.09,41.19,0,249.94,1.72,99.66
2011,2,11,1.84,21.15,44.5,0,278.31,2.3,99.77
2011,2,12,1.8,21.16,40.56,0,321.56,2.01,99.65
