YEAR,MO,DY,WS2M,T2M,RH2M,PRECTOTCORR,WD50M,WS10M_RANGE,PS
2011,1,1,2.06,17.43,81.31,0,289.94,2.99,100.87
2011,1,2,1.94,15.51,68.25,0,298.12,2.62,101.16
2011,1,3,1.86,13.74,62.94,0,254.5,1.66,101.34
2011,1,4,2.03,13.41,70.62,0,342.19,1.27,101.3
2011,1,5,2.04,13.99,63.12,0,333.69,2.36,101.19
2011,1,6,2,13.54,64.81,0,336.88,2.33,101.31
2011,1,7,2.09,14.33,65.44,0,232,4.16,101.27
2011,1,8,1.74,14.09,63.56,0,274.44,2.26,101.14
2011,1,9,1.75,15.89,60.62,0,206.25,1.7,101.05
2011,1,10,2.16,13.94,56.5,0,318,2.38,101.02
2011,1,11,2.02,12.64,59.94,0,331.56,1.97,101.07
2011,1,12,1.21,13.82,51.62,0,300.62,3.23,101.05
2011,1,13,1.16,14.57,50.19,0,294.75,2.73,101.13
2011,1,14,0.77,16.79,52.62,0,225.5,2.27,101.19
2011,1,15,1.05,17.3,66.62,0,184.19,3.05,101.26
2011,1,16,1.93,18.53,74.25,0.4,257.88,4.13,100.84
2011,1,17,1.73,14.83,44.94,0,293.31,4.73,101.02
2011,1,18,1.43,14.85,49.31,0,267.44,2.87,101.1
2011,1,19,1.03,17.25,63.88,0,199,2.52,100.99
2011,1,20,1.85,15.3,64.25,0,92.94,1.32,101.26
2011,1,21,1.73,15.08,58.69,0,169.38,2.52,101.27
2011,1,22,1.28,16.4,52.38,0,185.56,3.56,101.33
2011,1,23,1.14,18.28,49.25,0,260.38,2.45,101.43
2011,1,24,0.91,19.33,51.06,0,222.75,1.78,101.38
2011,1,25,0.9,20.7,53.06,0,170.44,2.25,101.36
2011,1,26,0.95,20.56,59,0,157.5,2,101.43
2011,1,27,1.15,21.31,57,0,145.44,2.09,101.47
2011,1,28,1.7,19.12,57.06,0,101.5,1.95,101.46
2011,1,29,1.08,18.6,55,0,154,2.48,101.35
2011,1,30,0.88,20.59,57.5,0.76,155.69,2.09,101.33
2011,1,31,1.48,20.92,66.12,0.01,280.44,3.04,101.26
2011,2,1,1.98,20.05,48.44,0,307.38,3.76,101.36
2011,2,2,1.77,18.37,50.62,0,193.94,2.19,101.37
2011,2,3,1.93,18.6,53.38,0,237,2.74,101.34
2011,2,4,1.55,19.23,51.5,0,189.38,1.95,101.26
2011,2,5,1,21.16,45.19,0,198.88,1.13,101.17
2011,2,6,1.03,21.33,48.88,0,330,2.16,101.1
2011,2,7,1.21,22.47,45.06,0,285.06,2.98,100.91
2011,2,8,1.61,22.3,48.31,0,273.06,2.42,100.63
2011,2,9,2.07,21.97,48.81,0,315.81,2.09,100.63
2011,2,10,2.04,20.9,40.19,0,246.12,2.27,100.97
2011,2,11,1.76,21.25,41.62,0,269.25,3.59,101.06
2011,2,12,1.65,21.72,36.94,0,319.25,3.23,100.95
