YEAR,MO,DY,WS2M,T2M,RH2M,PRECTOTCORR,WD50M,WS10M_RANGE,PS
2011,1,1,2.27,16.72,69.88,1.39,226.94,5.25,100.48
2011,1,2,2.05,13.75,58.38,0,286.38,2.44,100.69
2011,1,3,1.44,13.37,59.62,0,304.88,1.92,100.94
2011,1,4,2.03,12.09,60,0,292.31,2.22,100.92
2011,1,5,1.85,11.75,64.81,0,286.94,1.7,100.78
2011,1,6,1.8,11.72,62.31,0,289.12,1.55,100.91
2011,1,7,1.46,12.05,59.75,0,295.62,2.39,100.9
2011,1,8,1.16,12.58,49.81,0,271.19,2.77,100.74
2011,1,9,1.54,13.35,48.38,0,287.81,2.45,100.68
2011,1,10,2.73,12.61,53.56,0,284.69,3.34,100.59
2011,1,11,1.96,11.58,55.06,0,289.38,1.58,100.63
2011,1,12,1.63,11.69,51.62,0,288.75,1.34,100.56
2011,1,13,1.04,13.55,48.81,0,292.44,2.19,100.64
2011,1,14,1.18,15.37,47.81,0,245.38,2.3,100.66
2011,1,15,2.03,14.82,58.38,0.03,99.19,2.27,100.78
2011,1,16,2.58,15.87,55.44,0.06,190.38,4.09,100.49
2011,1,17,2.47,12.14,44.62,0,278,3.13,100.51
2011,1,18,1.18,14.11,40.5,0,273.38,3.02,100.59
2011,1,19,1.61,14.38,45.38,0,232.5,3.4,100.58
2011,1,20,0.88,13.8,48.62,0,205.69,2.8,100.92
2011,1,21,1.35,13.65,48.31,0,246.25,3.38,100.86
2011,1,22,1.3,14.68,48.94,0,286.56,1.73,100.86
2011,1,23,1.24,16.35,47.31,0,270.12,3.35,100.95
2011,1,24,0.95,16.58,49,0,173.81,2.46,100.97
2011,1,25,0.97,17.9,45.56,0,241.06,1.95,100.98
2011,1,26,1.43,17.51,49.12,0.15,199.06,2.21,101.07
2011,1,27,2.23,17.09,49.12,0,295.19,2.61,101.09
2011,1,28,1.8,16.42,40.81,0,276,2.22,101.04
2011,1,29,1.46,15.99,43.62,0.01,74.12,2.42,100.95
2011,1,30,1.98,16.4,58.38,0.45,86.38,2.89,100.93
2011,1,31,1.91,18.32,50.62,0,252.62,4.56,100.9
