YEAR,MO,DY,WS2M,T2M,RH2M,PRECTOTCORR,WD50M,WS10M_RANGE,PS
2011,1,1,2.53,17.58,74.25,0.01,296.38,4.77,100.35
2011,1,2,1.98,15.07,58.88,0,331.19,2.76,100.62
2011,1,3,1.95,13.91,57.38,0,338.12,1.88,100.81
2011,1,4,2.14,13.65,61.44,0,338.44,1.7,100.78
2011,1,5,2.05,13.66,55.25,0,331.12,2.48,100.66
2011,1,6,2.01,13.42,59.25,0,332.94,2.79,100.79
2011,1,7,2.04,14.34,56.94,0,273.75,4.11,100.75
2011,1,8,1.5,14.46,52.25,0,273.19,3.15,100.61
2011,1,9,1.49,15.85,50.19,0,263.81,2.43,100.52
2011,1,10,2.47,13.96,49.06,0,323.25,2.18,100.49
2011,1,11,2.2,12.78,54,0,327,2.25,100.54
2011,1,12,1.34,13.95,46.25,0,277.81,3.41,100.5
2011,1,13,1.11,14.44,48.38,0,275.38,2.76,100.59
2011,1,14,0.95,16.84,50.81,0,233.69,2.91,100.62
2011,1,15,1.29,17.26,66.75,0,191.88,2.99,100.69
2011,1,16,2.73,18.12,67.5,0.57,279.25,3.38,100.29
2011,1,17,1.82,14.58,37.75,0,278.88,4.79,100.48
2011,1,18,1.44,14.87,46.38,0,271.19,2.46,100.54
2011,1,19,1.11,16.37,59.06,0,192.12,2.76,100.45
2011,1,20,1.76,14.69,57.69,0,66,1.58,100.77
2011,1,21,1.61,14.82,53.81,0,166,1.89,100.74
2011,1,22,1.28,16.34,46.56,0,200.19,3.46,100.8
2011,1,23,1.16,18.57,45.5,0,241.75,2.02,100.88
2011,1,24,0.98,19.25,49,0,211.5,1.81,100.84
2011,1,25,1.05,20.03,52.69,0,123.88,1.77,100.84
2011,1,26,1.03,20.17,58.12,0,127.56,2.19,100.89
2011,1,27,1.13,21.05,53.88,0,162.62,2.35,100.94
2011,1,28,1.41,18.85,50.5,0,104.62,1.58,100.93
2011,1,29,0.86,18.22,52.12,0,157.62,2.81,100.82
2011,1,30,0.98,19.97,60.06,1.37,147.31,2.25,100.79
2011,1,31,1.7,20.52,62.19,0.01,276.38,3.65,100.74
2011,2,1,1.97,19.55,47.5,0,325.81,2.88,100.83
2011,2,2,1.77,18.13,47.5,0,249.94,1.8,100.85
2011,2,3,1.84,18.39,47,0,279.12,2.06,100.83
2011,2,4,1.48,19.45,46.25,0,213.19,2.08,100.73
2011,2,5,0.73,20.94,43.12,0,206.19,1.04,100.64
2011,2,6,0.93,21.43,45.44,0,291.25,2.56,100.57
2011,2,7,1.23,22.42,41.81,0,329.06,2.43,100.37
2011,2,8,1.46,22.87,40.5,0,306.5,1.81,100.08
2011,2,9,2.38,21.55,44.5,0,317.5,1.98,100.11
2011,2,10,2.2,20.65,38.12,0,320.25,2.17,100.43
2011,2,11,1.94,20.69,41.75,0,320.12,3.21,100.52
2011,2,12,1.76,20.9,38,0,319.44,1.74,100.41
2011,2,13,1.8,20.98,41.06,0,265.69,2.59,100.27
2011,2,14,1.25,22.33,43.69,0,182.31,2.11,100.18
2011,2,15,1.35,24.17,51.94,0,204.12,4.75,100.2
2011,2,16,2.97,24.47,51.5,0.25,210.75,3.65,100.26
2011,2,17,2.55,22.65,59,0.12,299.81,2.59,100.39
2011,2,18,1.52,22.99,53.56,0,257.94,2.7,100.52
2011,2,19,0.79,23.65,58.06,1.41,154.94,1.33,100.71
2011,2,20,1.52,23.84,48.25,0.04,134,2.41,100.77
2011,2,21,2.02,19.83,55.31,0.12,236.88,4.44,100.82
2011,2,22,1.83,21,49.38,0,307.56,2.67,100.77
2011,2,23,2.02,21.57,37.31,0,343.56,2.59,100.74
2011,2,24,1.98,21.8,35.19,0,334.31,2.23,100.56
2011,2,25,1.38,22.79,31.44,0,256.69,3.44,100.34
2011,2,26,1.53,23.1,39.06,0,250.25,2.38,100.44
2011,2,27,2.2,24.23,39.56,0,283.38,3.02,100.67
2011,2,28,2.75,22.78,33.06,0,330.69,2.34,100.72
2011,3,1,2.45,22.44,25.44,0,341.06,2.71,100.55
2011,3,2,2.07,23.43,24.62,0,341.81,1.91,100.42
2011,3,3,1.91,25.54,32.81,0,330.25,2.1,100.38
2011,3,4,1.73,26.71,33.81,0,274.56,1.63,100.3
2011,3,5,1.52,28.02,36.06,0,312.31,3.18,100.24
2011,3,6,3.11,27.97,32.12,0,307.5,4.88,100.39
2011,3,7,3.05,26.36,23.38,0,305.81,3.77,100.44
2011,3,8,3,26.78,24.44,0,303.12,3.69,100.18
2011,3,9,1.8,27.46,30.25,0.18,239.31,2.76,100.22
2011,3,10,1.48,28.68,52.94,4.08,212.44,2.46,100.26
2011,3,11,2.23,27.97,60.56,6.5,205.62,3.3,100.22
2011,3,12,1.84,27.41,52.94,0.62,285.12,2.34,100.3
2011,3,13,0.99,26.04,40.44,0,233.56,2.4,100.37
2011,3,14,1.04,27.19,44.69,0,237.31,2.22,100.28
2011,3,15,1.39,26.29,38.12,0.04,30.88,1.91,100.29
2011,3,16,1.75,26.59,32.69,0,40.12,2.84,100.2
2011,3,17,2.6,26.28,48.19,0,178.69,3.9,100.18
2011,3,18,3.41,27.9,53.12,0,207.19,5.93,99.87
2011,3,19,2.74,28.94,39.88,0,211.88,2.98,99.6
2011,3,20,2.34,29.81,41.31,0,204.75,2.34,99.58
2011,3,21,1.95,29.52,31.25,0,243.81,3.23,99.75
2011,3,22,0.94,29.63,33.06,0,239.81,1.8,100.02
2011,3,23,1.27,29.58,24.75,0,250.5,2.5,100.14
2011,3,24,1.38,29.46,42.06,1.06,215.31,2.93,100.11
2011,3,25,1.49,29.92,44.56,0.22,186.25,4.8,100.16
2011,3,26,1.34,30.23,46.31,1.47,208.19,3.52,100.11
2011,3,27,1.58,29.62,50.19,0.61,161.38,5.03,100.12
2011,3,28,2.24,29.12,52.06,2.11,108.94,4.22,100.15
2011,3,29,1.88,29.16,53.31,0.23,131.5,2.05,100.21
2011,3,30,2.77,29.04,61.5,6.29,168.25,5.06,100.11
2011,3,31,2.18,28.88,59.25,1.7,203.38,2.28,100.07
2011,4,1,1.34,28.89,45.06,0,179.19,2.02,100.12
2011,4,2,1.45,29.31,55,0.1,170.94,3.48,100.11
2011,4,3,2.27,29.65,59.81,1.62,153.5,3.08,100.1
2011,4,4,2.83,29.51,62.19,5.27,167.06,2.91,100.07
2011,4,5,0.92,28.25,63.75,5.01,103,0.95,100.35
2011,4,6,1.51,28.88,46.94,0,220.94,1.2,100.28
2011,4,7,1.33,28.8,24.69,0,224.69,3.28,100.27
2011,4,8,1.69,29.44,44,0,210.19,3.38,100.17
2011,4,9,1.25,29.84,35.62,0,113.62,3,100.28
2011,4,10,0.99,30.54,37,0,62.06,2.03,100.45
2011,4,11,1.25,31.6,38.06,0.78,226.5,2.45,100.23
2011,4,12,1.3,30.72,44.81,6.2,219.38,2.82,100.13
2011,4,13,1.74,31.62,41.5,0,230.06,5.78,100.13
