YEAR,MO,DY,WS2M,T2M,RH2M,PRECTOTCORR,WD50M,WS10M_RANGE,PS
2011,1,1,0.47,14.33,86.69,0.27,240,1.84,96.4
2011,1,2,0.4,13.72,87.44,0.01,257.31,1.76,96.75
2011,1,3,0.5,12.78,85.06,0,115.62,0.76,96.94
2011,1,4,0.46,13.21,81.31,0,113.44,1.62,96.84
2011,1,5,0.48,13.95,76.44,0,162.44,2.26,96.67
2011,1,6,0.56,14.49,77.69,0,130.25,1.73,96.79
2011,1,7,0.52,15.05,75.69,0,169.94,1.71,96.79
2011,1,8,0.66,14.69,77.5,0,177,1.98,96.65
2011,1,9,0.49,15.05,76.5,0.11,223.06,1.97,96.57
2011,1,10,0.44,13.9,82.44,0,255.31,1.8,96.49
2011,1,11,0.45,12.45,79.62,0,227.81,2.14,96.56
2011,1,12,0.43,12.12,79.31,0,241.25,1.55,96.58
2011,1,13,0.42,11.76,82.38,0,212.06,1.38,96.65
2011,1,14,0.52,11.51,78.69,0,179.81,1.28,96.82
2011,1,15,0.48,11.9,80.56,0,214.69,1.59,96.92
2011,1,16,0.38,12.74,83.69,1.55,228.81,1.48,96.44
2011,1,17,0.57,12.45,84.56,0.33,246.5,1.86,96.47
2011,1,18,0.41,11.02,80.62,0.32,205.19,2.3,96.64
2011,1,19,0.61,11.62,74.19,0.22,212.44,2.66,96.66
2011,1,20,0.52,11.26,81.94,0.23,170.25,2.17,96.97
2011,1,21,0.51,12.16,76.62,0,194.5,1.8,96.82
2011,1,22,0.47,12.07,80.44,0,218.69,1.83,96.9
2011,1,23,0.48,12.74,79.06,0,203,1.17,97.05
2011,1,24,0.48,13.09,80.75,0,200.38,2.02,97.04
2011,1,25,0.47,14.1,78.75,0,219.19,1.77,97.02
2011,1,26,0.45,14.38,80.75,0,195.06,1.31,97.07
2011,1,27,0.55,15.18,78.38,0,229.56,2.31,97.05
2011,1,28,0.55,14.11,75,0,160.12,1.72,97.1
2011,1,29,0.6,13.97,78.19,0,141.88,2.22,97.01
2011,1,30,0.58,15.14,71.56,0,164.75,2.05,96.98
2011,1,31,0.61,15.05,75.06,0,221.62,1.86,96.89
2011,2,1,0.48,15.3,79.75,0,201.19,1.46,96.97
2011,2,2,0.55,15.06,79.75,0,111.75,2.13,97
2011,2,3,0.7,15.54,75.69,0,104,1.5,96.94
2011,2,4,0.58,16.44,70.38,0,201.06,1.7,96.82
2011,2,5,0.53,16.46,68.31,0,166.88,1.72,96.81
2011,2,6,0.51,16.33,75.69,0,230.12,1.73,96.74
2011,2,7,0.45,16.83,78.44,0,237.44,2.29,96.54
2011,2,8,0.62,17.31,73.75,0,222.12,1.9,96.28
2011,2,9,0.51,17.27,70.12,0,225.88,2.65,96.24
2011,2,10,0.56,16.52,64.31,0,232.44,1.73,96.61
2011,2,11,0.52,15.64,69.31,0,211.19,1.59,96.68
