YEAR,MO,DY,WS2M,T2M,RH2M,PRECTOTCORR,WD50M,WS10M_RANGE,PS
2011,1,1,1.66,15.82,78.25,3.33,183.12,3.66,100.48
2011,1,2,1.92,14.05,69.5,0.18,280,2.47,100.72
2011,1,3,0.83,14.34,61.12,0,205.12,2.1,100.97
2011,1,4,1.36,13.26,66.94,0,290.38,2.54,100.92
2011,1,5,1.42,12.48,68.44,0,283.5,1.22,100.8
2011,1,6,1.43,12.49,68.06,0,284.69,1.84,100.92
2011,1,7,1.28,13.03,63.75,0,287.62,2.53,100.91
2011,1,8,1.15,13.87,60.81,0,229.12,2.98,100.75
2011,1,9,1.38,14.65,55.81,0,286.62,2.51,100.68
2011,1,10,2.29,12.69,59.31,0,279.25,2.43,100.57
2011,1,11,1.28,12.01,60.94,0,283.19,2.06,100.63
2011,1,12,1.19,12.26,53.94,0,276.69,1.97,100.62
2011,1,13,0.77,12.33,54.19,0,142,1.24,100.73
2011,1,14,0.65,13.32,57.69,0,181.06,2.93,100.77
2011,1,15,2.06,13.23,71.94,0,85.62,2.83,100.93
2011,1,16,1.66,15.58,69.94,0.26,149,3.43,100.51
2011,1,17,2.67,12.52,56.06,0,273.5,3.77,100.52
2011,1,18,0.74,13.56,47.88,0,178.56,2.05,100.67
2011,1,19,1.23,13.84,49.5,0,174.56,2.03,100.65
2011,1,20,1.12,13.61,55.31,0,149,2.46,101
2011,1,21,1.06,13.12,57.12,0,192.75,1.7,100.92
2011,1,22,0.69,13.94,55.19,0,198.25,2.3,100.94
2011,1,23,0.74,14.89,57,0,152.88,1.61,101.05
2011,1,24,1.03,14.6,65.25,0,122.19,2.69,101.07
2011,1,25,0.9,16.56,59.12,0,143.5,2.36,101.06
2011,1,26,1.34,16.56,59.5,0,200.25,2.58,101.13
2011,1,27,2.3,17.29,52.44,0,286.19,3.91,101.08
2011,1,28,1.59,16.57,45.5,0,268.94,2.51,101.08
2011,1,29,1.44,15.48,61.12,0.01,91.31,3.79,101.05
2011,1,30,1.54,16.96,64,0.16,91.25,3.38,101.03
2011,1,31,1.69,18.24,57.75,0,205.94,4.14,100.9
2011,2,1,2.16,16.78,52.19,0,287.88,4.23,100.96
2011,2,2,0.91,17.68,49.25,0,210.88,2.27,101.02
2011,2,3,0.82,18.09,50.25,0,207.69,1.95,100.99
2011,2,4,0.99,18.84,48.75,0,286.38,2.05,100.88
2011,2,5,0.66,19.69,46.12,0,193.81,1.95,100.79
2011,2,6,1.03,19.33,51.88,0,198.06,2.25,100.73
2011,2,7,1.27,19.44,52.75,0,190.38,3.82,100.49
2011,2,8,1.12,19.62,50.25,0,230.19,3.07,100.19
2011,2,9,2.16,19.92,44,0,283.19,5.22,100.19
2011,2,10,2.05,17.8,42.81,0,282.19,3.52,100.53
2011,2,11,1.02,18.62,37.5,0,255.25,2.72,100.65
2011,2,12,0.96,18.69,39.44,0,161.75,2.28,100.55
2011,2,13,1.45,18.73,45.94,0,84.94,3.06,100.47
2011,2,14,1.09,19.68,54.06,0,125.81,2.72,100.38
2011,2,15,1.38,21.82,50.88,0.03,117.25,3.44,100.43
2011,2,16,2.58,23,57.94,7.75,78.75,4.14,100.45
2011,2,17,2.59,20.48,64.31,2.69,182.81,6.2,100.55
2011,2,18,3.22,19.08,51.25,0.02,283.88,4.96,100.6
2011,2,19,1.83,19.75,41.38,0,305.62,3.84,100.89
2011,2,20,1.86,20.2,37.38,0.01,301.38,3.21,100.95
2011,2,21,1.67,18.84,40.88,0.01,290.06,3.41,100.91
2011,2,22,1.5,18.94,42,0.03,197.31,4.03,100.93
2011,2,23,1.27,19.94,42.56,0,287.25,3.26,100.88
2011,2,24,1.56,20.23,39.75,0,288.06,1.98,100.67
2011,2,25,1.64,19.95,38.5,0,233.81,3.88,100.55
2011,2,26,1.62,20.69,45.81,0,289.12,4.87,100.63
2011,2,27,2.86,21.65,40.75,0,296.88,4.3,100.8
2011,2,28,2.8,20.38,35.44,0,287.25,3.24,100.79
2011,3,1,1.12,20.15,34.06,0,213.56,2.62,100.71
2011,3,2,1.29,22.08,34.06,0,218.69,2.95,100.57
2011,3,3,1.41,23.03,38.81,0,209.75,2.27,100.52
2011,3,4,2.98,23.58,42.62,0,301.5,7.22,100.45
2011,3,5,3.8,24.58,40.75,0,278.31,6.45,100.3
2011,3,6,4.55,23.83,30.19,0,277.38,5.89,100.4
2011,3,7,2.36,22.05,28.75,0,291.19,4.56,100.49
2011,3,8,1.7,22.26,35.81,0,242.56,7.09,100.21
2011,3,9,1.44,23.48,37.94,0.07,176.62,3.82,100.34
2011,3,10,1.41,26.34,33.12,0.13,188.5,2.47,100.46
2011,3,11,1.8,26.34,29.06,0.29,269.38,3.98,100.38
2011,3,12,2.59,25.63,29.19,0,296.31,4.39,100.4
2011,3,13,1.85,24.55,28.62,0,283.12,1.95,100.48
2011,3,14,1.19,24.69,28.88,0,112.06,2.35,100.48
2011,3,15,1.43,24.95,41.31,0,77.19,3.13,100.53
2011,3,16,1.46,25.58,33.69,0,187.25,3.84,100.35
2011,3,17,1.99,24.88,37.19,0,105.12,5.23,100.37
2011,3,18,2.13,26.19,49.94,0.02,179.25,4.62,100.02
2011,3,19,1.98,28.29,33.12,0,239.75,7.14,99.62
2011,3,20,2.05,29.07,25.31,0,253.06,6,99.63
2011,3,21,3.66,28.12,20.12,0,278.06,7.29,99.76
2011,3,22,2.11,27.38,17.75,0,275.06,3.37,100.1
2011,3,23,1.17,27.65,16.69,0,153.31,3.86,100.31
2011,3,24,1.84,26.06,23.12,0.01,190.88,4.23,100.3
2011,3,25,1.56,27.85,25.62,0.09,204.31,3.74,100.29
2011,3,26,1.07,28.66,27,0.03,150.25,3.11,100.29
2011,3,27,2.29,27.46,35.19,0.55,88.31,4.54,100.4
2011,3,28,3.45,27.02,45.38,0.41,86.81,2.99,100.48
2011,3,29,3.25,26.77,47.75,0.1,84.75,3.96,100.54
2011,3,30,2.42,26.57,52.06,2.5,112.5,6.38,100.38
2011,3,31,2.12,26.24,51.81,4.51,179,5.02,100.3
2011,4,1,1.3,27.08,35.38,0.12,187.94,3.26,100.25
2011,4,2,1.74,27.19,33.19,0,131,3.47,100.31
2011,4,3,1.72,28.73,36.94,0.59,141.69,4.49,100.25
2011,4,4,1.52,27.76,55.88,7.56,105.94,2.6,100.32
2011,4,5,1.64,27.65,47.12,5.13,197.12,3.44,100.48
2011,4,6,1.7,26.6,33.25,0,275.38,3.87,100.41
2011,4,7,1.32,27.84,23.31,0,227.06,3.29,100.35
2011,4,8,1.58,27.48,24.88,0,151.19,3.09,100.36
2011,4,9,1.75,28.56,27.56,0.02,132.88,3.37,100.52
2011,4,10,1.2,28.49,35.19,0.28,130.81,2.82,100.68
2011,4,11,1.7,29.39,38.75,0.82,150,3.63,100.41
2011,4,12,1.71,29.53,39.5,0.35,133.75,3.87,100.33
2011,4,13,2.34,29.86,39.75,0.7,178.94,3.61,100.33
2011,4,14,1.74,30.54,34.38,1.92,208.94,2.74,100.14
2011,4,15,0.99,30.3,33.94,2.6,196.25,2.07,100.12
2011,4,16,1.16,30.13,36.31,1.27,150.88,2.49,100.23
2011,4,17,1.78,29.73,43,5.15,93.19,3.47,100.25
