YEAR,MO,DY,WS2M,T2M,RH2M,PRECTOTCORR,WD50M,WS10M_RANGE,PS
2011,1,1,1.61,11.65,90.44,0.2,239,3.73,89.79
2011,1,2,0.99,10.69,86.12,0,208.19,2.26,89.9
2011,1,3,0.98,11.4,84.5,0,139.88,2.94,90.02
2011,1,4,1.02,10.4,83.25,0,136.19,2.51,89.95
2011,1,5,1.24,10.59,84.44,0,140.56,1.38,89.86
2011,1,6,1.05,11.2,84.88,0,129.94,2.62,90
2011,1,7,1.17,11.66,79.88,0,150.38,3.02,90
2011,1,8,1.2,12.01,72.88,0,160.06,2.14,89.91
2011,1,9,1.2,13.02,63.75,0,168.5,3.25,89.89
2011,1,10,1.15,11.49,65.12,0,186.12,2.25,89.74
2011,1,11,1.26,8.87,70.44,0,144.06,2.3,89.73
2011,1,12,1.06,9.51,71.19,0,180.31,2.16,89.73
2011,1,13,1.17,8.88,74.69,0,202.88,1.92,89.81
2011,1,14,1.08,10.49,63.56,0,143.69,2.61,89.97
2011,1,15,1.12,10.98,60.44,0,199.94,3.45,90.12
2011,1,16,1.25,10.3,81.62,0.5,233.94,3.54,89.78
2011,1,17,1.34,9.6,76.44,0.05,254.62,2.41,89.71
2011,1,18,1.34,7.85,68.75,0,165.06,3.27,89.82
2011,1,19,1.61,8.1,68.06,0.22,181.31,4.2,89.92
2011,1,20,1.4,9.11,71.94,0.04,182.44,3.3,90.07
2011,1,21,1.24,8.44,80.5,0,168.06,1.89,89.93
2011,1,22,1.2,9.82,72.94,0,185.38,3.13,90.04
2011,1,23,0.83,11.13,69,0,237.25,2.62,90.2
2011,1,24,1.21,11.16,70.12,0,237.81,3.44,90.22
2011,1,25,1.41,12.11,71,0,202.44,2.97,90.28
2011,1,26,1.29,13.1,69.06,0,150.19,2.87,90.33
2011,1,27,1.56,12.99,70.06,0,270.62,4.17,90.36
2011,1,28,1.39,11.15,67.31,0,245.94,2.59,90.3
2011,1,29,1.4,9.76,75.56,0,146.06,1.84,90.17
2011,1,30,1.3,12.28,67.12,0,178.12,3.06,90.2
2011,1,31,1.37,13.62,72.06,0,207.31,4.11,90.16
2011,2,1,1.34,12.05,79.88,0,236.62,3.01,90.2
2011,2,2,1.05,11.98,81.75,0,86.88,2.88,90.14
2011,2,3,1.05,13.15,77.44,0,138.44,2.55,90.14
2011,2,4,1.15,14.24,71.19,0,146.12,2.09,90.08
2011,2,5,0.84,14.01,67.5,0,155.06,1.99,90.04
2011,2,6,0.95,15.33,65.12,0,234.06,2.73,90.02
2011,2,7,1.14,14.74,72.88,0,241.88,3.19,89.88
2011,2,8,1.55,13.86,70.62,0,231.31,3.58,89.71
2011,2,9,1.69,14.12,64,0,244.5,3.13,89.69
2011,2,10,1.34,14.08,48,0,234.88,2.46,89.93
2011,2,11,1.07,13.77,47.69,0,169.5,2.41,89.94
2011,2,12,0.92,13.94,54.25,0,255.19,2.68,89.85
2011,2,13,1.11,13.73,58.06,0,153.56,2.23,89.8
2011,2,14,1.2,14.4,62.12,0,178.94,1.96,89.79
2011,2,15,1.49,15.26,73.12,0,189.31,3.18,89.97
2011,2,16,1.82,14.94,87.94,4.2,181,3.01,90.08
2011,2,17,2.05,14.53,85.81,6.53,212.12,3.58,89.99
2011,2,18,2.21,12.58,76.25,0,264.38,5.3,90.01
2011,2,19,1.48,14.34,65.44,0,246.5,4.04,90.23
2011,2,20,1.5,13.83,71.75,0,249.5,2.05,90.28
2011,2,21,1.26,13.51,61.31,0,164.88,2.28,90.18
2011,2,22,1.48,12.62,67.88,0,126.81,1.01,90.16
2011,2,23,1.17,13.83,59.94,0,153.12,2.01,90.13
2011,2,24,1.2,14.62,62.94,0,145.56,1.66,89.98
2011,2,25,1.13,14.43,64.88,0,120.19,2.5,89.86
2011,2,26,1.43,15.53,62.19,0,160.06,1.84,89.94
2011,2,27,1.77,15.44,59.56,0,250.38,2.45,90.19
2011,2,28,1.12,14.69,51.44,0,245.06,1.91,90.17
2011,3,1,1.27,14.65,56.94,0,129.56,2.79,89.99
