YEAR,MO,DY,WS2M,T2M,RH2M,PRECTOTCORR,WD50M,WS10M_RANGE,PS
2011,1,1,2.23,17.74,80.38,0,293.88,2.58,100.75
2011,1,2,2.02,15.66,67.69,0,213.31,2.94,101.02
2011,1,3,1.84,13.92,63.75,0,207.62,2.17,101.21
2011,1,4,2.05,13.36,69.25,0,260.62,1.58,101.19
2011,1,5,1.91,14.33,59.81,0,275.44,2.24,101.07
2011,1,6,1.98,13.49,64.44,0,334.44,2.36,101.19
2011,1,7,2.04,14.21,63.81,0,208.06,3.89,101.15
2011,1,8,1.77,14.01,63.56,0,203,2.59,101.01
2011,1,9,1.6,15.98,61.06,0,133.44,1.97,100.92
2011,1,10,2.06,14.46,57.81,0,240.31,2.15,100.9
2011,1,11,2.06,12.86,60,0,252,2.13,100.96
2011,1,12,1.23,13.94,53.62,0,272.44,3.2,100.93
2011,1,13,1.39,14.16,56.25,0,252.38,2.49,101.01
2011,1,14,0.85,16.64,58.19,0,224.81,2.74,101.05
2011,1,15,1.34,17.03,78.56,0,207.56,3.13,101.12
2011,1,16,1.81,19.14,70,0.06,263.12,5.02,100.7
2011,1,17,1.66,14.4,45.88,0,257.06,4.41,100.91
2011,1,18,1.35,15.05,54.38,0,259.06,3.24,100.97
2011,1,19,1.04,16.76,63.31,0,215.12,2.93,100.85
2011,1,20,1.86,15.21,63.19,0,16.19,2.59,101.14
2011,1,21,1.68,14.98,59.12,0,119.81,1.84,101.14
2011,1,22,1.54,15.76,54.5,0,198.94,3.13,101.21
2011,1,23,1.29,17.88,55.19,0,246.31,1.89,101.3
2011,1,24,1.13,18.84,58.31,0,245.31,1.27,101.24
2011,1,25,1.03,20.29,62.06,0,223.75,1.67,101.22
2011,1,26,0.84,20.67,66.25,0,167.75,2.55,101.28
2011,1,27,1.09,21.1,72.31,0,136.38,2.23,101.32
2011,1,28,1.66,19.19,61.56,0,36.94,1.6,101.32
2011,1,29,0.96,18.98,61.62,0,135.62,2.12,101.21
2011,1,30,0.8,20.95,72.56,2.02,161.94,2.51,101.18
2011,1,31,1.61,21.23,71.69,0,266.38,1.64,101.12
2011,2,1,1.91,19.8,52.5,0,112.75,2.73,101.23
2011,2,2,1.64,18.44,51.44,0,136.25,2.06,101.25
2011,2,3,1.9,18.39,51.56,0,136.69,2.68,101.23
2011,2,4,1.55,18.76,52.44,0,177.62,2.7,101.14
2011,2,5,0.87,20.79,47.31,0,173.69,1.76,101.05
2011,2,6,1.12,20.86,52.44,0,192.06,2.76,100.97
2011,2,7,1.34,21.57,53.12,0,254.31,2.29,100.79
2011,2,8,1.55,21.87,54.94,0,262.5,3.29,100.51
2011,2,9,1.96,22.09,53.62,0,259.69,3.16,100.52
2011,2,10,1.75,21.14,45.31,0,226.69,2.07,100.84
2011,2,11,1.56,21.5,46.44,0,277.81,3.43,100.94
2011,2,12,1.5,21.96,45.06,0,278.88,2.78,100.82
2011,2,13,1.62,21.57,45.62,0,237.44,2.6,100.68
2011,2,14,1.34,22.53,48.19,0,195.44,1.99,100.6
2011,2,15,1.98,23.91,65.44,0,210.56,4.91,100.62
2011,2,16,3.05,24.13,64.44,0,201.44,4.09,100.72
2011,2,17,1.17,23.17,62.62,0,263.25,4.12,100.81
2011,2,18,1.09,23.3,60.56,0,160.88,2.98,100.92
2011,2,19,0.66,23.12,76.69,11.05,205.25,2.2,101.1
2011,2,20,1.29,24.24,64.31,0.14,178.06,3.54,101.15
2011,2,21,2.41,18.87,64.44,0.57,117.19,5.26,101.21
2011,2,22,1.59,21.41,52.75,0,189.44,2.77,101.18
2011,2,23,1.88,21.23,43.56,0,242.19,2.3,101.15
2011,2,24,1.62,21.73,40.88,0,236.12,3.55,100.98
2011,2,25,1.27,22.44,40.31,0,244.19,3.77,100.75
2011,2,26,1.12,23.36,43.75,0,189.75,2.04,100.84
2011,2,27,1.73,23.76,49.06,0,115.88,2.21,101.05
2011,2,28,2.45,22.17,41.31,0,275.19,2.2,101.12
2011,3,1,2.26,21.77,36.69,0,205.12,2.63,100.95
2011,3,2,1.63,23.17,31.06,0,232.25,3.77,100.84
2011,3,3,1.48,25.19,38.31,0,304.81,3.21,100.8
2011,3,4,1.35,26.12,43,0,267.69,2.48,100.71
2011,3,5,1.61,27.18,54.62,0,253.81,3.34,100.65
2011,3,6,2.24,27.91,47,0,317.31,3.24,100.79
2011,3,7,2.12,26.44,34.38,0,322.88,2.68,100.85
2011,3,8,2.01,26.31,33.19,0,315.31,1.97,100.62
2011,3,9,1.77,26.76,44.38,0,215.31,3.77,100.66
2011,3,10,2.42,27.94,64.62,2.8,200.12,4.12,100.68
