YEAR,MO,DY,WS2M,T2M,RH2M,PRECTOTCORR,WD50M,WS10M_RANGE,PS
2011,1,1,2.2,18.04,81.06,0,295.5,1.92,100.98
2011,1,2,2.17,16.19,70.44,0,263.75,2.46,101.26
2011,1,3,1.99,14.25,63.06,0,232,1.73,101.45
2011,1,4,2.14,13.54,71.81,0,344.19,1.8,101.41
2011,1,5,2.08,14.37,65.06,0,339.06,2.12,101.3
2011,1,6,2.15,13.86,65.38,0,342.75,2.07,101.41
2011,1,7,2.18,14.41,67.44,0,218.44,3.6,101.37
2011,1,8,1.91,14.48,66.62,0,206.12,2.05,101.24
2011,1,9,1.82,16.6,63.38,0,121.44,1.23,101.14
2011,1,10,2.23,14.83,57.31,0,296.38,2.69,101.13
2011,1,11,2.16,13.05,61,0,291.06,2.38,101.19
2011,1,12,1.28,14.12,54.5,0,297.75,3.02,101.16
2011,1,13,1.31,14.77,53.81,0,278.94,2.62,101.24
2011,1,14,0.66,17.46,53.19,0,194,1.75,101.29
2011,1,15,1.08,17.86,69.31,0,194.31,2.77,101.37
2011,1,16,2.05,19.33,76,0.1,237.62,3.37,100.95
2011,1,17,1.96,15.28,47.25,0,280.25,5.55,101.14
2011,1,18,1.43,15.47,50.94,0,276,3.49,101.22
2011,1,19,1.31,18.06,64.81,0,215.56,3.38,101.1
2011,1,20,1.86,16.13,63.88,0,100.25,2.06,101.36
2011,1,21,1.83,15.58,59.75,0,170.69,2.73,101.38
2011,1,22,1.37,16.65,53.56,0,190.44,3.78,101.44
2011,1,23,1.23,18.41,52.56,0,262.19,2.47,101.54
2011,1,24,0.99,19.58,53.75,0,265.69,1.99,101.48
2011,1,25,1.02,21.27,56.44,0,231,1.59,101.47
2011,1,26,0.86,21.34,58.44,0,157.25,1.53,101.53
2011,1,27,1.09,21.67,62.88,0,186.62,2.02,101.56
2011,1,28,1.87,19.67,61.25,0,104.31,2.04,101.55
2011,1,29,1.1,19.44,58.06,0,151.94,2.02,101.45
2011,1,30,0.82,21.34,60.19,0.91,180.94,1.98,101.43
2011,1,31,1.56,21.62,72.31,0,270.56,1.85,101.36
2011,2,1,2.12,20.21,51.69,0,133.31,3.77,101.46
2011,2,2,1.86,18.93,51.5,0,206,2.36,101.47
2011,2,3,2.04,18.89,54.06,0,279,2.97,101.45
2011,2,4,1.64,19.3,54.25,0,230.25,2.32,101.36
2011,2,5,1.17,21.01,48.25,0,238.38,1.19,101.27
2011,2,6,1.23,21.18,52.44,0,335.25,2.24,101.21
2011,2,7,1.33,22.15,50.88,0,285.19,2.64,101.03
2011,2,8,1.66,22.42,57.06,0,271.81,2.87,100.75
2011,2,9,2.12,22.56,54.69,0,321.69,2.92,100.74
2011,2,10,2.09,21.44,43.56,0,179.19,2.62,101.07
2011,2,11,1.76,21.93,42.94,0,276.5,4.82,101.17
2011,2,12,1.73,22.28,44,0,269.31,3.84,101.06
2011,2,13,1.8,22.21,42.75,0,236.12,3.38,100.92
2011,2,14,1.35,23.62,43.19,0,243.06,2.87,100.84
2011,2,15,2.2,24.37,66.5,0,215.81,2.7,100.88
2011,2,16,3.16,24.52,67.38,0,208.06,2.73,101
2011,2,17,1.91,23.77,64.94,0,256.31,3.12,101.05
2011,2,18,1.22,23.77,58.31,0,171.44,2.68,101.16
2011,2,19,0.6,23.98,69.94,6.28,230.81,2.16,101.33
2011,2,20,1.57,24.55,61.25,0.04,157.12,3.06,101.38
2011,2,21,2.72,20.08,59.88,0.33,118.69,5.4,101.41
2011,2,22,1.89,21.8,51.44,0,282.38,2.41,101.4
2011,2,23,2.12,21.6,43.31,0,227.94,2.69,101.37
2011,2,24,1.95,22.18,41.31,0,237.06,3.52,101.2
2011,2,25,1.35,23.35,36.69,0,303.06,2.66,100.98
2011,2,26,1.61,23.23,42.69,0,260.25,1.32,101.06
