,T2M,PRECTOTCORR,DY,MO,YEAR,RH2M,WD50M,WS2M
0,11.48,0.0,1,1,2011,86.19,98.38,0.26
1,12.63,0.0,2,1,2011,85.75,140.0,0.27
2,11.55,1.0,3,1,2011,75.94,130.06,0.62
3,10.68,1.0,4,1,2011,68.19,159.81,0.67
4,10.81,1.0,5,1,2011,71.94,170.62,0.69
5,12.15,1.0,6,1,2011,69.38,251.38,0.6
6,12.75,1.0,7,1,2011,66.31,240.56,0.62
7,12.71,1.0,8,1,2011,63.25,168.19,0.67
8,13.98,0.0,9,1,2011,64.25,87.12,0.6
9,13.03,1.0,10,1,2011,74.62,148.0,0.5
10,11.85,1.0,11,1,2011,74.06,235.5,0.47
11,11.12,1.0,12,1,2011,71.38,212.0,0.54
12,10.62,1.0,13,1,2011,70.5,234.56,0.57
13,10.47,1.0,14,1,2011,78.62,218.69,0.39
14,10.3,1.0,15,1,2011,78.38,181.62,0.55
15,9.83,0.0,16,1,2011,88.06,122.62,0.2
16,9.23,0.0,17,1,2011,90.56,112.81,0.2
17,9.41,0.0,18,1,2011,83.12,175.44,0.16
18,7.3,0.0,19,1,2011,95.0,85.94,0.15
19,8.76,0.0,20,1,2011,80.44,200.81,0.4
20,8.89,1.0,21,1,2011,73.38,202.88,0.59
21,10.37,1.0,22,1,2011,72.06,138.88,0.55
22,10.49,1.0,23,1,2011,78.38,263.0,0.39
23,10.75,1.0,24,1,2011,81.81,185.94,0.31
24,11.65,1.0,25,1,2011,77.56,167.88,0.38
25,11.62,1.0,26,1,2011,78.81,170.0,0.38
26,10.58,0.0,27,1,2011,87.69,78.12,0.19
27,11.05,0.0,28,1,2011,83.69,127.06,0.29
28,11.48,1.0,29,1,2011,67.81,237.5,0.62
29,11.45,1.0,30,1,2011,63.25,259.25,0.59
30,12.37,1.0,31,1,2011,68.69,252.0,0.45
31,13.19,1.0,1,2,2011,70.19,213.19,0.52
32,13.15,1.0,2,2,2011,69.12,157.31,0.6
33,13.82,1.0,3,2,2011,62.56,144.12,0.61
34,14.22,1.0,4,2,2011,60.56,176.19,0.63
35,13.92,1.0,5,2,2011,61.56,174.31,0.68
36,14.55,1.0,6,2,2011,61.88,248.06,0.59
37,14.45,1.0,7,2,2011,68.31,171.69,0.56
38,13.56,0.0,8,2,2011,83.44,79.5,0.35
39,13.79,0.0,9,2,2011,86.06,53.88,0.33
40,14.55,0.0,10,2,2011,74.44,238.5,0.52
41,13.95,1.0,11,2,2011,73.62,184.94,0.51
42,14.62,1.0,12,2,2011,71.31,204.75,0.37
43,15.08,1.0,13,2,2011,69.12,201.31,0.57
44,14.88,0.0,14,2,2011,73.25,165.38,0.49
45,14.22,0.0,15,2,2011,85.38,162.81,0.2
46,13.36,0.0,16,2,2011,92.88,141.0,0.19
47,14.73,0.0,17,2,2011,94.0,153.12,0.34
48,14.17,0.0,18,2,2011,84.38,132.19,0.33
49,13.06,1.0,19,2,2011,77.19,93.62,0.3
50,13.82,1.0,20,2,2011,69.94,176.75,0.49
51,13.73,1.0,21,2,2011,69.69,167.62,0.52
52,14.86,0.0,22,2,2011,61.5,229.88,0.57
53,15.21,0.0,23,2,2011,64.38,232.44,0.54
54,15.34,1.0,24,2,2011,61.94,180.38,0.64
55,15.09,1.0,25,2,2011,60.38,217.56,0.66
56,15.91,1.0,26,2,2011,65.0,174.31,0.6
57,15.57,1.0,27,2,2011,70.0,128.62,0.59
58,15.62,1.0,28,2,2011,63.12,214.5,0.56
59,15.09,1.0,1,3,2011,62.44,201.75,0.59
60,16.35,1.0,2,3,2011,55.81,207.0,0.66
61,16.68,1.0,3,3,2011,59.06,225.19,0.57
62,16.89,0.0,4,3,2011,66.62,186.75,0.38
63,15.58,0.0,5,3,2011,81.69,140.75,0.3
64,16.53,0.0,6,3,2011,78.94,145.88,0.35
65,16.67,1.0,7,3,2011,69.69,182.75,0.55
66,16.73,0.0,8,3,2011,70.25,173.5,0.46
67,16.45,0.0,9,3,2011,78.38,174.38,0.29
68,17.81,0.0,10,3,2011,76.19,113.38,0.33
69,18.65,0.0,11,3,2011,73.62,87.06,0.48
70,16.55,0.0,12,3,2011,87.31,105.81,0.34
71,17.83,0.0,13,3,2011,76.44,84.19,0.34
