,T2M,PRECTOTCORR,DY,MO,YEAR,RH2M,WD50M,WS2M
0,18.03,1.0,1,1,2011,69.62,310.5,2.7
1,15.34,1.0,2,1,2011,56.44,236.75,1.94
2,14.05,1.0,3,1,2011,55.12,342.56,1.95
3,13.54,1.0,4,1,2011,58.12,342.75,2.0
4,14.12,1.0,5,1,2011,51.38,296.0,1.93
5,13.37,1.0,6,1,2011,57.5,339.94,1.96
6,14.37,1.0,7,1,2011,53.56,223.38,1.95
7,14.37,1.0,8,1,2011,51.94,193.06,1.46
8,16.4,1.0,9,1,2011,49.81,198.81,1.23
9,14.42,1.0,10,1,2011,47.25,327.12,2.32
10,12.96,1.0,11,1,2011,50.62,329.0,2.24
11,14.19,1.0,12,1,2011,45.5,268.88,1.48
12,14.85,1.0,13,1,2011,48.88,255.38,1.38
13,17.29,1.0,14,1,2011,50.44,236.88,1.2
14,18.33,1.0,15,1,2011,62.31,213.06,1.62
15,19.03,0.0,16,1,2011,56.25,284.0,3.16
16,14.69,1.0,17,1,2011,35.06,257.94,1.81
17,15.4,1.0,18,1,2011,45.62,263.88,1.43
18,16.39,1.0,19,1,2011,49.62,215.44,1.48
19,14.76,1.0,20,1,2011,51.69,58.25,1.81
20,14.75,1.0,21,1,2011,50.0,176.31,1.65
21,16.14,1.0,22,1,2011,48.31,263.75,1.53
22,18.41,1.0,23,1,2011,48.69,242.81,1.38
23,19.19,1.0,24,1,2011,50.44,228.56,1.19
24,20.21,1.0,25,1,2011,52.56,229.88,1.02
25,20.99,1.0,26,1,2011,57.06,117.38,0.95
26,21.01,1.0,27,1,2011,59.69,204.38,1.33
27,19.25,1.0,28,1,2011,51.88,76.56,1.3
28,19.24,0.0,29,1,2011,55.75,133.12,0.9
29,20.69,0.0,30,1,2011,74.0,171.38,1.06
30,20.73,0.0,31,1,2011,65.38,301.81,2.09
31,19.37,1.0,1,2,2011,48.81,258.56,1.96
32,18.05,1.0,2,2,2011,48.19,260.12,1.76
33,18.26,1.0,3,2,2011,46.81,231.31,1.88
34,19.2,1.0,4,2,2011,47.75,222.25,1.59
35,19.99,1.0,5,2,2011,46.81,203.75,1.07
36,20.89,1.0,6,2,2011,48.62,194.94,1.18
37,21.92,1.0,7,2,2011,43.38,269.12,1.4
38,22.73,1.0,8,2,2011,41.25,282.5,1.4
39,21.76,1.0,9,2,2011,46.12,325.19,2.32
40,21.09,1.0,10,2,2011,41.19,249.94,2.01
41,21.15,1.0,11,2,2011,44.5,278.31,1.84
42,21.16,1.0,12,2,2011,40.56,321.56,1.8
43,21.27,1.0,13,2,2011,42.88,247.25,1.95
44,22.51,1.0,14,2,2011,45.19,190.75,1.44
45,24.48,1.0,15,2,2011,49.12,214.88,1.69
46,24.36,0.0,16,2,2011,43.06,215.5,2.73
47,22.38,0.0,17,2,2011,53.62,314.5,2.04
48,22.93,0.0,18,2,2011,55.88,256.56,1.29
49,22.57,0.0,19,2,2011,71.5,200.44,0.83
50,23.67,0.0,20,2,2011,60.0,155.12,1.37
51,18.9,0.0,21,2,2011,63.19,155.5,2.34
52,20.73,1.0,22,2,2011,52.75,285.06,1.7
