,T2M,PRECTOTCORR,DY,MO,YEAR,RH2M,WD50M,WS2M
0,17.43,1.0,1,1,2011,81.31,289.94,2.06
1,15.51,1.0,2,1,2011,68.25,298.12,1.94
2,13.74,1.0,3,1,2011,62.94,254.5,1.86
3,13.41,1.0,4,1,2011,70.62,342.19,2.03
4,13.99,1.0,5,1,2011,63.12,333.69,2.04
5,13.54,1.0,6,1,2011,64.81,336.88,2.0
6,14.33,1.0,7,1,2011,65.44,232.0,2.09
7,14.09,1.0,8,1,2011,63.56,274.44,1.74
8,15.89,1.0,9,1,2011,60.62,206.25,1.75
9,13.94,1.0,10,1,2011,56.5,318.0,2.16
10,12.64,1.0,11,1,2011,59.94,331.56,2.02
11,13.82,1.0,12,1,2011,51.62,300.62,1.21
12,14.57,1.0,13,1,2011,50.19,294.75,1.16
13,16.79,1.0,14,1,2011,52.62,225.5,0.77
14,17.3,1.0,15,1,2011,66.62,184.19,1.05
15,18.53,0.0,16,1,2011,74.25,257.88,1.93
16,14.83,1.0,17,1,2011,44.94,293.31,1.73
17,14.85,1.0,18,1,2011,49.31,267.44,1.43
18,17.25,1.0,19,1,2011,63.88,199.0,1.03
19,15.3,1.0,20,1,2011,64.25,92.94,1.85
20,15.08,1.0,21,1,2011,58.69,169.38,1.73
21,16.4,1.0,22,1,2011,52.38,185.56,1.28
22,18.28,1.0,23,1,2011,49.25,260.38,1.14
23,19.33,1.0,24,1,2011,51.06,222.75,0.91
24,20.7,1.0,25,1,2011,53.06,170.44,0.9
25,20.56,1.0,26,1,2011,59.0,157.5,0.95
26,21.31,1.0,27,1,2011,57.0,145.44,1.15
27,19.12,1.0,28,1,2011,57.06,101.5,1.7
28,18.6,1.0,29,1,2011,55.0,154.0,1.08
29,20.59,0.0,30,1,2011,57.5,155.69,0.88
30,20.92,0.0,31,1,2011,66.12,280.44,1.48
31,20.05,1.0,1,2,2011,48.44,307.38,1.98
32,18.37,1.0,2,2,2011,50.62,193.94,1.77
33,18.6,1.0,3,2,2011,53.38,237.0,1.93
34,19.23,1.0,4,2,2011,51.5,189.38,1.55
35,21.16,1.0,5,2,2011,45.19,198.88,1.0
36,21.33,1.0,6,2,2011,48.88,330.0,1.03
37,22.47,1.0,7,2,2011,45.06,285.06,1.21
38,22.3,1.0,8,2,2011,48.31,273.06,1.61
39,21.97,1.0,9,2,2011,48.81,315.81,2.07
40,20.9,1.0,10,2,2011,40.19,246.12,2.04
41,21.25,1.0,11,2,2011,41.62,269.25,1.76
42,21.72,1.0,12,2,2011,36.94,319.25,1.65
43,21.62,1.0,13,2,2011,38.56,249.56,1.73
44,23.12,1.0,14,2,2011,41.19,198.81,1.34
45,24.08,1.0,15,2,2011,61.19,214.12,1.65
46,24.25,1.0,16,2,2011,63.88,208.56,2.91
47,23.31,1.0,17,2,2011,61.81,277.12,2.19
48,23.39,1.0,18,2,2011,55.25,227.81,1.3
49,23.89,0.0,19,2,2011,62.12,252.69,0.62
50,23.98,0.0,20,2,2011,54.38,119.56,1.72
51,20.06,0.0,21,2,2011,56.12,139.25,2.36
52,21.54,1.0,22,2,2011,49.06,328.25,1.77
53,21.5,1.0,23,2,2011,40.38,216.38,2.05
54,21.97,1.0,24,2,2011,38.81,253.06,1.89
55,23.25,1.0,25,2,2011,32.81,271.56,1.22
56,22.74,1.0,26,2,2011,41.5,266.0,1.61
57,23.71,1.0,27,2,2011,45.88,239.5,2.09
58,22.44,1.0,28,2,2011,36.5,341.69,2.55
59,21.83,1.0,1,3,2011,31.19,262.56,2.44
60,23.15,1.0,2,3,2011,29.06,245.38,1.98
61,25.52,1.0,3,3,2011,34.31,284.38,1.72
62,26.9,1.0,4,3,2011,35.81,303.56,1.47
63,28.0,1.0,5,3,2011,40.31,272.19,1.47
64,28.0,1.0,6,3,2011,40.5,310.19,2.56
65,26.13,1.0,7,3,2011,28.62,316.81,2.48
66,25.94,1.0,8,3,2011,30.06,308.88,2.28
67,26.93,1.0,9,3,2011,36.0,241.31,1.7
68,28.3,0.0,10,3,2011,57.88,215.56,2.27
69,28.24,0.0,11,3,2011,60.56,213.38,2.33
70,27.41,0.0,12,3,2011,57.81,254.81,1.8
