,T2M,PRECTOTCORR,DY,MO,YEAR,RH2M,WD50M,WS2M
0,16.72,0.0,1,1,2011,69.88,226.94,2.27
1,13.75,1.0,2,1,2011,58.38,286.38,2.05
2,13.37,1.0,3,1,2011,59.62,304.88,1.44
3,12.09,1.0,4,1,2011,60.0,292.31,2.03
4,11.75,1.0,5,1,2011,64.81,286.94,1.85
5,11.72,1.0,6,1,2011,62.31,289.12,1.8
6,12.05,1.0,7,1,2011,59.75,295.62,1.46
7,12.58,1.0,8,1,2011,49.81,271.19,1.16
8,13.35,1.0,9,1,2011,48.38,287.81,1.54
9,12.61,1.0,10,1,2011,53.56,284.69,2.73
10,11.58,1.0,11,1,2011,55.06,289.38,1.96
11,11.69,1.0,12,1,2011,51.62,288.75,1.63
12,13.55,1.0,13,1,2011,48.81,292.44,1.04
13,15.37,1.0,14,1,2011,47.81,245.38,1.18
14,14.82,0.0,15,1,2011,58.38,99.19,2.03
15,15.87,0.0,16,1,2011,55.44,190.38,2.58
16,12.14,1.0,17,1,2011,44.62,278.0,2.47
17,14.11,1.0,18,1,2011,40.5,273.38,1.18
18,14.38,1.0,19,1,2011,45.38,232.5,1.61
19,13.8,1.0,20,1,2011,48.62,205.69,0.88
20,13.65,1.0,21,1,2011,48.31,246.25,1.35
21,14.68,1.0,22,1,2011,48.94,286.56,1.3
22,16.35,1.0,23,1,2011,47.31,270.12,1.24
23,16.58,1.0,24,1,2011,49.0,173.81,0.95
24,17.9,1.0,25,1,2011,45.56,241.06,0.97
25,17.51,0.0,26,1,2011,49.12,199.06,1.43
26,17.09,1.0,27,1,2011,49.12,295.19,2.23
27,16.42,1.0,28,1,2011,40.81,276.0,1.8
28,15.99,0.0,29,1,2011,43.62,74.12,1.46
29,16.4,0.0,30,1,2011,58.38,86.38,1.98
30,18.32,1.0,31,1,2011,50.62,252.62,1.91
31,16.95,1.0,1,2,2011,48.56,292.38,2.3
32,17.25,1.0,2,2,2011,47.56,315.44,1.28
33,16.93,1.0,3,2,2011,50.12,302.25,1.37
34,17.66,1.0,4,2,2011,50.75,294.25,1.45
35,19.32,1.0,5,2,2011,45.5,283.69,0.95
36,19.8,1.0,6,2,2011,46.31,301.5,1.22
37,20.19,1.0,7,2,2011,45.81,295.12,1.56
38,20.91,1.0,8,2,2011,43.06,285.81,1.91
39,19.46,1.0,9,2,2011,42.44,287.81,2.67
40,17.94,1.0,10,2,2011,35.44,288.44,2.38
41,18.3,1.0,11,2,2011,35.75,293.38,2.16
42,18.31,1.0,12,2,2011,37.5,288.31,1.77
43,19.9,1.0,13,2,2011,37.88,135.69,1.12
44,20.24,1.0,14,2,2011,44.75,148.31,1.25
45,22.14,0.0,15,2,2011,48.25,79.88,1.7
46,22.79,0.0,16,2,2011,55.5,196.38,2.78
47,19.71,0.0,17,2,2011,64.25,277.62,2.23
48,19.12,1.0,18,2,2011,48.75,297.5,2.66
49,19.02,1.0,19,2,2011,37.5,256.12,1.71
50,19.59,1.0,20,2,2011,36.19,299.81,1.7
51,19.37,1.0,21,2,2011,40.56,278.12,1.78
52,19.22,1.0,22,2,2011,41.69,297.69,1.74
53,20.58,1.0,23,2,2011,41.88,298.88,1.98
54,20.8,1.0,24,2,2011,35.38,296.38,2.16
55,18.88,0.0,25,2,2011,45.81,256.75,1.95
56,21.04,0.0,26,2,2011,49.19,302.06,1.53
57,22.08,1.0,27,2,2011,38.19,305.44,2.8
58,20.55,1.0,28,2,2011,32.75,294.69,3.06
59,20.36,1.0,1,3,2011,29.0,295.88,1.84
60,22.55,1.0,2,3,2011,32.0,294.62,2.12
61,24.58,0.0,3,3,2011,34.31,301.81,2.43
62,23.75,0.0,4,3,2011,44.19,313.75,2.93
63,25.09,1.0,5,3,2011,38.38,294.12,2.95
64,24.05,1.0,6,3,2011,27.81,285.31,4.02
65,23.45,1.0,7,3,2011,24.25,282.25,3.42
66,24.46,1.0,8,3,2011,25.0,280.94,3.68
67,25.48,0.0,9,3,2011,31.12,290.62,1.88
68,26.89,0.0,10,3,2011,25.44,194.69,1.36
69,26.33,0.0,11,3,2011,24.0,246.94,1.73
70,24.98,1.0,12,3,2011,27.12,298.75,2.54
71,24.32,1.0,13,3,2011,24.5,288.5,1.83
72,26.07,1.0,14,3,2011,20.69,188.94,0.86
73,25.44,1.0,15,3,2011,26.0,181.94,1.29
74,27.08,1.0,16,3,2011,20.5,286.62,1.88
75,26.59,1.0,17,3,2011,22.19,131.56,1.62
76,26.6,1.0,18,3,2011,34.25,189.19,2.14
77,29.76,1.0,19,3,2011,22.81,285.94,2.61
78,29.87,1.0,20,3,2011,18.88,235.12,2.16
79,28.7,1.0,21,3,2011,16.56,292.31,3.52
80,27.02,1.0,22,3,2011,15.38,297.5,2.34
81,28.25,1.0,23,3,2011,13.94,237.0,1.74
82,28.2,1.0,24,3,2011,17.19,208.69,1.79
83,28.65,1.0,25,3,2011,26.38,259.88,1.57
84,29.55,1.0,26,3,2011,19.94,198.31,1.24
85,28.87,0.0,27,3,2011,21.44,77.44,1.47
86,28.68,0.0,28,3,2011,37.56,95.5,3.12
87,28.49,1.0,29,3,2011,39.62,97.44,3.23
88,27.44,0.0,30,3,2011,50.5,133.06,2.55
