,T2M,PRECTOTCORR,DY,MO,YEAR,RH2M,WD50M,WS2M
0,17.58,0.0,1,1,2011,74.25,296.38,2.53
1,15.07,1.0,2,1,2011,58.88,331.19,1.98
2,13.91,1.0,3,1,2011,57.38,338.12,1.95
3,13.65,1.0,4,1,2011,61.44,338.44,2.14
4,13.66,1.0,5,1,2011,55.25,331.12,2.05
5,13.42,1.0,6,1,2011,59.25,332.94,2.01
6,14.34,1.0,7,1,2011,56.94,273.75,2.04
7,14.46,1.0,8,1,2011,52.25,273.19,1.5
8,15.85,1.0,9,1,2011,50.19,263.81,1.49
9,13.96,1.0,10,1,2011,49.06,323.25,2.47
10,12.78,1.0,11,1,2011,54.0,327.0,2.2
11,13.95,1.0,12,1,2011,46.25,277.81,1.34
12,14.44,1.0,13,1,2011,48.38,275.38,1.11
13,16.84,1.0,14,1,2011,50.81,233.69,0.95
14,17.26,1.0,15,1,2011,66.75,191.88,1.29
15,18.12,0.0,16,1,2011,67.5,279.25,2.73
16,14.58,1.0,17,1,2011,37.75,278.88,1.82
17,14.87,1.0,18,1,2011,46.38,271.19,1.44
18,16.37,1.0,19,1,2011,59.06,192.12,1.11
19,14.69,1.0,20,1,2011,57.69,66.0,1.76
20,14.82,1.0,21,1,2011,53.81,166.0,1.61
21,16.34,1.0,22,1,2011,46.56,200.19,1.28
22,18.57,1.0,23,1,2011,45.5,241.75,1.16
23,19.25,1.0,24,1,2011,49.0,211.5,0.98
24,20.03,1.0,25,1,2011,52.69,123.88,1.05
25,20.17,1.0,26,1,2011,58.12,127.56,1.03
26,21.05,1.0,27,1,2011,53.88,162.62,1.13
27,18.85,1.0,28,1,2011,50.5,104.62,1.41
28,18.22,1.0,29,1,2011,52.12,157.62,0.86
29,19.97,0.0,30,1,2011,60.06,147.31,0.98
30,20.52,0.0,31,1,2011,62.19,276.38,1.7
31,19.55,1.0,1,2,2011,47.5,325.81,1.97
32,18.13,1.0,2,2,2011,47.5,249.94,1.77
33,18.39,1.0,3,2,2011,47.0,279.12,1.84
34,19.45,1.0,4,2,2011,46.25,213.19,1.48
35,20.94,1.0,5,2,2011,43.12,206.19,0.73
36,21.43,1.0,6,2,2011,45.44,291.25,0.93
37,22.42,1.0,7,2,2011,41.81,329.06,1.23
38,22.87,1.0,8,2,2011,40.5,306.5,1.46
39,21.55,1.0,9,2,2011,44.5,317.5,2.38
40,20.65,1.0,10,2,2011,38.12,320.25,2.2
41,20.69,1.0,11,2,2011,41.75,320.12,1.94
42,20.9,1.0,12,2,2011,38.0,319.44,1.76
43,20.98,1.0,13,2,2011,41.06,265.69,1.8
44,22.33,1.0,14,2,2011,43.69,182.31,1.25
45,24.17,1.0,15,2,2011,51.94,204.12,1.35
46,24.47,0.0,16,2,2011,51.5,210.75,2.97
47,22.65,0.0,17,2,2011,59.0,299.81,2.55
48,22.99,1.0,18,2,2011,53.56,257.94,1.52
49,23.65,0.0,19,2,2011,58.06,154.94,0.79
50,23.84,0.0,20,2,2011,48.25,134.0,1.52
51,19.83,0.0,21,2,2011,55.31,236.88,2.02
52,21.0,1.0,22,2,2011,49.38,307.56,1.83
53,21.57,1.0,23,2,2011,37.31,343.56,2.02
54,21.8,1.0,24,2,2011,35.19,334.31,1.98
55,22.79,1.0,25,2,2011,31.44,256.69,1.38
56,23.1,1.0,26,2,2011,39.06,250.25,1.53
57,24.23,1.0,27,2,2011,39.56,283.38,2.2
58,22.78,1.0,28,2,2011,33.06,330.69,2.75
59,22.44,1.0,1,3,2011,25.44,341.06,2.45
60,23.43,1.0,2,3,2011,24.62,341.81,2.07
61,25.54,1.0,3,3,2011,32.81,330.25,1.91
62,26.71,1.0,4,3,2011,33.81,274.56,1.73
63,28.02,1.0,5,3,2011,36.06,312.31,1.52
64,27.97,1.0,6,3,2011,32.12,307.5,3.11
65,26.36,1.0,7,3,2011,23.38,305.81,3.05
66,26.78,1.0,8,3,2011,24.44,303.12,3.0
67,27.46,0.0,9,3,2011,30.25,239.31,1.8
