,T2M,PRECTOTCORR,DY,MO,YEAR,RH2M,WD50M,WS2M
0,14.33,0.0,1,1,2011,86.69,240.0,0.47
1,13.72,0.0,2,1,2011,87.44,257.31,0.4
2,12.78,1.0,3,1,2011,85.06,115.62,0.5
3,13.21,1.0,4,1,2011,81.31,113.44,0.46
4,13.95,1.0,5,1,2011,76.44,162.44,0.48
5,14.49,1.0,6,1,2011,77.69,130.25,0.56
6,15.05,1.0,7,1,2011,75.69,169.94,0.52
7,14.69,1.0,8,1,2011,77.5,177.0,0.66
8,15.05,0.0,9,1,2011,76.5,223.06,0.49
9,13.9,1.0,10,1,2011,82.44,255.31,0.44
10,12.45,1.0,11,1,2011,79.62,227.81,0.45
11,12.12,1.0,12,1,2011,79.31,241.25,0.43
12,11.76,1.0,13,1,2011,82.38,212.06,0.42
13,11.51,1.0,14,1,2011,78.69,179.81,0.52
14,11.9,1.0,15,1,2011,80.56,214.69,0.48
15,12.74,0.0,16,1,2011,83.69,228.81,0.38
16,12.45,0.0,17,1,2011,84.56,246.5,0.57
17,11.02,0.0,18,1,2011,80.62,205.19,0.41
18,11.62,0.0,19,1,2011,74.19,212.44,0.61
19,11.26,0.0,20,1,2011,81.94,170.25,0.52
20,12.16,1.0,21,1,2011,76.62,194.5,0.51
21,12.07,1.0,22,1,2011,80.44,218.69,0.47
22,12.74,1.0,23,1,2011,79.06,203.0,0.48
23,13.09,1.0,24,1,2011,80.75,200.38,0.48
24,14.1,1.0,25,1,2011,78.75,219.19,0.47
25,14.38,1.0,26,1,2011,80.75,195.06,0.45
26,15.18,1.0,27,1,2011,78.38,229.56,0.55
27,14.11,1.0,28,1,2011,75.0,160.12,0.55
28,13.97,1.0,29,1,2011,78.19,141.88,0.6
29,15.14,1.0,30,1,2011,71.56,164.75,0.58
30,15.05,1.0,31,1,2011,75.06,221.62,0.61
31,15.3,1.0,1,2,2011,79.75,201.19,0.48
32,15.06,1.0,2,2,2011,79.75,111.75,0.55
33,15.54,1.0,3,2,2011,75.69,104.0,0.7
34,16.44,1.0,4,2,2011,70.38,201.06,0.58
35,16.46,1.0,5,2,2011,68.31,166.88,0.53
36,16.33,1.0,6,2,2011,75.69,230.12,0.51
37,16.83,1.0,7,2,2011,78.44,237.44,0.45
38,17.31,1.0,8,2,2011,73.75,222.12,0.62
39,17.27,1.0,9,2,2011,70.12,225.88,0.51
40,16.52,1.0,10,2,2011,64.31,232.44,0.56
41,15.64,1.0,11,2,2011,69.31,211.19,0.52
42,15.39,1.0,12,2,2011,73.44,201.75,0.45
43,16.25,1.0,13,2,2011,72.25,202.88,0.51
44,17.2,1.0,14,2,2011,69.81,214.0,0.55
45,18.72,1.0,15,2,2011,71.38,215.56,0.63
46,19.62,0.0,16,2,2011,79.0,215.25,0.71
47,18.73,0.0,17,2,2011,79.25,220.69,0.78
48,17.29,1.0,18,2,2011,70.0,239.69,1.12
49,16.88,1.0,19,2,2011,71.19,235.0,0.74
50,16.61,1.0,20,2,2011,73.25,216.56,0.54
51,16.23,1.0,21,2,2011,70.88,189.5,0.61
52,15.56,1.0,22,2,2011,70.56,203.56,0.58
53,16.43,1.0,23,2,2011,68.81,208.44,0.53
54,16.94,1.0,24,2,2011,70.5,211.0,0.55
55,17.08,1.0,25,2,2011,69.88,175.12,0.62
56,18.04,1.0,26,2,2011,69.56,190.75,0.6
