,T2M,PRECTOTCORR,DY,MO,YEAR,RH2M,WD50M,WS2M
0,17.81,1.0,1,1,2011,67.12,316.62,2.61
1,14.9,1.0,2,1,2011,53.88,231.12,1.73
2,13.65,1.0,3,1,2011,53.81,270.38,1.66
3,12.84,1.0,4,1,2011,56.19,285.75,1.73
4,13.43,1.0,5,1,2011,52.44,266.38,1.55
5,12.78,1.0,6,1,2011,56.94,315.62,1.56
6,13.69,1.0,7,1,2011,51.88,213.12,1.77
7,14.09,1.0,8,1,2011,50.94,191.75,1.2
8,16.4,1.0,9,1,2011,49.12,182.19,0.91
9,14.22,1.0,10,1,2011,45.06,325.88,2.07
10,12.79,1.0,11,1,2011,48.19,327.81,2.03
11,13.84,1.0,12,1,2011,45.75,281.31,1.59
12,15.52,1.0,13,1,2011,46.12,253.5,1.33
13,18.0,1.0,14,1,2011,45.31,251.56,1.25
14,19.3,1.0,15,1,2011,51.62,235.81,1.33
15,18.9,0.0,16,1,2011,49.19,287.25,3.19
16,14.05,1.0,17,1,2011,34.56,259.56,1.82
17,16.37,1.0,18,1,2011,34.75,278.56,1.13
18,16.62,1.0,19,1,2011,37.88,230.38,1.5
19,14.65,1.0,20,1,2011,45.69,102.12,1.62
20,14.61,1.0,21,1,2011,46.06,188.06,1.5
21,16.55,1.0,22,1,2011,44.56,240.75,1.7
22,18.5,1.0,23,1,2011,47.31,233.69,1.51
23,19.15,1.0,24,1,2011,48.25,210.12,1.23
24,19.95,1.0,25,1,2011,48.81,181.88,1.16
25,21.55,0.0,26,1,2011,50.75,125.75,0.89
26,20.59,1.0,27,1,2011,51.5,250.44,1.56
27,19.29,1.0,28,1,2011,47.25,107.62,1.12
28,19.81,0.0,29,1,2011,55.38,155.38,0.92
29,20.9,0.0,30,1,2011,70.69,201.38,1.02
30,20.37,0.0,31,1,2011,59.25,316.88,2.2
31,18.65,1.0,1,2,2011,49.5,269.5,1.81
32,17.66,1.0,2,2,2011,47.88,246.38,1.64
33,18.05,1.0,3,2,2011,46.25,200.56,1.62
34,18.87,1.0,4,2,2011,47.88,202.56,1.45
35,19.72,1.0,5,2,2011,45.44,191.81,1.05
36,20.74,1.0,6,2,2011,45.5,159.56,1.2
37,21.76,1.0,7,2,2011,40.25,246.56,1.53
38,22.72,1.0,8,2,2011,36.56,319.38,1.62
39,21.9,1.0,9,2,2011,41.56,326.0,2.41
40,21.33,1.0,10,2,2011,36.5,247.25,1.95
41,21.23,1.0,11,2,2011,40.12,308.31,1.81
42,21.15,1.0,12,2,2011,34.56,321.88,1.89
43,21.8,1.0,13,2,2011,36.0,260.5,2.09
44,23.27,1.0,14,2,2011,39.44,207.0,1.42
45,25.35,1.0,15,2,2011,37.0,235.5,1.43
