,T2M,PRECTOTCORR,DY,MO,YEAR,RH2M,WD50M,WS2M
0,17.74,1.0,1,1,2011,80.38,293.88,2.23
1,15.66,1.0,2,1,2011,67.69,213.31,2.02
2,13.92,1.0,3,1,2011,63.75,207.62,1.84
3,13.36,1.0,4,1,2011,69.25,260.62,2.05
4,14.33,1.0,5,1,2011,59.81,275.44,1.91
5,13.49,1.0,6,1,2011,64.44,334.44,1.98
6,14.21,1.0,7,1,2011,63.81,208.06,2.04
7,14.01,1.0,8,1,2011,63.56,203.0,1.77
8,15.98,1.0,9,1,2011,61.06,133.44,1.6
9,14.46,1.0,10,1,2011,57.81,240.31,2.06
10,12.86,1.0,11,1,2011,60.0,252.0,2.06
11,13.94,1.0,12,1,2011,53.62,272.44,1.23
12,14.16,1.0,13,1,2011,56.25,252.38,1.39
13,16.64,1.0,14,1,2011,58.19,224.81,0.85
14,17.03,1.0,15,1,2011,78.56,207.56,1.34
15,19.14,0.0,16,1,2011,70.0,263.12,1.81
16,14.4,1.0,17,1,2011,45.88,257.06,1.66
17,15.05,1.0,18,1,2011,54.38,259.06,1.35
18,16.76,1.0,19,1,2011,63.31,215.12,1.04
19,15.21,1.0,20,1,2011,63.19,16.19,1.86
20,14.98,1.0,21,1,2011,59.12,119.81,1.68
21,15.76,1.0,22,1,2011,54.5,198.94,1.54
22,17.88,1.0,23,1,2011,55.19,246.31,1.29
23,18.84,1.0,24,1,2011,58.31,245.31,1.13
24,20.29,1.0,25,1,2011,62.06,223.75,1.03
25,20.67,1.0,26,1,2011,66.25,167.75,0.84
26,21.1,1.0,27,1,2011,72.31,136.38,1.09
27,19.19,1.0,28,1,2011,61.56,36.94,1.66
28,18.98,1.0,29,1,2011,61.62,135.62,0.96
29,20.95,0.0,30,1,2011,72.56,161.94,0.8
30,21.23,1.0,31,1,2011,71.69,266.38,1.61
31,19.8,1.0,1,2,2011,52.5,112.75,1.91
32,18.44,1.0,2,2,2011,51.44,136.25,1.64
33,18.39,1.0,3,2,2011,51.56,136.69,1.9
34,18.76,1.0,4,2,2011,52.44,177.62,1.55
35,20.79,1.0,5,2,2011,47.31,173.69,0.87
36,20.86,1.0,6,2,2011,52.44,192.06,1.12
37,21.57,1.0,7,2,2011,53.12,254.31,1.34
38,21.87,1.0,8,2,2011,54.94,262.5,1.55
39,22.09,1.0,9,2,2011,53.62,259.69,1.96
40,21.14,1.0,10,2,2011,45.31,226.69,1.75
41,21.5,1.0,11,2,2011,46.44,277.81,1.56
42,21.96,1.0,12,2,2011,45.06,278.88,1.5
43,21.57,1.0,13,2,2011,45.62,237.44,1.62
44,22.53,1.0,14,2,2011,48.19,195.44,1.34
45,23.91,1.0,15,2,2011,65.44,210.56,1.98
46,24.13,1.0,16,2,2011,64.44,201.44,3.05
47,23.17,1.0,17,2,2011,62.62,263.25,1.17
48,23.3,1.0,18,2,2011,60.56,160.88,1.09
49,23.12,0.0,19,2,2011,76.69,205.25,0.66
50,24.24,0.0,20,2,2011,64.31,178.06,1.29
51,18.87,0.0,21,2,2011,64.44,117.19,2.41
52,21.41,1.0,22,2,2011,52.75,189.44,1.59
53,21.23,1.0,23,2,2011,43.56,242.19,1.88
54,21.73,1.0,24,2,2011,40.88,236.12,1.62
55,22.44,1.0,25,2,2011,40.31,244.19,1.27
56,23.36,1.0,26,2,2011,43.75,189.75,1.12
57,23.76,1.0,27,2,2011,49.06,115.88,1.73
58,22.17,1.0,28,2,2011,41.31,275.19,2.45
59,21.77,1.0,1,3,2011,36.69,205.12,2.26
60,23.17,1.0,2,3,2011,31.06,232.25,1.63
61,25.19,1.0,3,3,2011,38.31,304.81,1.48
62,26.12,1.0,4,3,2011,43.0,267.69,1.35
63,27.18,1.0,5,3,2011,54.62,253.81,1.61
64,27.91,1.0,6,3,2011,47.0,317.31,2.24
65,26.44,1.0,7,3,2011,34.38,322.88,2.12
66,26.31,1.0,8,3,2011,33.19,315.31,2.01
67,26.76,1.0,9,3,2011,44.38,215.31,1.77
68,27.94,0.0,10,3,2011,64.62,200.12,2.42
69,27.83,0.0,11,3,2011,62.19,199.88,2.27
70,27.08,0.0,12,3,2011,60.19,237.06,1.84
71,26.77,1.0,13,3,2011,63.75,201.56,1.29
