,T2M,PRECTOTCORR,DY,MO,YEAR,RH2M,WD50M,WS2M
0,12.62,0.0,1,1,2011,71.75,206.19,0.44
1,11.12,0.0,2,1,2011,85.69,212.25,0.29
2,10.67,1.0,3,1,2011,80.0,186.81,0.47
3,10.89,1.0,4,1,2011,75.62,171.19,0.43
4,11.69,1.0,5,1,2011,74.94,174.69,0.48
5,12.85,1.0,6,1,2011,73.69,168.12,0.44
6,13.26,1.0,7,1,2011,69.69,177.44,0.51
7,13.08,0.0,8,1,2011,73.81,177.81,0.52
8,13.48,0.0,9,1,2011,78.0,190.94,0.48
9,12.39,0.0,10,1,2011,80.12,224.62,0.37
10,11.51,1.0,11,1,2011,73.38,218.38,0.41
11,10.73,1.0,12,1,2011,73.94,197.44,0.48
12,10.35,1.0,13,1,2011,79.75,191.75,0.41
13,9.98,1.0,14,1,2011,77.75,200.19,0.46
14,10.23,1.0,15,1,2011,73.56,189.06,0.49
15,10.55,0.0,16,1,2011,77.25,201.88,0.34
16,9.48,0.0,17,1,2011,85.5,222.94,0.26
17,8.58,0.0,18,1,2011,80.94,183.25,0.34
18,8.65,0.0,19,1,2011,74.5,200.62,0.3
19,8.33,0.0,20,1,2011,74.44,173.12,0.53
20,8.83,1.0,21,1,2011,74.75,187.88,0.48
21,10.05,1.0,22,1,2011,73.06,198.12,0.51
22,10.4,1.0,23,1,2011,74.56,203.94,0.48
23,10.89,1.0,24,1,2011,72.94,181.44,0.48
24,11.59,1.0,25,1,2011,74.38,182.19,0.52
25,12.74,1.0,26,1,2011,70.5,195.5,0.54
26,13.05,1.0,27,1,2011,75.25,216.44,0.45
27,12.08,1.0,28,1,2011,78.62,171.12,0.35
28,11.33,1.0,29,1,2011,77.94,159.56,0.49
29,12.29,1.0,30,1,2011,72.62,185.69,0.52
30,12.8,0.0,31,1,2011,72.88,203.81,0.45
31,12.83,1.0,1,2,2011,79.31,199.31,0.38
32,12.73,1.0,2,2,2011,77.81,188.88,0.38
33,13.71,1.0,3,2,2011,71.38,172.75,0.45
34,14.44,1.0,4,2,2011,64.06,191.69,0.5
35,14.45,1.0,5,2,2011,63.25,182.38,0.52
36,14.55,1.0,6,2,2011,64.19,221.5,0.44
37,13.82,1.0,7,2,2011,75.38,231.62,0.35
38,14.23,1.0,8,2,2011,78.12,215.56,0.27
39,14.11,0.0,9,2,2011,72.31,197.19,0.31
40,13.8,0.0,10,2,2011,67.69,210.0,0.39
41,13.46,1.0,11,2,2011,60.25,188.94,0.53
42,13.69,1.0,12,2,2011,62.75,200.25,0.44
43,13.78,1.0,13,2,2011,69.38,192.56,0.46
44,14.59,1.0,14,2,2011,69.75,194.81,0.42
45,14.9,0.0,15,2,2011,73.06,203.94,0.36
46,15.58,0.0,16,2,2011,80.88,203.94,0.31
47,15.35,0.0,17,2,2011,79.25,207.44,0.28
48,14.05,0.0,18,2,2011,78.56,229.0,0.24
49,13.48,1.0,19,2,2011,71.62,213.31,0.28
50,13.84,1.0,20,2,2011,67.62,195.5,0.45
51,13.86,0.0,21,2,2011,71.12,182.56,0.38
52,14.25,0.0,22,2,2011,72.06,172.25,0.35
53,14.8,1.0,23,2,2011,59.69,196.88,0.5
54,15.69,1.0,24,2,2011,58.62,196.19,0.52
55,16.2,1.0,25,2,2011,63.12,159.5,0.45
56,16.56,1.0,26,2,2011,66.44,198.25,0.38
57,16.37,1.0,27,2,2011,59.81,226.44,0.39
58,14.66,1.0,28,2,2011,63.19,207.5,0.42
59,15.39,1.0,1,3,2011,57.38,174.75,0.46
60,16.62,1.0,2,3,2011,55.25,192.5,0.51
61,17.3,1.0,3,3,2011,54.62,190.25,0.43
62,17.37,1.0,4,3,2011,60.06,226.12,0.42
63,17.14,0.0,5,3,2011,70.31,222.25,0.35
64,17.41,0.0,6,3,2011,63.69,243.81,0.39
65,16.47,1.0,7,3,2011,57.19,200.94,0.45
66,16.07,1.0,8,3,2011,57.81,204.06,0.43
67,16.85,0.0,9,3,2011,57.44,198.12,0.4
68,18.31,0.0,10,3,2011,61.0,214.69,0.42
69,18.63,0.0,11,3,2011,64.69,208.5,0.32
70,17.13,0.0,12,3,2011,76.0,222.25,0.34
71,17.12,0.0,13,3,2011,72.12,202.5,0.3
72,17.29,0.0,14,3,2011,68.5,176.38,0.39
73,18.69,1.0,15,3,2011,55.12,162.94,0.45
74,17.19,0.0,16,3,2011,65.31,124.19,0.3
75,16.75,0.0,17,3,2011,70.38,191.94,0.24
76,16.45,0.0,18,3,2011,78.19,197.31,0.3
77,18.11,0.0,19,3,2011,75.88,211.25,0.26
78,19.77,0.0,20,3,2011,74.06,221.44,0.3
79,19.67,0.0,21,3,2011,71.44,222.81,0.25
80,20.19,0.0,22,3,2011,74.69,222.94,0.3
81,19.72,0.0,23,3,2011,73.25,222.31,0.28
82,19.8,0.0,24,3,2011,71.94,205.56,0.31
83,19.29,0.0,25,3,2011,73.12,205.44,0.32
84,18.98,0.0,26,3,2011,70.5,199.81,0.3
85,17.67,0.0,27,3,2011,77.0,151.75,0.21
86,18.04,0.0,28,3,2011,74.56,140.88,0.26
87,16.12,0.0,29,3,2011,85.06,110.69,0.12
88,15.89,0.0,30,3,2011,86.62,161.0,0.12
89,16.69,0.0,31,3,2011,85.12,202.44,0.2
90,17.43,0.0,1,4,2011,82.0,223.06,0.25
91,18.98,0.0,2,4,2011,70.69,205.94,0.27
92,20.09,0.0,3,4,2011,68.25,217.12,0.34
