,T2M,PRECTOTCORR,DY,MO,YEAR,RH2M,WD50M,WS2M
0,17.01,0.0,1,1,2011,67.94,287.12,2.45
1,13.7,1.0,2,1,2011,53.0,285.19,2.1
2,12.94,1.0,3,1,2011,56.12,300.44,1.46
3,11.4,1.0,4,1,2011,57.56,291.44,1.82
4,11.04,1.0,5,1,2011,63.0,281.38,1.65
5,11.05,1.0,6,1,2011,61.31,287.38,1.57
6,11.48,1.0,7,1,2011,54.19,277.62,1.13
7,12.32,1.0,8,1,2011,44.69,266.12,0.95
8,12.37,1.0,9,1,2011,43.81,288.25,1.3
9,11.73,1.0,10,1,2011,53.69,283.88,2.48
10,11.6,1.0,11,1,2011,50.94,286.75,2.13
11,11.81,1.0,12,1,2011,45.69,285.81,1.72
12,14.58,1.0,13,1,2011,43.94,266.0,1.11
13,16.64,1.0,14,1,2011,43.81,206.75,1.39
14,17.01,0.0,15,1,2011,50.5,108.94,1.66
15,15.34,0.0,16,1,2011,52.38,205.94,2.3
16,12.49,1.0,17,1,2011,39.25,273.0,2.59
17,14.48,1.0,18,1,2011,36.38,247.44,1.53
18,14.78,1.0,19,1,2011,41.88,242.88,1.68
19,13.9,1.0,20,1,2011,46.69,269.81,0.96
20,14.27,1.0,21,1,2011,45.38,292.0,1.36
21,15.55,1.0,22,1,2011,43.31,279.75,1.43
22,17.21,1.0,23,1,2011,45.56,247.38,1.6
23,17.55,1.0,24,1,2011,48.31,185.0,1.24
24,18.44,1.0,25,1,2011,46.5,215.56,1.16
25,18.11,0.0,26,1,2011,49.69,185.0,1.43
26,17.07,1.0,27,1,2011,49.44,298.19,1.9
27,16.45,1.0,28,1,2011,42.44,236.94,1.48
28,16.83,0.0,29,1,2011,43.88,85.06,1.48
29,17.4,0.0,30,1,2011,59.62,85.0,2.01
30,18.23,0.0,31,1,2011,53.06,244.44,1.66
31,17.2,1.0,1,2,2011,47.0,292.69,2.13
32,17.35,1.0,2,2,2011,45.31,300.62,1.34
33,17.33,1.0,3,2,2011,47.38,295.31,1.34
34,18.4,1.0,4,2,2011,47.5,288.06,1.23
35,19.62,1.0,5,2,2011,43.31,186.06,0.79
36,20.49,1.0,6,2,2011,42.31,204.56,0.98
37,21.01,1.0,7,2,2011,41.25,247.94,1.46
38,21.3,1.0,8,2,2011,39.88,249.94,1.6
39,19.14,1.0,9,2,2011,41.44,288.06,2.66
40,18.32,1.0,10,2,2011,34.44,291.81,2.26
41,18.92,1.0,11,2,2011,35.75,293.38,2.23
42,18.9,1.0,12,2,2011,35.31,284.81,2.05
43,21.21,1.0,13,2,2011,35.0,230.88,1.57
44,21.75,1.0,14,2,2011,40.56,171.12,1.3
45,23.64,0.0,15,2,2011,42.94,106.19,1.75
46,23.18,0.0,16,2,2011,52.31,217.69,2.9
47,19.66,0.0,17,2,2011,65.31,308.12,1.87
48,19.41,1.0,18,2,2011,49.31,270.75,2.3
49,19.08,1.0,19,2,2011,38.12,195.12,1.65
50,19.87,0.0,20,2,2011,36.62,177.25,1.34
51,19.93,0.0,21,2,2011,44.31,268.81,1.91
52,19.42,1.0,22,2,2011,43.06,296.44,1.7
53,21.26,1.0,23,2,2011,39.69,300.0,1.51
54,21.05,1.0,24,2,2011,36.0,298.19,2.02
55,19.39,0.0,25,2,2011,47.88,261.25,1.82
56,21.87,1.0,26,2,2011,50.5,252.19,1.18
57,22.0,1.0,27,2,2011,40.88,310.06,2.19
58,20.76,1.0,28,2,2011,34.69,296.62,2.77
59,20.42,1.0,1,3,2011,26.75,295.81,1.91
60,22.64,1.0,2,3,2011,32.88,291.62,2.04
61,24.98,1.0,3,3,2011,35.12,303.69,2.1
62,24.37,0.0,4,3,2011,42.44,328.75,2.0
63,25.84,1.0,5,3,2011,36.94,294.19,2.28
64,24.62,1.0,6,3,2011,27.19,284.31,3.82
65,24.5,1.0,7,3,2011,22.31,280.19,3.76
66,25.71,1.0,8,3,2011,22.62,277.25,4.05
67,26.01,1.0,9,3,2011,29.62,262.19,2.05
68,26.83,0.0,10,3,2011,26.88,143.69,1.12
69,26.15,0.0,11,3,2011,27.31,231.94,1.17
70,24.8,1.0,12,3,2011,28.69,299.81,2.28
71,24.46,1.0,13,3,2011,22.69,285.75,1.86
72,26.16,1.0,14,3,2011,22.12,184.31,1.05
73,26.35,1.0,15,3,2011,20.88,88.81,1.21
74,28.02,1.0,16,3,2011,17.31,209.88,1.41
75,27.4,1.0,17,3,2011,17.0,164.69,1.28
76,27.0,1.0,18,3,2011,27.06,200.62,1.73
77,30.51,1.0,19,3,2011,18.94,273.12,2.48
78,29.99,1.0,20,3,2011,17.38,219.81,2.28
79,28.76,1.0,21,3,2011,17.75,289.31,3.24
80,26.99,1.0,22,3,2011,15.44,296.0,2.42
81,28.33,1.0,23,3,2011,15.0,207.44,1.84
82,27.81,1.0,24,3,2011,21.0,200.38,1.62
83,29.37,1.0,25,3,2011,27.25,234.81,1.5
84,29.69,1.0,26,3,2011,20.0,233.06,1.34
85,29.37,1.0,27,3,2011,19.5,130.62,0.88
86,28.83,0.0,28,3,2011,33.56,139.62,1.95
87,29.1,1.0,29,3,2011,38.94,92.38,2.65
88,28.39,0.0,30,3,2011,47.44,135.81,2.49
89,28.64,1.0,31,3,2011,37.69,231.0,1.89
90,28.94,1.0,1,4,2011,23.81,256.75,1.78
91,29.23,1.0,2,4,2011,24.0,144.5,1.05
92,30.4,1.0,3,4,2011,25.38,116.12,2.22
93,30.69,0.0,4,4,2011,38.88,64.12,2.78
94,29.23,0.0,5,4,2011,29.75,242.31,1.38
95,28.3,0.0,6,4,2011,15.12,257.12,1.95
96,28.93,1.0,7,4,2011,14.38,279.94,2.02
97,29.68,1.0,8,4,2011,14.31,255.5,1.27
98,30.19,1.0,9,4,2011,16.5,200.94,1.01
99,31.31,1.0,10,4,2011,19.44,180.19,0.73
100,31.91,1.0,11,4,2011,20.06,255.62,1.95
101,31.05,0.0,12,4,2011,21.12,226.38,1.69
102,29.15,0.0,13,4,2011,30.38,58.06,1.87
103,31.05,0.0,14,4,2011,30.81,243.5,1.63
104,31.65,0.0,15,4,2011,25.81,245.12,0.99
105,32.3,1.0,16,4,2011,21.25,168.69,1.3
106,32.9,1.0,17,4,2011,23.0,162.25,1.43
107,32.97,0.0,18,4,2011,33.06,116.69,2.55
108,32.19,0.0,19,4,2011,51.19,156.94,1.91
109,31.03,0.0,20,4,2011,44.94,299.69,2.0
110,30.97,0.0,21,4,2011,27.12,280.94,1.43
111,29.79,0.0,22,4,2011,29.19,191.25,1.52
112,30.21,1.0,23,4,2011,37.12,194.31,1.61
113,31.53,1.0,24,4,2011,27.62,204.5,1.0
114,30.24,0.0,25,4,2011,40.5,113.5,1.73
115,28.12,0.0,26,4,2011,55.88,101.88,3.31
116,30.15,1.0,27,4,2011,47.94,116.31,2.88
117,31.25,1.0,28,4,2011,42.88,111.25,1.19
118,32.01,0.0,29,4,2011,41.38,128.25,2.29
119,32.44,0.0,30,4,2011,44.81,102.81,2.77
120,33.46,0.0,1,5,2011,40.62,212.5,2.21
121,35.04,1.0,2,5,2011,23.12,266.31,1.32
122,35.57,0.0,3,5,2011,22.0,211.62,1.43
123,34.22,0.0,4,5,2011,37.19,96.12,2.72
124,32.59,0.0,5,5,2011,45.38,84.69,3.04
125,34.14,1.0,6,5,2011,39.75,107.88,1.93
126,34.65,0.0,7,5,2011,38.81,193.94,1.76
127,34.33,0.0,8,5,2011,32.69,194.62,1.4
128,34.8,1.0,9,5,2011,27.94,205.19,1.72
129,35.4,1.0,10,5,2011,24.31,159.12,1.55
130,35.69,1.0,11,5,2011,27.31,187.81,2.02
131,36.14,1.0,12,5,2011,27.19,142.12,1.98
132,35.92,0.0,13,5,2011,36.56,74.88,2.9
133,36.43,0.0,14,5,2011,31.94,171.69,1.8
134,37.24,0.0,15,5,2011,30.25,177.12,2.16
135,37.65,0.0,16,5,2011,29.44,65.88,2.22
136,36.38,0.0,17,5,2011,42.62,96.44,4.53
137,36.08,0.0,18,5,2011,44.06,94.25,4.44
138,33.7,0.0,19,5,2011,51.12,77.06,3.93
139,32.69,0.0,20,5,2011,50.19,134.5,3.0
140,32.66,0.0,21,5,2011,55.06,131.44,2.16
141,33.01,0.0,22,5,2011,53.44,174.56,1.92
142,34.51,0.0,23,5,2011,43.44,218.69,2.3
143,36.08,1.0,24,5,2011,32.88,240.69,2.23
144,34.97,0.0,25,5,2011,36.31,83.25,2.59
145,33.69,0.0,26,5,2011,53.62,100.69,3.07
146,35.02,0.0,27,5,2011,48.12,97.75,1.77
147,35.01,0.0,28,5,2011,45.75,83.88,2.23
148,34.9,1.0,29,5,2011,45.5,94.19,2.83
149,35.37,0.0,30,5,2011,44.44,160.62,2.1
150,35.68,0.0,31,5,2011,40.25,201.31,1.7
151,35.88,0.0,1,6,2011,37.62,168.31,1.82
152,36.89,0.0,2,6,2011,37.88,190.88,1.03
153,37.2,0.0,3,6,2011,33.5,186.12,1.85
154,36.38,1.0,4,6,2011,33.12,156.0,1.68
155,35.95,1.0,5,6,2011,27.94,62.69,1.64
156,37.05,0.0,6,6,2011,34.12,89.19,1.98
157,36.84,0.0,7,6,2011,38.44,103.31,2.9
158,35.1,0.0,8,6,2011,42.31,107.44,2.76
159,34.82,0.0,9,6,2011,44.25,116.31,2.27
160,36.14,1.0,10,6,2011,38.25,173.44,2.06
161,36.86,1.0,11,6,2011,34.44,210.88,2.2
162,37.29,0.0,12,6,2011,35.19,144.44,2.02
163,33.9,0.0,13,6,2011,54.44,74.94,3.14
164,34.43,0.0,14,6,2011,51.38,78.81,2.25
165,34.82,0.0,15,6,2011,48.0,105.75,2.74
166,34.65,0.0,16,6,2011,49.44,129.69,2.05
167,31.33,0.0,17,6,2011,62.44,70.88,2.89
168,28.58,0.0,18,6,2011,78.31,97.69,6.34
169,27.8,0.0,19,6,2011,86.19,46.19,7.01
170,29.32,0.0,20,6,2011,81.38,84.0,8.4
171,30.53,0.0,21,6,2011,75.81,115.06,5.97
172,31.48,0.0,22,6,2011,72.0,133.5,3.7
173,32.62,0.0,23,6,2011,68.25,179.56,2.38
174,32.27,0.0,24,6,2011,68.06,213.69,2.09
175,29.95,0.0,25,6,2011,78.0,122.94,2.87
176,30.26,0.0,26,6,2011,77.5,84.0,2.58
177,29.88,0.0,27,6,2011,81.12,99.88,3.65
178,29.31,0.0,28,6,2011,81.19,116.69,4.54
179,28.73,0.0,29,6,2011,84.88,129.31,2.72
180,28.7,0.0,30,6,2011,85.81,204.88,2.88
181,28.86,0.0,1,7,2011,83.88,234.62,3.17
182,28.98,0.0,2,7,2011,84.5,259.19,3.23
183,30.0,0.0,3,7,2011,80.94,251.44,2.09
184,30.07,0.0,4,7,2011,79.44,156.06,1.62
185,29.51,0.0,5,7,2011,80.0,102.56,3.9
186,29.25,0.0,6,7,2011,78.44,118.81,2.89
187,29.48,0.0,7,7,2011,77.56,116.69,2.7
188,29.91,0.0,8,7,2011,80.62,160.12,1.66
189,30.69,0.0,9,7,2011,76.06,210.5,2.06
190,31.12,0.0,10,7,2011,74.88,190.12,1.14
191,30.51,0.0,11,7,2011,76.94,211.38,1.73
192,29.57,0.0,12,7,2011,81.88,119.31,2.09
193,29.42,0.0,13,7,2011,80.88,117.38,2.41
194,30.0,1.0,14,7,2011,81.25,95.81,2.83
195,29.6,0.0,15,7,2011,82.81,100.5,2.98
196,29.85,0.0,16,7,2011,79.56,108.0,3.67
197,29.39,0.0,17,7,2011,79.81,109.94,3.24
198,30.65,0.0,18,7,2011,77.06,155.94,2.48
199,29.23,0.0,19,7,2011,83.94,221.56,3.33
200,28.9,0.0,20,7,2011,85.25,155.69,1.75
201,29.01,0.0,21,7,2011,86.5,59.94,2.88
202,29.22,0.0,22,7,2011,84.06,85.25,5.16
203,28.7,0.0,23,7,2011,80.5,110.88,5.06
204,28.55,0.0,24,7,2011,80.69,115.19,3.43
205,29.43,0.0,25,7,2011,79.12,120.69,2.56
206,30.45,0.0,26,7,2011,76.0,167.69,1.73
207,29.46,0.0,27,7,2011,81.56,214.31,1.73
208,29.95,0.0,28,7,2011,79.44,170.06,1.52
209,30.62,0.0,29,7,2011,75.62,131.69,0.98
210,30.21,0.0,30,7,2011,79.12,191.94,1.12
211,30.98,0.0,31,7,2011,76.88,227.38,1.47
212,30.9,0.0,1,8,2011,79.81,235.19,1.58
213,31.18,0.0,2,8,2011,78.62,251.12,0.86
214,30.53,0.0,3,8,2011,80.38,92.75,1.25
215,30.7,0.0,4,8,2011,79.5,116.62,1.13
216,30.02,0.0,5,8,2011,81.88,105.69,1.4
217,28.76,0.0,6,8,2011,88.38,72.0,3.18
218,28.66,0.0,7,8,2011,89.56,80.88,4.11
219,28.26,0.0,8,8,2011,88.56,94.06,4.52
220,28.46,0.0,9,8,2011,86.81,160.62,2.29
221,27.4,0.0,10,8,2011,91.06,134.31,1.09
222,28.26,0.0,11,8,2011,87.06,100.25,2.57
223,28.14,0.0,12,8,2011,86.25,77.75,2.96
224,27.73,0.0,13,8,2011,88.62,84.25,5.47
225,27.58,0.0,14,8,2011,91.25,108.88,3.77
226,28.62,0.0,15,8,2011,86.19,140.06,2.05
227,27.69,0.0,16,8,2011,90.31,249.31,1.87
228,27.37,0.0,17,8,2011,89.0,188.0,1.82
229,27.37,0.0,18,8,2011,84.94,160.06,1.31
230,27.13,0.0,19,8,2011,87.69,115.75,2.19
231,28.23,0.0,20,8,2011,83.81,121.0,2.17
232,29.39,0.0,21,8,2011,80.81,155.56,1.34
233,28.99,0.0,22,8,2011,85.94,178.62,1.13
234,29.12,0.0,23,8,2011,85.56,143.19,1.2
235,27.98,0.0,24,8,2011,88.38,111.69,1.62
236,27.86,0.0,25,8,2011,88.81,108.56,1.7
237,28.45,0.0,26,8,2011,85.5,91.75,2.59
238,28.47,0.0,27,8,2011,85.56,102.94,2.98
239,28.48,0.0,28,8,2011,85.12,101.75,2.49
240,28.81,0.0,29,8,2011,84.94,106.38,2.51
241,29.19,0.0,30,8,2011,84.06,104.5,2.66
