,T2M,PRECTOTCORR,DY,MO,YEAR,RH2M,WD50M,WS2M
0,16.56,1.0,1,1,2011,67.75,311.44,2.87
1,13.98,1.0,2,1,2011,53.44,310.25,1.99
2,13.07,1.0,3,1,2011,53.94,337.62,1.84
3,12.42,1.0,4,1,2011,55.12,340.44,1.82
4,12.37,1.0,5,1,2011,54.12,331.12,1.74
5,12.1,1.0,6,1,2011,58.0,336.94,1.78
6,13.05,1.0,7,1,2011,52.38,218.94,1.82
7,13.81,1.0,8,1,2011,48.38,211.06,1.11
8,15.8,1.0,9,1,2011,43.94,231.12,0.96
9,13.68,1.0,10,1,2011,43.94,318.19,2.52
10,12.39,1.0,11,1,2011,47.88,322.69,2.31
11,13.19,1.0,12,1,2011,45.62,319.75,1.77
12,14.86,1.0,13,1,2011,45.56,259.75,1.46
13,18.13,1.0,14,1,2011,42.69,246.19,1.23
14,19.41,1.0,15,1,2011,48.56,223.5,1.2
15,17.84,0.0,16,1,2011,50.44,289.44,3.36
16,12.98,1.0,17,1,2011,38.56,308.38,2.08
17,15.91,1.0,18,1,2011,34.31,275.5,1.3
18,16.03,1.0,19,1,2011,37.69,267.94,1.5
19,14.08,1.0,20,1,2011,47.31,68.56,1.53
20,13.94,1.0,21,1,2011,48.31,241.5,1.55
21,15.89,1.0,22,1,2011,46.94,331.88,1.77
22,17.77,1.0,23,1,2011,49.0,236.38,1.61
23,18.41,1.0,24,1,2011,50.5,194.81,1.27
24,19.16,1.0,25,1,2011,50.5,185.38,1.17
25,20.5,0.0,26,1,2011,51.0,111.56,1.14
26,19.44,1.0,27,1,2011,52.62,250.94,1.73
27,18.44,1.0,28,1,2011,47.56,229.81,1.16
28,18.42,0.0,29,1,2011,52.81,157.88,1.09
29,19.87,0.0,30,1,2011,71.5,181.5,1.14
30,19.79,0.0,31,1,2011,59.0,313.88,2.26
31,18.15,1.0,1,2,2011,47.69,333.38,1.99
32,17.22,1.0,2,2,2011,46.25,344.19,1.77
33,17.69,1.0,3,2,2011,44.94,314.5,1.67
34,18.42,1.0,4,2,2011,48.0,210.12,1.52
35,19.79,1.0,5,2,2011,43.31,178.56,0.85
36,20.52,1.0,6,2,2011,44.25,173.62,1.2
37,21.03,1.0,7,2,2011,42.06,287.25,1.65
38,21.83,1.0,8,2,2011,39.88,310.44,1.83
39,21.05,1.0,9,2,2011,42.81,315.31,2.88
40,20.3,1.0,10,2,2011,36.81,325.75,2.38
41,20.15,1.0,11,2,2011,42.56,326.88,2.08
42,20.15,1.0,12,2,2011,37.25,315.12,2.02
43,20.96,1.0,13,2,2011,39.44,284.69,2.13
44,22.8,1.0,14,2,2011,40.62,193.25,1.48
45,24.92,0.0,15,2,2011,39.56,213.94,1.12
46,24.24,0.0,16,2,2011,39.44,240.81,2.59
47,20.98,0.0,17,2,2011,60.81,325.12,2.62
48,21.98,0.0,18,2,2011,53.62,245.0,1.42
49,22.35,0.0,19,2,2011,59.25,120.38,0.77
50,22.09,0.0,20,2,2011,51.75,127.06,1.6
51,18.3,0.0,21,2,2011,62.12,230.69,2.12
52,19.85,1.0,22,2,2011,49.0,308.5,1.79
53,20.46,1.0,23,2,2011,38.38,346.56,1.76
54,20.93,1.0,24,2,2011,35.75,338.12,1.87
55,22.13,0.0,25,2,2011,34.44,207.44,1.29
56,22.44,1.0,26,2,2011,44.88,162.94,1.25
57,23.12,1.0,27,2,2011,41.19,289.62,2.09
58,21.63,1.0,28,2,2011,36.06,332.12,2.58
59,21.65,1.0,1,3,2011,28.06,333.94,2.45
60,22.75,1.0,2,3,2011,26.25,338.44,2.0
61,24.75,1.0,3,3,2011,35.88,334.56,1.8
62,25.65,0.0,4,3,2011,35.75,240.19,1.52
63,26.98,1.0,5,3,2011,37.06,241.06,1.91
64,26.88,1.0,6,3,2011,31.38,307.81,3.56
65,25.68,1.0,7,3,2011,23.69,301.94,3.7
66,26.15,1.0,8,3,2011,23.62,301.56,3.51
67,27.51,0.0,9,3,2011,27.88,228.12,1.55
68,28.37,0.0,10,3,2011,39.5,216.38,1.16
69,27.77,0.0,11,3,2011,50.44,195.31,1.71
70,26.3,0.0,12,3,2011,42.69,304.06,2.03
71,24.75,1.0,13,3,2011,31.25,250.44,0.82
72,25.24,1.0,14,3,2011,26.88,233.56,1.45
73,24.99,0.0,15,3,2011,29.38,30.62,1.59
74,26.15,0.0,16,3,2011,25.81,49.0,1.5
75,26.79,1.0,17,3,2011,24.38,161.0,1.38
76,27.21,1.0,18,3,2011,33.0,257.06,2.78
77,29.54,1.0,19,3,2011,22.12,283.75,2.21
78,30.15,1.0,20,3,2011,18.0,281.25,2.39
79,29.4,1.0,21,3,2011,17.62,305.06,2.58
80,28.34,1.0,22,3,2011,15.5,326.0,1.91
81,28.4,1.0,23,3,2011,15.5,248.75,1.72
82,29.34,0.0,24,3,2011,24.06,131.06,1.47
83,29.45,0.0,25,3,2011,32.44,196.12,1.25
84,29.43,0.0,26,3,2011,31.81,296.12,1.36
85,28.3,0.0,27,3,2011,23.06,282.38,1.95
86,28.51,0.0,28,3,2011,38.0,173.06,1.77
87,28.86,0.0,29,3,2011,48.38,88.69,2.06
88,29.59,0.0,30,3,2011,52.31,147.44,2.18
89,28.48,0.0,31,3,2011,48.0,277.69,2.48
90,28.17,1.0,1,4,2011,29.44,181.44,1.7
91,28.98,1.0,2,4,2011,38.5,90.75,1.02
