,T2M,PRECTOTCORR,DY,MO,YEAR,RH2M,WD50M,WS2M
0,14.26,1.0,1,1,2011,71.5,313.31,3.0
1,11.28,1.0,2,1,2011,53.81,319.56,1.87
2,11.08,1.0,3,1,2011,52.38,341.06,1.48
3,9.9,1.0,4,1,2011,57.88,343.5,1.38
4,9.97,1.0,5,1,2011,56.44,322.31,1.45
5,9.98,1.0,6,1,2011,58.19,338.06,1.38
6,11.79,1.0,7,1,2011,48.19,175.5,1.27
7,14.19,1.0,8,1,2011,39.19,180.5,0.63
8,14.54,1.0,9,1,2011,42.5,166.06,0.8
9,11.37,1.0,10,1,2011,44.5,318.69,2.22
10,10.65,1.0,11,1,2011,46.94,319.0,2.48
11,11.72,1.0,12,1,2011,44.62,313.19,2.2
12,14.08,1.0,13,1,2011,44.75,316.69,1.89
13,16.98,1.0,14,1,2011,42.94,251.69,1.62
14,17.98,1.0,15,1,2011,49.5,236.19,1.88
15,15.04,1.0,16,1,2011,48.0,293.5,3.49
16,10.94,1.0,17,1,2011,38.0,307.06,2.8
17,14.12,1.0,18,1,2011,32.75,308.12,1.77
18,14.3,1.0,19,1,2011,36.56,313.75,1.78
19,12.39,1.0,20,1,2011,48.75,101.88,1.28
20,12.64,1.0,21,1,2011,45.38,224.0,1.57
21,14.35,1.0,22,1,2011,46.19,319.62,2.1
22,16.56,1.0,23,1,2011,48.94,271.5,1.75
23,17.41,1.0,24,1,2011,49.56,154.81,1.16
24,17.68,1.0,25,1,2011,51.62,171.06,1.18
25,17.59,0.0,26,1,2011,58.88,194.88,1.76
26,16.67,1.0,27,1,2011,55.88,329.19,1.8
27,17.18,1.0,28,1,2011,47.38,137.88,1.2
28,17.74,0.0,29,1,2011,58.06,202.12,1.37
29,18.62,0.0,30,1,2011,67.38,230.81,1.82
30,17.15,0.0,31,1,2011,61.44,327.5,2.32
31,15.98,1.0,1,2,2011,48.5,321.69,2.0
32,15.7,1.0,2,2,2011,43.94,277.69,1.71
33,16.93,1.0,3,2,2011,40.25,197.75,1.42
34,17.71,1.0,4,2,2011,43.56,167.12,1.3
35,19.27,1.0,5,2,2011,38.12,130.19,0.83
36,19.4,1.0,6,2,2011,40.56,226.38,1.29
37,20.3,1.0,7,2,2011,36.5,214.81,1.64
38,20.33,1.0,8,2,2011,37.75,295.56,2.09
39,18.71,1.0,9,2,2011,48.0,312.44,2.87
40,18.19,1.0,10,2,2011,41.69,320.25,2.28
41,18.36,1.0,11,2,2011,43.62,322.56,2.23
42,18.28,1.0,12,2,2011,38.0,311.44,2.34
43,19.76,1.0,13,2,2011,39.94,321.69,2.3
44,22.18,1.0,14,2,2011,40.94,200.69,1.44
45,22.31,1.0,15,2,2011,44.81,225.44,1.94
46,21.62,0.0,16,2,2011,43.44,236.0,2.93
47,18.23,0.0,17,2,2011,67.12,258.0,2.12
48,19.39,0.0,18,2,2011,57.69,243.69,1.49
49,19.01,0.0,19,2,2011,55.0,127.94,1.39
50,18.27,0.0,20,2,2011,61.5,199.56,1.34
51,16.96,0.0,21,2,2011,63.19,135.75,1.66
52,17.86,1.0,22,2,2011,44.44,309.06,1.55
53,18.98,1.0,23,2,2011,38.88,153.94,1.28
54,19.65,1.0,24,2,2011,34.25,153.06,1.66
55,20.87,0.0,25,2,2011,36.38,165.69,1.27
56,19.69,0.0,26,2,2011,49.81,155.81,1.59
57,20.4,1.0,27,2,2011,44.0,208.5,1.74
58,19.35,1.0,28,2,2011,38.19,334.38,2.2
59,19.7,1.0,1,3,2011,29.5,330.12,2.34
60,21.44,1.0,2,3,2011,26.5,268.06,1.9
61,23.19,1.0,3,3,2011,35.5,142.25,1.67
62,24.25,0.0,4,3,2011,35.62,129.0,1.4
63,25.38,1.0,5,3,2011,37.69,236.38,2.22
64,24.12,1.0,6,3,2011,32.88,308.62,3.29
65,23.61,1.0,7,3,2011,24.88,302.0,4.13
66,24.09,1.0,8,3,2011,24.69,303.88,3.89
67,26.22,0.0,9,3,2011,26.62,257.06,2.08
68,26.04,0.0,10,3,2011,32.56,126.31,1.41
69,25.26,0.0,11,3,2011,39.25,210.94,2.09
70,23.49,0.0,12,3,2011,31.0,317.19,2.45
71,22.73,1.0,13,3,2011,20.62,318.81,1.88
72,23.05,1.0,14,3,2011,21.81,259.25,1.88
73,23.45,1.0,15,3,2011,24.25,35.75,1.97
74,24.33,1.0,16,3,2011,21.19,48.75,1.6
75,25.78,1.0,17,3,2011,17.44,235.38,1.66
76,26.12,1.0,18,3,2011,18.88,287.38,2.45
77,28.29,1.0,19,3,2011,18.44,283.62,2.38
78,27.94,1.0,20,3,2011,15.88,272.69,2.94
79,27.11,1.0,21,3,2011,16.88,303.0,2.7
80,26.31,1.0,22,3,2011,14.19,319.62,2.46
81,26.52,1.0,23,3,2011,14.44,139.38,1.7
82,26.96,0.0,24,3,2011,21.12,100.0,1.41
83,27.27,0.0,25,3,2011,25.94,186.75,1.62
84,26.98,0.0,26,3,2011,22.38,305.44,2.26
85,26.04,0.0,27,3,2011,20.75,280.5,2.14
86,26.8,0.0,28,3,2011,20.25,175.56,2.0
87,26.4,1.0,29,3,2011,41.38,145.88,1.7
88,27.51,0.0,30,3,2011,42.0,168.44,2.06
89,26.15,1.0,31,3,2011,39.25,269.88,2.76
90,26.93,1.0,1,4,2011,22.25,181.31,1.9
91,27.08,1.0,2,4,2011,22.88,143.5,1.19
92,28.1,1.0,3,4,2011,32.25,133.81,1.78
93,28.41,0.0,4,4,2011,29.38,255.62,2.41
94,26.72,0.0,5,4,2011,43.69,53.81,2.23
95,26.46,1.0,6,4,2011,23.25,295.62,2.4
96,26.94,1.0,7,4,2011,10.75,309.5,1.95
97,28.85,1.0,8,4,2011,13.06,241.81,1.77
98,28.75,0.0,9,4,2011,19.94,254.25,1.31
99,28.09,1.0,10,4,2011,26.25,103.38,1.88
100,29.05,0.0,11,4,2011,29.19,245.12,1.5
101,29.59,0.0,12,4,2011,21.62,172.31,1.78
102,28.29,0.0,13,4,2011,35.0,199.31,1.68
103,28.4,0.0,14,4,2011,41.88,273.25,1.95
104,28.32,1.0,15,4,2011,39.69,145.75,1.33
105,30.26,1.0,16,4,2011,29.75,219.56,1.49
106,31.63,1.0,17,4,2011,25.44,220.69,1.88
107,30.68,0.0,18,4,2011,32.5,159.19,1.1
108,28.01,0.0,19,4,2011,57.19,220.25,2.05
109,27.67,0.0,20,4,2011,55.12,234.81,1.88
110,28.4,0.0,21,4,2011,46.69,189.06,0.82
111,23.98,0.0,22,4,2011,60.06,149.06,2.02
112,26.44,0.0,23,4,2011,47.5,228.38,1.8
113,28.2,1.0,24,4,2011,38.5,161.56,1.45
114,27.3,0.0,25,4,2011,51.69,208.0,3.55
115,26.4,0.0,26,4,2011,58.44,173.88,2.48
116,26.01,0.0,27,4,2011,57.5,142.75,2.02
117,27.83,1.0,28,4,2011,47.06,116.5,1.62
118,28.92,0.0,29,4,2011,46.06,189.69,1.65
119,29.18,0.0,30,4,2011,53.31,170.88,1.86
120,30.18,0.0,1,5,2011,47.69,232.94,2.27
121,31.45,1.0,2,5,2011,35.12,285.69,2.25
122,32.58,0.0,3,5,2011,27.12,306.5,2.09
123,32.08,0.0,4,5,2011,31.38,216.19,2.24
124,28.8,0.0,5,5,2011,62.31,99.69,1.98
125,29.18,0.0,6,5,2011,58.62,93.12,1.59
126,29.87,0.0,7,5,2011,56.12,197.75,1.48
127,29.69,0.0,8,5,2011,50.0,292.19,1.77
128,30.33,1.0,9,5,2011,36.31,298.75,1.77
129,31.55,1.0,10,5,2011,31.44,232.25,2.3
130,32.18,1.0,11,5,2011,30.62,286.62,2.09
131,33.16,1.0,12,5,2011,27.88,282.0,1.65
132,32.84,0.0,13,5,2011,32.69,219.31,2.05
133,32.7,0.0,14,5,2011,39.56,192.62,1.57
134,32.98,0.0,15,5,2011,32.88,232.0,1.23
135,33.8,0.0,16,5,2011,33.06,206.62,1.46
136,32.82,0.0,17,5,2011,46.19,155.62,2.13
137,33.63,0.0,18,5,2011,39.75,207.31,2.76
138,32.41,0.0,19,5,2011,49.44,201.31,2.53
139,32.36,0.0,20,5,2011,46.19,228.0,2.41
140,32.29,0.0,21,5,2011,51.25,247.81,2.21
141,31.09,0.0,22,5,2011,54.38,159.5,1.38
142,31.44,1.0,23,5,2011,43.25,280.12,2.55
143,32.3,1.0,24,5,2011,36.5,290.5,2.76
144,33.01,0.0,25,5,2011,35.75,122.56,1.77
145,30.9,0.0,26,5,2011,57.94,98.62,2.43
146,30.44,0.0,27,5,2011,59.06,83.31,1.98
147,30.9,0.0,28,5,2011,53.69,159.19,2.26
148,31.26,0.0,29,5,2011,50.69,95.5,2.03
149,32.48,0.0,30,5,2011,45.94,196.56,1.7
150,32.26,0.0,31,5,2011,47.44,222.88,1.6
151,31.68,0.0,1,6,2011,48.12,240.88,2.72
152,32.03,0.0,2,6,2011,49.25,192.88,2.73
153,31.98,0.0,3,6,2011,44.75,217.62,2.16
154,32.32,1.0,4,6,2011,43.75,200.44,1.8
155,33.44,1.0,5,6,2011,39.94,191.19,2.23
156,33.05,1.0,6,6,2011,44.62,182.25,2.91
157,32.55,0.0,7,6,2011,46.19,156.94,3.16
158,31.79,0.0,8,6,2011,49.25,223.25,2.41
159,32.0,0.0,9,6,2011,47.12,243.0,3.32
160,33.51,1.0,10,6,2011,37.44,261.25,3.12
161,33.36,0.0,11,6,2011,39.0,275.88,3.19
162,33.61,0.0,12,6,2011,41.0,222.81,2.05
163,31.78,0.0,13,6,2011,51.94,118.56,2.14
164,30.83,0.0,14,6,2011,56.69,159.44,1.94
165,28.34,0.0,15,6,2011,72.25,91.12,1.85
166,28.69,0.0,16,6,2011,68.5,278.75,2.39
167,26.98,0.0,17,6,2011,76.56,343.94,4.0
168,24.94,0.0,18,6,2011,91.56,305.81,5.82
169,25.18,0.0,19,6,2011,95.19,22.31,6.07
170,25.48,0.0,20,6,2011,89.06,137.75,6.8
171,25.96,0.0,21,6,2011,86.62,175.44,5.46
172,26.67,0.0,22,6,2011,84.75,184.56,3.8
173,27.1,0.0,23,6,2011,83.5,205.38,2.98
174,27.06,0.0,24,6,2011,81.5,219.31,2.24
175,26.28,0.0,25,6,2011,84.12,163.38,2.2
176,26.67,0.0,26,6,2011,85.19,118.62,1.82
177,25.99,0.0,27,6,2011,89.38,156.38,2.52
178,25.67,0.0,28,6,2011,88.44,195.81,2.29
179,25.4,0.0,29,6,2011,87.06,205.75,3.09
180,26.1,0.0,30,6,2011,85.44,252.81,3.87
181,26.11,0.0,1,7,2011,83.75,255.31,2.39
182,26.55,0.0,2,7,2011,82.19,266.0,2.1
183,26.24,0.0,3,7,2011,83.56,253.88,1.95
184,25.44,0.0,4,7,2011,88.06,209.06,1.62
185,25.4,0.0,5,7,2011,87.12,117.25,3.93
186,24.84,0.0,6,7,2011,86.75,111.31,3.52
187,25.51,0.0,7,7,2011,85.12,174.25,3.29
188,25.62,0.0,8,7,2011,86.06,195.56,3.32
189,26.12,0.0,9,7,2011,83.44,212.5,2.52
190,26.35,0.0,10,7,2011,82.62,230.06,2.04
191,26.18,0.0,11,7,2011,83.88,231.62,1.38
192,25.86,0.0,12,7,2011,87.94,131.5,2.23
193,25.81,0.0,13,7,2011,87.5,117.81,2.78
194,26.44,0.0,14,7,2011,87.5,124.19,2.19
195,26.23,0.0,15,7,2011,88.94,136.69,2.38
196,25.56,0.0,16,7,2011,91.94,143.44,2.47
197,25.91,0.0,17,7,2011,87.56,139.06,2.6
198,25.68,0.0,18,7,2011,89.5,202.5,2.86
199,25.77,0.0,19,7,2011,88.06,240.81,2.44
