,T2M,PRECTOTCORR,DY,MO,YEAR,RH2M,WD50M,WS2M
0,11.65,0.0,1,1,2011,90.44,239.0,1.61
1,10.69,1.0,2,1,2011,86.12,208.19,0.99
2,11.4,1.0,3,1,2011,84.5,139.88,0.98
3,10.4,1.0,4,1,2011,83.25,136.19,1.02
4,10.59,1.0,5,1,2011,84.44,140.56,1.24
5,11.2,1.0,6,1,2011,84.88,129.94,1.05
6,11.66,1.0,7,1,2011,79.88,150.38,1.17
7,12.01,1.0,8,1,2011,72.88,160.06,1.2
8,13.02,1.0,9,1,2011,63.75,168.5,1.2
9,11.49,1.0,10,1,2011,65.12,186.12,1.15
10,8.87,1.0,11,1,2011,70.44,144.06,1.26
11,9.51,1.0,12,1,2011,71.19,180.31,1.06
12,8.88,1.0,13,1,2011,74.69,202.88,1.17
13,10.49,1.0,14,1,2011,63.56,143.69,1.08
14,10.98,1.0,15,1,2011,60.44,199.94,1.12
15,10.3,0.0,16,1,2011,81.62,233.94,1.25
16,9.6,0.0,17,1,2011,76.44,254.62,1.34
17,7.85,1.0,18,1,2011,68.75,165.06,1.34
18,8.1,0.0,19,1,2011,68.06,181.31,1.61
19,9.11,0.0,20,1,2011,71.94,182.44,1.4
20,8.44,1.0,21,1,2011,80.5,168.06,1.24
21,9.82,1.0,22,1,2011,72.94,185.38,1.2
22,11.13,1.0,23,1,2011,69.0,237.25,0.83
23,11.16,1.0,24,1,2011,70.12,237.81,1.21
24,12.11,1.0,25,1,2011,71.0,202.44,1.41
25,13.1,1.0,26,1,2011,69.06,150.19,1.29
26,12.99,1.0,27,1,2011,70.06,270.62,1.56
27,11.15,1.0,28,1,2011,67.31,245.94,1.39
28,9.76,1.0,29,1,2011,75.56,146.06,1.4
29,12.28,1.0,30,1,2011,67.12,178.12,1.3
30,13.62,1.0,31,1,2011,72.06,207.31,1.37
31,12.05,1.0,1,2,2011,79.88,236.62,1.34
32,11.98,1.0,2,2,2011,81.75,86.88,1.05
33,13.15,1.0,3,2,2011,77.44,138.44,1.05
34,14.24,1.0,4,2,2011,71.19,146.12,1.15
35,14.01,1.0,5,2,2011,67.5,155.06,0.84
