,T2M,PRECTOTCORR,DY,MO,YEAR,RH2M,WD50M,WS2M
0,-4.31,0.0,1,1,2011,83.5,265.25,2.48
1,-4.8,1.0,2,1,2011,63.19,193.19,1.59
2,-1.76,1.0,3,1,2011,52.69,295.38,1.2
3,-1.45,1.0,4,1,2011,54.44,214.25,1.34
4,-1.34,1.0,5,1,2011,57.75,264.38,1.4
5,-1.85,1.0,6,1,2011,51.88,282.62,1.28
6,-2.0,1.0,7,1,2011,52.56,266.75,1.45
7,-3.91,1.0,8,1,2011,59.94,271.12,1.54
8,-5.16,1.0,9,1,2011,53.5,266.0,1.58
9,-5.45,1.0,10,1,2011,49.62,281.31,1.22
10,-5.18,1.0,11,1,2011,52.19,274.25,1.45
11,-2.67,1.0,12,1,2011,51.94,286.31,1.37
12,-2.83,1.0,13,1,2011,55.38,268.0,1.7
13,-3.1,1.0,14,1,2011,53.31,279.12,1.66
14,-4.04,1.0,15,1,2011,57.56,274.69,1.88
15,-7.22,1.0,16,1,2011,90.25,263.94,2.09
16,-6.58,1.0,17,1,2011,70.5,296.38,1.53
17,-5.99,1.0,18,1,2011,83.44,254.38,2.12
18,-6.65,0.0,19,1,2011,81.12,267.56,1.77
19,-4.33,1.0,20,1,2011,64.94,283.88,1.35
20,-3.26,1.0,21,1,2011,69.56,254.38,1.55
21,-3.06,1.0,22,1,2011,71.5,262.06,1.69
22,-3.18,1.0,23,1,2011,73.5,264.62,2.01
23,-3.44,1.0,24,1,2011,65.25,264.25,2.02
24,-3.86,1.0,25,1,2011,63.06,263.5,1.92
25,-4.51,1.0,26,1,2011,68.44,252.81,2.12
26,-3.81,1.0,27,1,2011,74.88,270.38,1.39
27,-3.3,1.0,28,1,2011,62.06,270.12,1.41
28,-3.25,1.0,29,1,2011,59.06,275.88,1.39
29,-3.42,1.0,30,1,2011,64.69,260.75,1.61
30,-3.21,1.0,31,1,2011,73.12,292.19,1.16
31,-2.03,1.0,1,2,2011,55.0,288.5,1.31
32,-2.24,1.0,2,2,2011,50.69,160.62,1.32
33,-0.02,1.0,3,2,2011,44.88,164.62,1.25
34,1.61,1.0,4,2,2011,42.56,240.94,1.2
35,1.3,1.0,5,2,2011,52.56,288.38,1.47
36,0.6,1.0,6,2,2011,51.81,301.81,1.43
37,1.12,1.0,7,2,2011,49.38,291.31,1.62
38,-0.35,1.0,8,2,2011,59.94,263.06,1.98
39,-1.88,1.0,9,2,2011,64.69,267.44,1.69
40,-0.91,1.0,10,2,2011,60.88,290.12,1.52
41,-0.45,1.0,11,2,2011,58.81,275.81,1.58
42,0.36,1.0,12,2,2011,52.5,285.31,1.32
43,0.9,1.0,13,2,2011,59.12,267.25,1.37
44,0.59,1.0,14,2,2011,63.44,273.38,1.73
45,0.0,0.0,15,2,2011,70.62,248.44,1.83
46,-1.02,0.0,16,2,2011,87.12,235.69,2.44
47,-3.33,0.0,17,2,2011,91.56,246.19,2.41
48,-5.38,1.0,18,2,2011,70.19,281.5,1.97
49,-4.94,1.0,19,2,2011,60.88,268.0,1.79
50,-3.84,1.0,20,2,2011,54.12,277.81,1.51
51,-4.17,0.0,21,2,2011,57.31,229.06,1.59
52,-4.1,0.0,22,2,2011,55.5,140.5,1.22
53,-1.21,1.0,23,2,2011,48.94,284.69,1.59
54,-1.72,1.0,24,2,2011,44.38,284.25,1.73
55,-2.38,0.0,25,2,2011,54.31,243.5,1.61
56,-3.56,0.0,26,2,2011,65.38,260.5,1.86
57,-3.64,1.0,27,2,2011,53.88,260.62,1.98
58,-2.7,1.0,28,2,2011,47.38,291.75,1.7
59,-1.35,1.0,1,3,2011,43.81,301.0,1.71
60,0.43,1.0,2,3,2011,51.38,266.62,1.52
61,0.51,0.0,3,3,2011,62.12,262.5,1.77
62,-0.02,0.0,4,3,2011,71.94,271.75,1.84
63,0.57,1.0,5,3,2011,55.94,274.94,2.12
64,2.12,1.0,6,3,2011,38.62,294.31,1.66
65,2.28,1.0,7,3,2011,43.31,294.94,1.57
66,1.89,1.0,8,3,2011,46.75,271.06,2.09
67,0.44,0.0,9,3,2011,57.0,254.19,2.43
68,-0.31,0.0,10,3,2011,56.44,261.12,2.08
69,-0.86,1.0,11,3,2011,59.56,275.75,1.92
70,-0.53,1.0,12,3,2011,62.69,268.62,1.69
71,0.59,0.0,13,3,2011,53.75,268.94,1.71
72,0.69,0.0,14,3,2011,51.19,258.94,1.36
73,-0.1,1.0,15,3,2011,38.31,22.69,2.16
74,1.56,1.0,16,3,2011,41.19,145.56,1.78
75,2.18,1.0,17,3,2011,64.44,222.44,1.68
76,1.99,1.0,18,3,2011,81.31,269.5,1.97
77,2.95,1.0,19,3,2011,72.0,269.81,2.26
78,1.99,0.0,20,3,2011,57.06,260.44,3.19
79,2.16,1.0,21,3,2011,56.31,259.94,2.62
80,2.87,1.0,22,3,2011,42.75,269.94,1.98
81,2.78,1.0,23,3,2011,37.69,276.56,1.91
82,2.34,0.0,24,3,2011,41.19,269.31,1.8
83,1.3,0.0,25,3,2011,52.0,278.25,1.84
84,2.46,0.0,26,3,2011,60.25,256.44,1.67
85,2.22,0.0,27,3,2011,69.75,242.12,1.77
86,0.97,0.0,28,3,2011,82.56,159.44,1.34
87,2.01,0.0,29,3,2011,84.06,163.75,1.58
88,2.37,0.0,30,3,2011,85.44,237.31,2.05
89,2.52,0.0,31,3,2011,82.75,242.75,2.12
90,1.9,0.0,1,4,2011,74.62,251.81,1.99
91,2.06,1.0,2,4,2011,63.12,265.56,1.92
92,3.33,0.0,3,4,2011,67.0,254.94,2.27
93,2.15,0.0,4,4,2011,80.31,248.0,2.43
94,1.51,0.0,5,4,2011,52.75,264.88,1.88
95,1.21,1.0,6,4,2011,51.06,276.25,1.94
96,1.44,1.0,7,4,2011,51.31,275.62,1.98
97,1.69,1.0,8,4,2011,56.38,273.94,2.02
98,2.24,0.0,9,4,2011,60.25,274.0,1.96
99,2.96,0.0,10,4,2011,65.88,261.19,1.87
100,4.15,0.0,11,4,2011,71.19,260.31,1.55
101,4.21,0.0,12,4,2011,76.25,251.94,1.93
102,3.54,0.0,13,4,2011,79.62,214.44,1.62
103,3.9,0.0,14,4,2011,73.5,247.12,2.19
104,3.65,0.0,15,4,2011,78.56,242.06,1.8
105,4.77,0.0,16,4,2011,69.12,265.31,1.77
106,6.81,0.0,17,4,2011,63.88,224.69,1.53
107,6.59,0.0,18,4,2011,74.81,257.38,1.75
108,5.86,0.0,19,4,2011,79.69,257.88,1.91
109,5.47,0.0,20,4,2011,73.94,244.75,2.54
110,4.69,0.0,21,4,2011,54.75,261.38,2.14
111,3.68,0.0,22,4,2011,39.12,245.19,1.55
112,3.73,0.0,23,4,2011,51.5,218.25,1.82
113,4.67,0.0,24,4,2011,72.5,257.62,1.52
114,5.05,0.0,25,4,2011,73.62,266.75,1.45
115,5.26,0.0,26,4,2011,75.62,114.19,1.44
116,6.3,0.0,27,4,2011,74.12,139.38,1.55
117,6.75,0.0,28,4,2011,81.62,217.19,1.15
118,7.15,0.0,29,4,2011,81.19,183.0,1.3
119,7.43,0.0,30,4,2011,82.94,230.31,1.45
120,7.08,0.0,1,5,2011,82.19,233.88,1.92
121,7.12,0.0,2,5,2011,77.62,232.25,2.04
122,7.02,0.0,3,5,2011,72.06,276.25,1.5
123,8.09,0.0,4,5,2011,65.38,223.19,1.53
124,7.89,0.0,5,5,2011,76.31,176.75,1.58
125,8.32,0.0,6,5,2011,81.19,249.94,1.95
126,8.37,0.0,7,5,2011,83.44,217.12,2.2
127,7.02,0.0,8,5,2011,77.31,224.56,2.16
128,6.78,0.0,9,5,2011,82.69,230.12,1.62
129,7.7,0.0,10,5,2011,82.19,227.31,1.49
130,8.23,0.0,11,5,2011,82.0,247.94,1.7
131,7.51,0.0,12,5,2011,79.44,238.94,1.86
132,8.62,0.0,13,5,2011,82.31,233.31,1.76
133,8.48,0.0,14,5,2011,80.75,239.44,1.88
134,8.92,0.0,15,5,2011,81.69,249.56,1.66
135,9.26,0.0,16,5,2011,80.88,180.56,1.68
136,10.0,0.0,17,5,2011,80.38,162.75,1.64
137,8.64,0.0,18,5,2011,80.19,157.44,1.61
138,7.61,0.0,19,5,2011,83.12,159.06,1.48
139,7.46,0.0,20,5,2011,83.25,183.56,1.79
140,9.21,0.0,21,5,2011,79.81,247.88,1.45
141,9.01,0.0,22,5,2011,86.06,237.69,2.01
142,8.48,0.0,23,5,2011,81.94,239.06,2.2
143,8.79,0.0,24,5,2011,78.88,263.5,1.33
144,9.88,0.0,25,5,2011,76.81,192.12,1.59
145,10.28,0.0,26,5,2011,86.31,200.69,1.4
146,10.37,0.0,27,5,2011,82.94,199.75,1.47
147,9.92,0.0,28,5,2011,82.12,227.5,1.78
148,10.19,0.0,29,5,2011,86.12,193.19,2.28
149,10.18,0.0,30,5,2011,84.56,181.69,2.42
150,9.78,0.0,31,5,2011,85.81,209.88,2.52
151,9.79,0.0,1,6,2011,85.25,209.19,2.29
152,10.03,0.0,2,6,2011,88.56,212.81,2.57
153,10.55,0.0,3,6,2011,85.75,223.5,2.36
154,9.7,0.0,4,6,2011,83.0,223.06,1.96
155,9.44,0.0,5,6,2011,78.62,251.0,1.63
156,10.38,0.0,6,6,2011,80.12,231.5,1.76
157,9.62,0.0,7,6,2011,79.5,222.62,1.87
158,8.98,0.0,8,6,2011,77.06,206.75,1.73
159,9.33,0.0,9,6,2011,78.0,244.69,1.85
160,9.73,1.0,10,6,2011,80.88,221.62,2.14
161,10.08,0.0,11,6,2011,82.62,218.88,2.13
162,10.69,0.0,12,6,2011,84.62,213.44,1.77
