,T2M,PRECTOTCORR,DY,MO,YEAR,RH2M,WD50M,WS2M
0,17.33,1.0,1,1,2011,79.5,201.12,0.16
1,16.87,1.0,2,1,2011,82.88,189.06,0.19
2,14.89,1.0,3,1,2011,83.88,148.06,0.23
3,15.68,1.0,4,1,2011,82.38,154.06,0.24
4,16.68,1.0,5,1,2011,81.12,185.69,0.38
5,17.19,1.0,6,1,2011,78.94,196.81,0.41
6,16.88,1.0,7,1,2011,77.62,171.19,0.45
7,16.45,0.0,8,1,2011,81.75,141.19,0.44
8,17.86,0.0,9,1,2011,82.5,207.5,0.45
9,16.19,1.0,10,1,2011,80.31,318.75,0.27
10,13.82,1.0,11,1,2011,73.5,231.62,0.41
11,13.72,1.0,12,1,2011,71.81,214.75,0.52
12,13.36,1.0,13,1,2011,77.06,189.75,0.45
13,13.91,1.0,14,1,2011,75.5,119.56,0.42
14,15.38,1.0,15,1,2011,70.81,168.81,0.32
15,15.73,0.0,16,1,2011,78.56,152.94,0.12
16,16.32,0.0,17,1,2011,78.94,248.5,0.17
17,13.51,1.0,18,1,2011,69.31,158.25,0.38
18,13.94,1.0,19,1,2011,68.44,158.44,0.3
19,14.3,1.0,20,1,2011,72.31,137.56,0.14
20,14.4,1.0,21,1,2011,70.81,190.81,0.33
21,15.13,1.0,22,1,2011,66.94,171.25,0.48
22,15.02,1.0,23,1,2011,72.88,172.12,0.45
23,15.57,1.0,24,1,2011,74.0,161.38,0.28
24,17.15,1.0,25,1,2011,72.81,170.56,0.33
25,17.63,1.0,26,1,2011,73.75,161.69,0.16
26,18.42,1.0,27,1,2011,73.75,187.62,0.25
27,17.22,1.0,28,1,2011,75.19,123.5,0.08
28,16.57,1.0,29,1,2011,66.62,160.69,0.34
29,16.97,1.0,30,1,2011,70.06,165.75,0.34
30,18.36,1.0,31,1,2011,72.12,183.19,0.31
31,18.65,1.0,1,2,2011,70.06,224.75,0.42
32,17.43,1.0,2,2,2011,71.0,177.06,0.29
33,18.75,1.0,3,2,2011,71.38,161.38,0.35
34,19.87,1.0,4,2,2011,66.25,179.56,0.42
35,20.07,1.0,5,2,2011,62.25,203.88,0.37
36,19.69,1.0,6,2,2011,62.5,188.12,0.41
37,20.0,1.0,7,2,2011,64.75,214.44,0.44
38,19.49,1.0,8,2,2011,71.69,186.31,0.44
39,20.25,1.0,9,2,2011,68.38,192.25,0.24
40,19.89,1.0,10,2,2011,61.62,203.0,0.46
41,18.95,1.0,11,2,2011,48.56,177.25,0.56
42,18.8,1.0,12,2,2011,51.12,208.75,0.58
43,19.31,1.0,13,2,2011,53.0,168.12,0.48
44,19.4,1.0,14,2,2011,66.62,176.56,0.37
45,20.73,1.0,15,2,2011,76.94,177.94,0.12
46,21.4,1.0,16,2,2011,80.25,175.62,0.06
47,20.71,0.0,17,2,2011,79.69,186.75,0.06
48,20.5,0.0,18,2,2011,74.62,237.12,0.22
49,20.58,1.0,19,2,2011,65.12,156.12,0.17
50,20.83,1.0,20,2,2011,63.56,141.25,0.09
51,20.76,1.0,21,2,2011,59.56,178.12,0.05
52,20.38,1.0,22,2,2011,56.62,190.69,0.11
53,20.44,1.0,23,2,2011,54.06,165.38,0.29
54,20.67,1.0,24,2,2011,55.88,180.5,0.3
55,20.85,1.0,25,2,2011,56.69,162.31,0.27
56,21.92,1.0,26,2,2011,54.56,219.94,0.32
57,21.94,1.0,27,2,2011,55.88,227.0,0.15
