,T2M,PRECTOTCORR,HR,DY,MO,YEAR,RH2M,WS50M,WS50M
0,26.64,0.0,5,1,6,2011,90.44,6.97,6.97
1,26.94,0.0,6,1,6,2011,89.69,7.05,7.05
2,27.34,0.0,7,1,6,2011,88.19,7.12,7.12
3,27.8,0.0,8,1,6,2011,86.31,7.59,7.59
4,28.12,0.0,9,1,6,2011,85.06,8.13,8.13
5,28.25,0.0,10,1,6,2011,84.5,8.47,8.47
6,28.2,0.0,11,1,6,2011,83.62,8.81,8.81
7,28.1,0.0,12,1,6,2011,82.19,8.67,8.67
8,27.96,0.0,13,1,6,2011,81.81,8.02,8.02
9,27.8,0.0,14,1,6,2011,82.88,7.2,7.2
10,27.59,0.0,15,1,6,2011,84.88,6.49,6.49
11,27.44,0.0,16,1,6,2011,87.19,5.78,5.78
12,27.23,0.0,17,1,6,2011,89.94,5.52,5.52
13,26.96,0.0,18,1,6,2011,91.38,6.33,6.33
14,26.91,0.0,19,1,6,2011,92.06,7.48,7.48
15,26.87,0.0,20,1,6,2011,92.88,8.56,8.56
16,26.9,0.0,21,1,6,2011,92.19,9.84,9.84
17,26.9,0.0,22,1,6,2011,91.25,10.31,10.31
18,26.77,0.0,23,1,6,2011,91.0,9.97,9.97
19,26.68,0.0,0,2,6,2011,91.0,9.85,9.85
20,26.61,0.0,1,2,6,2011,90.69,10.35,10.35
21,26.49,0.0,2,2,6,2011,89.81,10.5,10.5
22,26.24,0.0,3,2,6,2011,90.06,9.64,9.64
23,26.12,0.0,4,2,6,2011,90.81,8.82,8.82
24,26.2,0.0,5,2,6,2011,90.75,9.13,9.13
25,26.51,0.0,6,2,6,2011,89.25,10.33,10.33
26,26.82,0.0,7,2,6,2011,87.81,10.78,10.78
27,27.12,0.0,8,2,6,2011,86.19,10.49,10.49
28,27.43,0.0,9,2,6,2011,85.12,9.81,9.81
29,27.56,0.0,10,2,6,2011,84.69,9.51,9.51
30,27.63,0.0,11,2,6,2011,83.94,9.27,9.27
31,27.76,0.0,12,2,6,2011,83.12,8.93,8.93
32,27.85,0.0,13,2,6,2011,82.81,8.77,8.77
33,27.92,0.0,14,2,6,2011,83.19,8.73,8.73
34,27.83,0.0,15,2,6,2011,84.5,8.32,8.32
35,27.55,0.0,16,2,6,2011,86.5,7.63,7.63
36,27.05,0.0,17,2,6,2011,88.88,7.67,7.67
37,26.61,0.0,18,2,6,2011,90.62,8.42,8.42
38,26.42,0.0,19,2,6,2011,91.25,9.0,9.0
39,26.28,0.0,20,2,6,2011,92.94,7.99,7.99
40,26.29,0.0,21,2,6,2011,94.0,6.94,6.94
41,26.48,0.0,22,2,6,2011,93.38,7.56,7.56
42,26.53,0.0,23,2,6,2011,92.62,8.3,8.3
43,26.33,0.0,0,3,6,2011,92.0,8.25,8.25
44,26.1,0.0,1,3,6,2011,91.62,7.71,7.71
45,25.98,0.0,2,3,6,2011,91.12,7.15,7.15
46,25.86,0.0,3,3,6,2011,91.0,6.21,6.21
47,25.85,0.0,4,3,6,2011,90.44,5.43,5.43
48,25.87,0.0,5,3,6,2011,90.19,4.99,4.99
49,26.41,0.0,6,3,6,2011,89.25,5.01,5.01
50,26.9,0.0,7,3,6,2011,87.69,5.18,5.18
51,27.1,0.0,8,3,6,2011,86.69,5.52,5.52
52,26.96,0.0,9,3,6,2011,86.44,5.14,5.14
53,26.87,0.0,10,3,6,2011,86.31,4.23,4.23
54,26.74,0.0,11,3,6,2011,86.25,3.36,3.36
55,26.62,0.0,12,3,6,2011,86.62,3.19,3.19
56,26.47,0.0,13,3,6,2011,87.06,3.64,3.64
57,26.44,0.0,14,3,6,2011,87.19,4.18,4.18
58,26.49,0.0,15,3,6,2011,87.38,5.03,5.03
59,26.31,0.0,16,3,6,2011,88.56,5.81,5.81
60,26.06,0.0,17,3,6,2011,90.44,6.08,6.08
61,25.93,0.0,18,3,6,2011,90.94,6.31,6.31
62,26.05,0.0,19,3,6,2011,89.94,6.44,6.44
63,26.19,0.0,20,3,6,2011,89.12,6.37,6.37
64,26.37,0.0,21,3,6,2011,88.5,6.22,6.22
65,26.48,0.0,22,3,6,2011,88.12,6.5,6.5
