,T2M,PRECTOTCORR,HR,DY,MO,YEAR,RH2M,WS50M,WS50M
0,26.33,0.0,5,1,6,2011,93.31,5.64,5.64
1,26.56,0.0,6,1,6,2011,92.81,6.04,6.04
2,26.87,0.0,7,1,6,2011,91.88,6.96,6.96
3,27.13,0.0,8,1,6,2011,90.69,8.18,8.18
4,27.3,0.0,9,1,6,2011,87.56,9.2,9.2
5,27.28,0.0,10,1,6,2011,83.62,9.08,9.08
6,27.26,0.0,11,1,6,2011,82.0,8.46,8.46
7,27.58,0.0,12,1,6,2011,80.81,8.29,8.29
8,27.73,0.0,13,1,6,2011,81.19,8.11,8.11
9,27.58,0.0,14,1,6,2011,83.25,8.14,8.14
10,27.26,0.0,15,1,6,2011,86.12,7.85,7.85
11,26.98,0.0,16,1,6,2011,89.12,7.41,7.41
12,26.79,0.0,17,1,6,2011,90.12,7.12,7.12
13,26.55,0.0,18,1,6,2011,90.56,6.53,6.53
14,26.48,0.0,19,1,6,2011,90.81,5.98,5.98
15,26.47,0.0,20,1,6,2011,90.88,5.88,5.88
16,26.44,0.0,21,1,6,2011,91.12,5.98,5.98
17,26.35,0.0,22,1,6,2011,91.19,6.58,6.58
18,26.16,0.0,23,1,6,2011,91.25,6.99,6.99
19,25.93,0.0,0,2,6,2011,91.44,7.0,7.0
20,25.69,0.0,1,2,6,2011,91.56,6.39,6.39
21,25.43,0.0,2,2,6,2011,92.06,5.09,5.09
22,25.27,0.0,3,2,6,2011,92.88,4.06,4.06
23,25.24,0.0,4,2,6,2011,93.25,3.33,3.33
24,25.33,0.0,5,2,6,2011,92.81,3.81,3.81
25,25.63,0.0,6,2,6,2011,92.06,5.32,5.32
26,25.91,0.0,7,2,6,2011,90.75,6.03,6.03
27,26.19,0.0,8,2,6,2011,88.5,6.18,6.18
28,26.57,0.0,9,2,6,2011,84.81,5.55,5.55
29,26.94,0.0,10,2,6,2011,82.44,4.4,4.4
30,27.16,0.0,11,2,6,2011,82.88,3.82,3.82
31,27.26,0.0,12,2,6,2011,84.62,4.39,4.39
32,27.05,0.0,13,2,6,2011,86.88,6.16,6.16
33,26.83,0.0,14,2,6,2011,87.75,8.14,8.14
34,26.66,0.0,15,2,6,2011,86.88,8.17,8.17
35,26.54,0.0,16,2,6,2011,85.81,7.19,7.19
36,26.31,0.0,17,2,6,2011,86.12,6.29,6.29
37,25.94,0.0,18,2,6,2011,87.62,6.18,6.18
38,25.8,0.0,19,2,6,2011,88.94,6.11,6.11
39,25.75,0.0,20,2,6,2011,90.0,5.88,5.88
40,25.76,0.0,21,2,6,2011,90.69,5.89,5.89
41,25.78,0.0,22,2,6,2011,90.81,6.03,6.03
42,25.76,0.0,23,2,6,2011,90.69,6.16,6.16
43,25.71,0.0,0,3,6,2011,90.62,6.27,6.27
44,25.68,0.0,1,3,6,2011,90.25,6.38,6.38
45,25.62,0.0,2,3,6,2011,90.0,6.18,6.18
46,25.53,0.0,3,3,6,2011,89.88,5.68,5.68
47,25.41,0.0,4,3,6,2011,89.75,4.93,4.93
48,25.33,0.0,5,3,6,2011,89.56,4.56,4.56
49,25.68,0.0,6,3,6,2011,89.0,4.35,4.35
50,26.1,0.0,7,3,6,2011,87.62,4.69,4.69
51,26.48,0.0,8,3,6,2011,85.56,5.34,5.34
52,27.02,0.0,9,3,6,2011,82.62,5.6,5.6
53,27.41,0.0,10,3,6,2011,81.12,5.67,5.67
54,27.6,0.0,11,3,6,2011,80.5,5.68,5.68
55,27.73,0.0,12,3,6,2011,79.75,5.7,5.7
56,27.78,0.0,13,3,6,2011,79.12,5.74,5.74
57,27.66,0.0,14,3,6,2011,79.25,5.9,5.9
58,27.43,0.0,15,3,6,2011,80.06,6.03,6.03
59,27.03,0.0,16,3,6,2011,82.62,5.92,5.92
60,26.59,0.0,17,3,6,2011,86.12,5.64,5.64
61,26.19,0.0,18,3,6,2011,88.5,5.88,5.88
62,26.15,0.0,19,3,6,2011,89.06,5.84,5.84
63,26.18,0.0,20,3,6,2011,89.12,5.78,5.78
64,26.19,0.0,21,3,6,2011,88.94,6.07,6.07
65,26.18,0.0,22,3,6,2011,89.0,6.08,6.08
66,26.15,0.0,23,3,6,2011,89.0,5.8,5.8
67,26.12,0.0,0,4,6,2011,89.12,5.86,5.86
68,26.12,0.0,1,4,6,2011,89.0,5.87,5.87
69,26.12,0.0,2,4,6,2011,88.94,5.55,5.55
70,26.12,0.0,3,4,6,2011,88.62,5.33,5.33
71,26.04,0.0,4,4,6,2011,88.38,5.08,5.08
72,26.01,0.0,5,4,6,2011,88.19,5.04,5.04
73,26.48,0.0,6,4,6,2011,87.62,5.12,5.12
74,27.02,0.0,7,4,6,2011,85.44,5.45,5.45
75,27.44,0.0,8,4,6,2011,82.62,5.81,5.81
76,27.6,0.0,9,4,6,2011,81.25,5.57,5.57
77,27.39,0.0,10,4,6,2011,82.06,5.69,5.69
78,27.2,0.0,11,4,6,2011,82.25,5.61,5.61
79,27.19,0.0,12,4,6,2011,81.06,4.67,4.67
80,27.43,0.0,13,4,6,2011,79.44,3.82,3.82
81,27.6,0.0,14,4,6,2011,78.75,3.94,3.94
82,27.48,0.0,15,4,6,2011,79.75,4.36,4.36
83,27.19,0.0,16,4,6,2011,81.94,4.58,4.58
84,26.73,0.0,17,4,6,2011,85.69,4.91,4.91
85,26.13,0.0,18,4,6,2011,89.0,5.8,5.8
86,25.87,0.0,19,4,6,2011,89.75,6.12,6.12
87,25.73,0.0,20,4,6,2011,89.88,5.82,5.82
88,25.63,0.0,21,4,6,2011,89.81,5.37,5.37
89,25.56,0.0,22,4,6,2011,89.69,4.85,4.85
