-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 04/01/2011 through 03/31/2021 
Location: Latitude  22.7196   Longitude 75.8577 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 402.35 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PS              MERRA-2 Surface Pressure (kPa) 
-END HEADER-
YEAR,MO,DY,HR,T2M,PRECTOTCORR,WS50M,RH2M,PS
2011,4,1,5,19.76,0.0,4.96,31.94,96.44
2011,4,1,6,21.53,0.0,4.24,28.81,96.5
2011,4,1,7,24.8,0.0,2.82,23.75,96.57
2011,4,1,8,29.91,0.0,2.46,17.75,96.6
2011,4,1,9,33.25,0.0,2.77,14.56,96.6
2011,4,1,10,35.12,0.0,3.37,13.0,96.54
2011,4,1,11,36.56,0.0,3.94,11.56,96.44
2011,4,1,12,37.51,0.0,4.47,10.5,96.31
2011,4,1,13,37.98,0.0,5.05,9.81,96.2
2011,4,1,14,37.87,0.0,5.85,9.44,96.12
2011,4,1,15,37.17,0.0,6.66,9.56,96.1
2011,4,1,16,35.81,0.0,7.23,10.12,96.12
2011,4,1,17,33.3,0.0,7.51,11.75,96.18
2011,4,1,18,29.03,0.0,8.2,15.38,96.27
2011,4,1,19,27.75,0.0,8.35,17.0,96.36
2011,4,1,20,26.59,0.0,7.97,18.88,96.41
2011,4,1,21,25.51,0.0,7.58,21.06,96.42
2011,4,1,22,24.66,0.0,7.53,23.25,96.4
2011,4,1,23,23.94,0.0,7.73,25.5,96.36
2011,4,2,0,23.3,0.0,8.0,27.62,96.31
2011,4,2,1,22.67,0.0,8.19,29.69,96.25
2011,4,2,2,21.97,0.0,8.11,32.0,96.22
2011,4,2,3,21.18,0.0,7.79,34.88,96.22
2011,4,2,4,20.4,0.0,7.42,38.31,96.27
2011,4,2,5,19.7,0.0,7.1,42.38,96.35
2011,4,2,6,21.05,0.0,6.17,41.69,96.45
2011,4,2,7,24.23,0.0,4.68,36.38,96.56
2011,4,2,8,29.8,0.0,5.6,23.75,96.62
2011,4,2,9,33.08,0.0,5.14,17.94,96.62
2011,4,2,10,35.03,0.0,4.64,15.81,96.57
2011,4,2,11,36.34,0.0,4.37,14.44,96.46
2011,4,2,12,37.21,0.0,4.54,13.44,96.33
2011,4,2,13,37.56,0.0,4.88,12.81,96.2
2011,4,2,14,37.5,0.0,5.21,12.56,96.12
2011,4,2,15,36.85,0.0,5.22,12.69,96.08
2011,4,2,16,35.65,0.0,5.11,13.31,96.08
2011,4,2,17,33.22,0.0,5.33,15.06,96.12
2011,4,2,18,28.99,0.0,6.04,19.25,96.19
2011,4,2,19,27.84,0.0,6.67,20.56,96.28
2011,4,2,20,26.92,0.0,6.96,21.69,96.35
2011,4,2,21,25.94,0.0,6.69,23.0,96.36
2011,4,2,22,25.07,0.0,6.73,24.38,96.34
2011,4,2,23,24.33,0.0,7.09,25.94,96.3
2011,4,3,0,23.72,0.0,7.64,27.69,96.25
2011,4,3,1,23.15,0.0,8.15,29.94,96.22
2011,4,3,2,22.5,0.0,8.31,33.06,96.22
2011,4,3,3,21.68,0.0,8.1,37.31,96.25
2011,4,3,4,20.85,0.0,7.67,42.0,96.32
2011,4,3,5,20.03,0.0,7.07,46.31,96.4
2011,4,3,6,21.27,0.0,5.75,43.56,96.48
2011,4,3,7,24.55,0.0,4.4,34.88,96.54
2011,4,3,8,29.98,0.0,4.88,21.44,96.58
2011,4,3,9,32.88,0.0,3.45,16.62,96.58
2011,4,3,10,34.68,0.0,2.8,14.62,96.53
2011,4,3,11,36.06,0.0,3.21,13.44,96.44
2011,4,3,12,36.89,0.0,3.94,12.69,96.32
2011,4,3,13,37.19,0.0,4.66,12.25,96.21
2011,4,3,14,36.96,0.0,5.1,12.06,96.13
2011,4,3,15,36.32,0.0,5.19,12.31,96.09
2011,4,3,16,35.17,0.0,5.16,12.94,96.1
2011,4,3,17,32.9,0.0,5.22,14.62,96.15
2011,4,3,18,28.94,0.0,5.99,18.19,96.22
2011,4,3,19,27.9,0.0,7.0,18.69,96.3
2011,4,3,20,27.08,0.0,7.88,18.19,96.36
2011,4,3,21,26.29,0.0,8.48,17.0,96.38
2011,4,3,22,25.44,0.0,8.72,16.12,96.36
2011,4,3,23,24.58,0.0,8.73,16.38,96.32
2011,4,4,0,23.71,0.0,8.7,17.81,96.28
2011,4,4,1,22.94,0.0,8.68,19.88,96.25
2011,4,4,2,22.11,0.0,8.37,22.56,96.25
2011,4,4,3,21.27,0.0,8.11,25.38,96.29
2011,4,4,4,20.63,0.0,8.05,27.69,96.36
2011,4,4,5,20.08,0.0,8.12,29.75,96.45
2011,4,4,6,20.98,0.0,7.67,29.06,96.54
2011,4,4,7,24.25,0.0,6.92,24.56,96.63
2011,4,4,8,29.68,0.0,7.63,17.88,96.67
2011,4,4,9,32.81,0.0,7.05,14.69,96.67
