YEAR,MO,DY,HR,T2M,PRECTOTCORR,WS50M,RH2M,PS
2011,4,1,5,18.36,0,5.04,32.56,96.65
2011,4,1,6,19.89,0,4.5,29.75,96.71
2011,4,1,7,22.99,0,3.29,24.69,96.78
2011,4,1,8,27.32,0,2.81,18.75,96.82
2011,4,1,9,31.62,0,2.66,14.62,96.83
2011,4,1,10,33.54,0,2.26,13,96.78
2011,4,1,11,34.84,0,2.11,11.88,96.69
2011,4,1,12,35.69,0,2.23,11.06,96.57
2011,4,1,13,36.1,0,2.62,10.62,96.47
2011,4,1,14,36.06,0,3.21,10.44,96.4
2011,4,1,15,35.53,0,3.43,10.62,96.35
2011,4,1,16,34.53,0,3.36,11.12,96.34
2011,4,1,17,31.77,0,2.91,13.62,96.37
2011,4,1,18,29.76,0,2.32,15.25,96.43
2011,4,1,19,28.87,0,2.19,16.12,96.48
2011,4,1,20,27.83,0,2.52,16.94,96.54
2011,4,1,21,26.5,0,3.07,18.06,96.56
2011,4,1,22,25.38,0,3.6,19.75,96.56
2011,4,1,23,24.07,0,4.18,21.94,96.55
2011,4,2,0,22.85,0,4.68,24.06,96.51
2011,4,2,1,21.78,0,5.07,25.94,96.46
2011,4,2,2,20.9,0,5.26,27.5,96.43
2011,4,2,3,20.12,0,5.28,28.88,96.44
2011,4,2,4,19.4,0,5.2,30.06,96.48
2011,4,2,5,18.73,0,5.04,31.38,96.57
2011,4,2,6,20.49,0,4.67,28.31,96.67
2011,4,2,7,23.4,0,3.38,23.94,96.77
2011,4,2,8,28.2,0,2.84,17.75,96.84
2011,4,2,9,31.83,0,2.46,15.25,96.85
2011,4,2,10,33.58,0,2.68,14.44,96.81
2011,4,2,11,34.62,0,3.18,14,96.72
2011,4,2,12,35.35,0,3.72,13.69,96.6
2011,4,2,13,35.62,0,4.17,13.69,96.48
2011,4,2,14,35.59,0,4.29,13.69,96.4
2011,4,2,15,35.04,0,4.11,13.81,96.36
2011,4,2,16,34.01,0,3.81,14.25,96.36
2011,4,2,17,31.39,0,3.55,16.5,96.4
2011,4,2,18,28.29,0,3.57,19.44,96.45
2011,4,2,19,27.19,0,3.84,20.12,96.52
2011,4,2,20,26.39,0,3.84,20.81,96.57
2011,4,2,21,25.74,0,3.5,21.75,96.57
2011,4,2,22,25.05,0,3.15,22.56,96.56
