YEAR,MO,DY,HR,T2M,WS50M,WD50M,QV2M,PRECTOTCORR
2011,4,1,5,21.56,3.52,23.38,14.65,0
2011,4,1,6,22.55,3.1,34.41,14.65,0
2011,4,1,7,25.8,2.93,12.96,13.43,0
2011,4,1,8,29.21,3.33,349.85,10.44,0
2011,4,1,9,32.3,3.71,333.38,8.06,0
2011,4,1,10,34.55,4.02,320.44,7.14,0
2011,4,1,11,36.08,4.5,309.5,6.71,0
2011,4,1,12,36.85,5.15,302.24,6.65,0
2011,4,1,13,36.87,5.92,298.63,6.9,0
2011,4,1,14,36.22,6.63,298.8,7.39,0
2011,4,1,15,35.05,7.09,301.17,7.81,0
2011,4,1,16,33.44,7.08,304.34,8.3,0
2011,4,1,17,31.29,6.46,306.54,8.97,0
2011,4,1,18,28.17,5.38,305.19,10.56,0
2011,4,1,19,26.34,4.13,304.83,12.08,0
2011,4,1,20,25.25,2.95,305.29,13.06,0
2011,4,1,21,24.58,2.17,306.38,13.61,0
2011,4,1,22,23.98,1.82,308.2,14.04,0
2011,4,1,23,23.29,1.86,312.61,14.34,0
2011,4,2,0,22.63,2.01,319.42,14.59,0
2011,4,2,1,22.15,1.96,328.84,14.83,0
2011,4,2,2,21.83,1.7,341.57,14.95,0
2011,4,2,3,21.48,1.49,357.6,15.08,0
2011,4,2,4,21.12,1.45,12.09,15.14,0
2011,4,2,5,20.78,1.53,25.12,15.2,0
2011,4,2,6,21.43,1.64,36.87,15.2,0
2011,4,2,7,24.19,1.8,10.53,14.1,0
2011,4,2,8,27.33,2.31,2.14,11.9,0
2011,4,2,9,30.12,2.77,347.96,10.8,0
2011,4,2,10,32.64,2.97,335.32,10.01,0
2011,4,2,11,34.59,3.15,320.23,9.58,0
2011,4,2,12,35.8,3.73,306.05,9.34,0
2011,4,2,13,36.22,4.23,297.28,9.46,0
2011,4,2,14,35.95,4.31,292.15,9.64,0
2011,4,2,15,35.15,4.34,288.14,9.83,0
2011,4,2,16,33.65,4.7,287.23,10.13,0
2011,4,2,17,31.39,5.32,288.33,10.74,0
2011,4,2,18,28.54,5.85,288.22,12.02,0
2011,4,2,19,26.78,5.42,291.05,13.37,0
2011,4,2,20,25.64,4.56,294.28,14.04,0
2011,4,2,21,24.74,3.75,295.44,14.4,0
2011,4,2,22,24.07,3.13,295.73,14.65,0
2011,4,2,23,23.63,2.44,296.65,14.89,0
2011,4,3,0,23.44,1.72,299.58,15.01,0
2011,4,3,1,23.13,1.65,307.3,15.14,0
2011,4,3,2,22.83,1.75,313.01,15.32,0
2011,4,3,3,22.74,1.47,321.67,15.5,0
2011,4,3,4,22.77,1.13,340.69,15.62,0
2011,4,3,5,22.7,0.97,14.04,15.69,0
2011,4,3,6,23.15,1.08,49.98,15.75,0
2011,4,3,7,25.42,1.14,17.57,15.26,0
2011,4,3,8,29.05,2.27,340.69,12.08,0
2011,4,3,9,32.02,2.78,326.44,9.7,0
2011,4,3,10,33.85,3.11,313.37,9.09,0
2011,4,3,11,35.08,3.62,299.88,8.85,0
2011,4,3,12,35.64,4.35,290.52,8.85,0
2011,4,3,13,35.57,5.19,285.54,8.91,0
2011,4,3,14,34.96,5.7,284.13,8.97,0
2011,4,3,15,34.04,5.81,283.46,8.91,0
2011,4,3,16,32.69,5.67,283.54,8.85,0
2011,4,3,17,30.81,5.61,284.35,9.03,0
2011,4,3,18,28.06,5.57,283.72,10.07,0
2011,4,3,19,26.27,4.9,284.41,11.41,0
2011,4,3,20,25.11,3.97,285.29,12.27,0
2011,4,3,21,24.33,3.17,284.14,12.88,0
2011,4,3,22,23.82,2.58,279.95,13.31,0
2011,4,3,23,23.39,2.22,273.83,13.73,0
