YEAR,MO,DY,HR,PS,WS50M,RH2M,PRECTOTCORR,T2M
2011,4,1,5,94.02,3.85,53.69,0,18.44
2011,4,1,6,94.09,3.19,52.88,0,19.72
2011,4,1,7,94.17,3.23,37.56,0,23.73
2011,4,1,8,94.22,4.45,20.12,0,28.1
2011,4,1,9,94.22,4.75,14.31,0,31.2
2011,4,1,10,94.17,4.91,12.31,0,33.35
2011,4,1,11,94.09,5.3,11.19,0,34.86
2011,4,1,12,93.98,5.97,10.62,0,35.69
2011,4,1,13,93.88,6.76,10.88,0,35.77
2011,4,1,14,93.82,7.53,11.88,0,35.2
2011,4,1,15,93.81,8.12,13.81,0,33.95
2011,4,1,16,93.86,8.33,16.94,0,32.06
2011,4,1,17,93.92,7.96,22.06,0,29.44
2011,4,1,18,94,7.14,33.44,0,25.45
2011,4,1,19,94.08,6.16,42.94,0,23.44
2011,4,1,20,94.12,5.15,50.94,0,21.98
2011,4,1,21,94.12,4.42,57.81,0,20.75
2011,4,1,22,94.08,3.95,63.38,0,19.77
2011,4,1,23,94.01,3.78,67.31,0,18.9
2011,4,2,0,93.93,3.86,70.12,0,18.01
2011,4,2,1,93.86,4,72.88,0,17.18
2011,4,2,2,93.81,3.81,76.31,0,16.55
2011,4,2,3,93.8,3.29,79.75,0,16.15
2011,4,2,4,93.83,2.74,82.88,0,15.87
2011,4,2,5,93.89,2.32,85.56,0,15.58
2011,4,2,6,94,2.03,80.5,0,16.68
2011,4,2,7,94.1,1.78,63.12,0,20.11
2011,4,2,8,94.16,1.61,36,0,25.15
2011,4,2,9,94.17,1.75,21.44,0,29.44
2011,4,2,10,94.13,2.9,14.81,0,32.76
2011,4,2,11,94.05,3.88,13.31,0,34.51
2011,4,2,12,93.93,4.69,13,0,35.44
2011,4,2,13,93.82,5.54,13.38,0,35.67
2011,4,2,14,93.75,6.11,14.69,0,35.2
2011,4,2,15,93.73,6.32,16.56,0,34.13
2011,4,2,16,93.75,6.23,19.5,0,32.49
2011,4,2,17,93.79,6.3,24.81,0,30.01
2011,4,2,18,93.87,6.83,38,0,25.82
2011,4,2,19,93.96,6.56,49.31,0,23.83
2011,4,2,20,94.03,5.67,60.88,0,22.2
2011,4,2,21,94.05,4.88,72.19,0,20.8
2011,4,2,22,94.04,4.4,82.12,0,19.66
2011,4,2,23,94,4.18,90.44,0,18.76
2011,4,3,0,93.95,3.87,97.19,0,18.03
2011,4,3,1,93.89,3.48,100,0,17.73
2011,4,3,2,93.86,3.36,100,0,17.58
2011,4,3,3,93.87,3.38,100,0,17.38
2011,4,3,4,93.91,3.18,100,0,17.18
2011,4,3,5,93.98,2.71,100,0,16.98
2011,4,3,6,94.04,2.2,92.12,0,17.98
2011,4,3,7,94.1,2.49,68.25,0,21.19
2011,4,3,8,94.15,3.88,35.44,0,26.19
2011,4,3,9,94.15,3.83,24.25,0,29.33
2011,4,3,10,94.12,3.72,19.19,0,31.57
2011,4,3,11,94.04,4.12,16.38,0,33.23
2011,4,3,12,93.93,4.85,15.31,0,34.19
2011,4,3,13,93.83,5.71,15.44,0,34.43
2011,4,3,14,93.77,6.51,17.12,0,33.94
2011,4,3,15,93.75,7.06,20,0,32.85
2011,4,3,16,93.79,7.31,24.19,0,31.14
2011,4,3,17,93.84,7.35,30.12,0,28.78
2011,4,3,18,93.92,7.09,40.19,0,25.56
2011,4,3,19,94,6.44,49.38,0,23.58
2011,4,3,20,94.06,5.52,58,0,22.01
2011,4,3,21,94.09,4.75,66.06,0,20.71
2011,4,3,22,94.06,4.21,73.69,0,19.65
2011,4,3,23,94.01,3.84,80.56,0,18.76
2011,4,4,0,93.95,3.64,86.5,0,18.04
2011,4,4,1,93.91,3.54,92.06,0,17.4
2011,4,4,2,93.88,3.18,96,0,17.03
2011,4,4,3,93.89,2.68,97.81,0,16.85
2011,4,4,4,93.93,2.16,97.88,0,16.77
2011,4,4,5,93.99,1.58,97.75,0,16.51
2011,4,4,6,94.06,1.17,88.94,0,17.48
2011,4,4,7,94.11,1.09,60.31,0,21.26
2011,4,4,8,94.15,1.99,26.5,0,26.85
2011,4,4,9,94.15,2.08,19.12,0,29.67
2011,4,4,10,94.09,1.84,15.56,0,31.73
2011,4,4,11,93.99,1.84,13.31,0,33.3
2011,4,4,12,93.87,2.37,12.06,0,34.42
2011,4,4,13,93.76,3.2,11.62,0,34.97
2011,4,4,14,93.68,3.99,12,0,34.9
2011,4,4,15,93.64,4.87,13.25,0,34.16
2011,4,4,16,93.66,5.84,15.94,0,32.67
2011,4,4,17,93.7,7.06,21.25,0,30.22
2011,4,4,18,93.77,8.03,32.19,0,26.57
2011,4,4,19,93.86,7.63,43.62,0,24.58
2011,4,4,20,93.95,6.41,54.56,0,22.85
2011,4,4,21,93.99,4.89,62.62,0,21.34
2011,4,4,22,93.98,3.8,66.38,0,20.37
2011,4,4,23,93.95,3.05,66.75,0,19.92
2011,4,5,0,93.9,2.63,65.94,0,19.55
2011,4,5,1,93.85,2.48,65.38,0,19.1
2011,4,5,2,93.82,2.48,65.75,0,18.58
2011,4,5,3,93.84,2.53,67,0,18.08
2011,4,5,4,93.9,2.48,68.5,0,17.65
2011,4,5,5,93.97,2.13,69.94,0,17.36
2011,4,5,6,94.04,1.3,65.62,0,18.46
2011,4,5,7,94.09,1.58,41.75,0,22.37
2011,4,5,8,94.13,2.73,20.88,0,27.08
2011,4,5,9,94.11,2.61,15.06,0,30.35
2011,4,5,10,94.05,2.09,12.25,0,32.92
2011,4,5,11,93.96,1.32,10.56,0,34.79
2011,4,5,12,93.84,0.38,9.25,0,36.04
2011,4,5,13,93.71,0.55,8.62,0,36.76
2011,4,5,14,93.63,1.68,8.56,0,36.84
2011,4,5,15,93.6,3.1,9.12,0,36.19
2011,4,5,16,93.64,5.03,10.94,0,34.65
2011,4,5,17,93.74,7.54,16.56,0,31.59
2011,4,5,18,93.88,8.94,29.94,0,27.05
2011,4,5,19,94.01,8.08,45.88,0,24.24
2011,4,5,20,94.08,5.92,58.19,0,22.53
2011,4,5,21,94.08,4.06,65.25,0,21.52
2011,4,5,22,94.04,3.3,69.88,0,20.66
2011,4,5,23,93.99,3.21,74.38,0,19.71
2011,4,6,0,93.93,3.3,77.75,0,18.98
2011,4,6,1,93.88,3.48,80.62,0,18.37
2011,4,6,2,93.86,3.44,83.5,0,17.87
2011,4,6,3,93.85,3.02,85.25,0,17.58
