YEAR,MO,DY,HR,T2M,PRECTOTCORR,WS50M,RH2M,PS
2011,4,1,5,20.86,0,3.93,34,95.26
2011,4,1,6,22.22,0,3.52,31.38,95.34
2011,4,1,7,26.63,0,3.55,23.19,95.43
2011,4,1,8,30.91,0,5.2,14.75,95.48
2011,4,1,9,33.69,0,5.25,12.38,95.48
2011,4,1,10,35.69,0,4.99,11.62,95.44
2011,4,1,11,37.14,0,5.01,10.94,95.34
2011,4,1,12,37.93,0,5.44,10.44,95.22
2011,4,1,13,37.98,0,6.15,10.44,95.12
2011,4,1,14,37.31,0,6.98,10.94,95.05
2011,4,1,15,36,0,7.76,12.19,95.04
2011,4,1,16,34.03,0,8.33,14.75,95.08
2011,4,1,17,31.33,0,8.4,19.5,95.16
2011,4,1,18,27.87,0,7.34,28.25,95.25
2011,4,1,19,25.69,0,6.5,37.44,95.32
2011,4,1,20,24.28,0,6.2,44.94,95.37
2011,4,1,21,23.03,0,6.02,51.25,95.37
2011,4,1,22,21.88,0,5.7,56.25,95.33
2011,4,1,23,20.83,0,5.32,59.06,95.26
2011,4,2,0,19.98,0,5.03,59.31,95.18
2011,4,2,1,19.23,0,4.87,58.44,95.11
2011,4,2,2,18.59,0,4.56,57.88,95.06
2011,4,2,3,18.08,0,4.04,57.94,95.06
2011,4,2,4,17.76,0,3.5,57.56,95.1
2011,4,2,5,17.58,0,3.07,56.44,95.17
2011,4,2,6,19.05,0,2.72,49.69,95.27
2011,4,2,7,23.01,0,2.06,36.88,95.38
2011,4,2,8,28.44,0,2.44,20.06,95.45
2011,4,2,9,32.06,0,2.88,14,95.45
2011,4,2,10,34.62,0,3.63,11.88,95.4
2011,4,2,11,36.15,0,4.64,11.38,95.31
2011,4,2,12,36.79,0,5.6,11.69,95.2
2011,4,2,13,36.73,0,6.28,12.56,95.1
2011,4,2,14,36.09,0,6.63,13.88,95.04
2011,4,2,15,34.98,0,6.6,15.44,95.02
2011,4,2,16,33.3,0,6.17,17.88,95.04
2011,4,2,17,30.89,0,5.68,22.38,95.09
2011,4,2,18,26.71,0,5.68,33.62,95.17
2011,4,2,19,24.67,0,5.61,45.31,95.25
2011,4,2,20,23.2,0,5.2,57,95.32
2011,4,2,21,21.98,0,4.8,67.69,95.34
2011,4,2,22,20.96,0,4.45,76.88,95.32
2011,4,2,23,20.12,0,4.28,84.75,95.27
2011,4,3,0,19.42,0,4.28,91.38,95.22
2011,4,3,1,18.8,0,4.21,96.94,95.17
2011,4,3,2,18.25,0,3.94,100,95.14
2011,4,3,3,18.02,0,3.77,100,95.14
2011,4,3,4,17.96,0,3.7,100,95.19
2011,4,3,5,17.75,0,3.45,100,95.25
2011,4,3,6,18.99,0,2.96,94.06,95.32
2011,4,3,7,22.3,0,2.93,71.62,95.4
2011,4,3,8,27,0,3.76,40,95.45
2011,4,3,9,30.8,0,4.09,23.5,95.45
2011,4,3,10,33.21,0,4.56,17.62,95.41
2011,4,3,11,34.75,0,5.2,15,95.32
2011,4,3,12,35.48,0,5.93,14.19,95.23
2011,4,3,13,35.46,0,6.57,14.88,95.14
2011,4,3,14,34.79,0,6.99,16.56,95.07
2011,4,3,15,33.58,0,7.09,19.19,95.07
2011,4,3,16,31.84,0,6.95,23.19,95.09
2011,4,3,17,29.48,0,6.63,29.5,95.15
2011,4,3,18,26.31,0,6.2,40.38,95.23
2011,4,3,19,24.4,0,5.64,50.94,95.3
2011,4,3,20,22.95,0,4.94,60.19,95.36
2011,4,3,21,21.74,0,4.34,67.94,95.38
2011,4,3,22,20.74,0,3.87,74.38,95.36
