YEAR,MO,DY,HR,T2M,PRECTOTCORR,WS50M,RH2M,PS
2011,4,1,5,20.89,0,5.45,29.81,95.45
2011,4,1,6,22.65,0,4.56,26.75,95.53
2011,4,1,7,26.19,0,3.39,21.19,95.62
2011,4,1,8,31.99,0,4,13.12,95.66
2011,4,1,9,34.87,0,3.01,11.19,95.66
2011,4,1,10,36.77,0,2.22,10.38,95.61
2011,4,1,11,38.17,0,1.94,9.75,95.5
2011,4,1,12,39.1,0,2.02,9.31,95.35
2011,4,1,13,39.57,0,2.26,8.94,95.23
2011,4,1,14,39.59,0,2.53,8.69,95.13
2011,4,1,15,39.08,0,2.77,8.62,95.09
2011,4,1,16,38.06,0,2.92,8.81,95.1
2011,4,1,17,35.74,0,2.94,10,95.14
2011,4,1,18,32.34,0,3.3,12.19,95.22
2011,4,1,19,30.89,0,4.73,13,95.31
2011,4,1,20,29.47,0,7.09,13.94,95.38
2011,4,1,21,28.06,0,8.78,15.75,95.43
2011,4,1,22,26.83,0,9.41,19.12,95.43
2011,4,1,23,25.4,0,8.87,24.38,95.39
2011,4,2,0,24.07,0,8.16,29.94,95.33
2011,4,2,1,22.9,0,7.62,34.69,95.28
2011,4,2,2,21.78,0,7.08,38.5,95.25
2011,4,2,3,20.79,0,6.56,41.5,95.26
2011,4,2,4,19.91,0,6.11,44.06,95.31
2011,4,2,5,19.12,0,5.61,46.44,95.38
2011,4,2,6,20.52,0,4.61,42.81,95.47
2011,4,2,7,23.76,0,3.12,34.75,95.57
2011,4,2,8,29.81,0,2.27,17.94,95.63
2011,4,2,9,34.06,0,1.72,10.31,95.63
2011,4,2,10,36.34,0,1.86,8.62,95.57
2011,4,2,11,37.94,0,2.14,7.81,95.45
2011,4,2,12,39.02,0,2.56,7.31,95.3
2011,4,2,13,39.58,0,3.01,6.94,95.16
2011,4,2,14,39.67,0,3.3,6.69,95.07
2011,4,2,15,39.21,0,3.47,6.69,95.02
2011,4,2,16,38.19,0,3.58,6.94,95.02
2011,4,2,17,35.62,0,3.63,8.19,95.06
2011,4,2,18,31.82,0,4.07,10.44,95.14
2011,4,2,19,30.7,0,5.09,11.44,95.22
2011,4,2,20,29.22,0,6.45,13.62,95.3
2011,4,2,21,27.41,0,8.01,17.44,95.35
2011,4,2,22,26.16,0,8.92,22.69,95.36
2011,4,2,23,25.02,0,8.73,29.94,95.33
2011,4,3,0,23.81,0,8.16,38.62,95.29
2011,4,3,1,22.82,0,7.66,46.75,95.24
2011,4,3,2,22,0,7.31,53.5,95.23
2011,4,3,3,21.19,0,6.95,59.5,95.25
2011,4,3,4,20.38,0,6.51,65.44,95.31
2011,4,3,5,19.61,0,6.1,71.31,95.39
2011,4,3,6,20.57,0,5.16,69.38,95.47
2011,4,3,7,23.97,0,4.52,55.69,95.55
2011,4,3,8,28.95,0,4.6,34.12,95.6
2011,4,3,9,33.18,0,4.26,19.31,95.59
2011,4,3,10,35.65,0,4.08,13.88,95.53
2011,4,3,11,37.26,0,4.01,11.44,95.43
2011,4,3,12,38.33,0,4.19,10.19,95.3
2011,4,3,13,38.88,0,4.5,9.44,95.17
2011,4,3,14,38.91,0,4.9,8.94,95.07
2011,4,3,15,38.49,0,5.32,8.62,95.03
2011,4,3,16,37.47,0,5.83,8.69,95.03
2011,4,3,17,35.11,0,6.55,9.81,95.07
2011,4,3,18,31.11,0,8.28,12.69,95.16
2011,4,3,19,29.98,0,10.06,14.81,95.27
2011,4,3,20,28.65,0,10.44,18.81,95.36
2011,4,3,21,27.08,0,9.94,25.31,95.41
2011,4,3,22,25.79,0,9.16,32.94,95.4
2011,4,3,23,24.64,0,8.64,39.94,95.36
2011,4,4,0,23.52,0,8.24,45.88,95.3
2011,4,4,1,22.44,0,7.85,51.25,95.27
2011,4,4,2,21.37,0,7.22,56.5,95.26
2011,4,4,3,20.4,0,6.66,61.56,95.29
2011,4,4,4,19.57,0,6.31,66.31,95.36
2011,4,4,5,18.88,0,6.02,70.62,95.43
2011,4,4,6,20.05,0,5.05,66.69,95.51
2011,4,4,7,23.72,0,4.58,51.06,95.58
2011,4,4,8,29.33,0,4.59,28,95.61
2011,4,4,9,32.86,0,3.49,17.5,95.58
2011,4,4,10,35.27,0,3.66,12.5,95.52
2011,4,4,11,36.85,0,4.08,10.25,95.4
2011,4,4,12,37.89,0,4.42,8.81,95.27
2011,4,4,13,38.45,0,4.65,7.75,95.13
2011,4,4,14,38.59,0,4.73,6.88,95.04
2011,4,4,15,38.15,0,4.75,6.31,94.98
2011,4,4,16,37.11,0,4.77,6.19,94.98
2011,4,4,17,34.42,0,4.8,7,95.02
2011,4,4,18,29.85,0,5.38,9.38,95.09
2011,4,4,19,28.54,0,6.51,10.62,95.15
2011,4,4,20,27.38,0,7.96,13.19,95.22
2011,4,4,21,26.36,0,9.38,18,95.27
2011,4,4,22,25.25,0,10.25,25.88,95.31
2011,4,4,23,24.23,0,10.02,35.62,95.3
2011,4,5,0,23.21,0,9.35,44.88,95.26
2011,4,5,1,22.34,0,8.7,52.06,95.24
2011,4,5,2,21.53,0,8,57.31,95.23
2011,4,5,3,20.76,0,7.35,61.38,95.26
2011,4,5,4,19.92,0,6.74,65.56,95.33
2011,4,5,5,19.15,0,6.39,69.62,95.43
2011,4,5,6,20.33,0,5.41,65,95.51
2011,4,5,7,23.96,0,4.45,46.62,95.57
2011,4,5,8,29.76,0,3.87,20.81,95.6
2011,4,5,9,33.32,0,2.59,12.75,95.57
2011,4,5,10,35.69,0,2.7,10,95.51
2011,4,5,11,37.4,0,3.46,8.69,95.41
2011,4,5,12,38.46,0,4.06,7.75,95.28
2011,4,5,13,39,0,4.4,7,95.16
2011,4,5,14,38.98,0,4.5,6.5,95.08
2011,4,5,15,38.43,0,4.5,6.31,95.04
2011,4,5,16,37.35,0,4.47,6.44,95.06
2011,4,5,17,34.76,0,4.49,7.5,95.12
2011,4,5,18,30.38,0,5.33,10,95.2
2011,4,5,19,29.13,0,7.4,11.5,95.29
2011,4,5,20,28.14,0,9.72,15.38,95.39
2011,4,5,21,26.79,0,10.4,24.31,95.45
2011,4,5,22,25.07,0,9.24,36.69,95.45
2011,4,5,23,23.63,0,7.81,46.31,95.38
2011,4,6,0,22.55,0,7.08,51.88,95.3
2011,4,6,1,21.67,0,7,55.88,95.25
2011,4,6,2,20.93,0,6.94,59.69,95.24
2011,4,6,3,20.27,0,6.92,63.56,95.25
