YEAR,MO,DY,HR,T2M,PRECTOTCORR,RH2M,WD10M,WS10M
2011,3,1,5,21.44,0,33.69,31.49,1.47
2011,3,1,6,21.57,0,32.88,42.73,1.12
2011,3,1,7,23.93,0,28.56,47.55,0.87
2011,3,1,8,27.66,0,24.19,5.91,1.14
2011,3,1,9,32.65,0,19.12,355.84,1.72
2011,3,1,10,35.01,0,17.5,325.97,1.48
2011,3,1,11,36.43,0,16.69,298.17,2.12
2011,3,1,12,37.21,0,16.25,294.12,3.12
2011,3,1,13,37.34,0,16.31,295.47,4.03
2011,3,1,14,36.96,0,16.69,297.29,4.67
2011,3,1,15,36.01,0,17.5,298.47,4.95
2011,3,1,16,34.58,0,18.88,300.01,4.76
2011,3,1,17,31.98,0,22,302.13,3.42
2011,3,1,18,28.48,0,27.25,304.01,2.72
2011,3,1,19,27.44,0,28.81,307.98,2.58
2011,3,1,20,26.73,0,29.69,312.25,2.42
2011,3,1,21,26.04,0,30.5,314.47,2.38
2011,3,1,22,25.22,0,31.75,314.47,2.4
2011,3,1,23,24.22,0,33.94,315.64,2.46
2011,3,2,0,23.15,0,37,320.4,2.52
2011,3,2,1,22.19,0,41.12,330.95,2.41
2011,3,2,2,21.52,0,44.38,348.86,2.06
2011,3,2,3,21.15,0,44.94,13.72,1.71
2011,3,2,4,20.69,0,44.81,44.2,1.59
2011,3,2,5,20.12,0,44.5,73.91,1.75
2011,3,2,6,20.18,0,42.5,94.94,1.91
2011,3,2,7,23.83,0,32.81,111.58,2.57
2011,3,2,8,28.76,0,22.94,95.91,2.2
2011,3,2,9,33.63,0,16,71.57,1.63
2011,3,2,10,36.01,0,13.56,350.27,0.28
2011,3,2,11,37.63,0,12.38,275.31,1.35
2011,3,2,12,38.47,0,11.94,274.52,2.48
2011,3,2,13,38.6,0,12.12,275.88,3.51
2011,3,2,14,38.05,0,12.62,276.93,4.21
2011,3,2,15,36.94,0,13.5,278.86,4.62
2011,3,2,16,35.36,0,14.75,282.19,4.77
2011,3,2,17,32.48,0,17.81,285.73,3.72
2011,3,2,18,28.58,0,23.5,289.44,2.82
2011,3,2,19,27.24,0,25.88,292.15,2.59
2011,3,2,20,26.55,0,27.06,294.65,2.19
2011,3,2,21,26.25,0,27.75,297.1,1.87
2011,3,2,22,25.76,0,29.06,300.74,1.68
2011,3,2,23,25.11,0,31.31,306.07,1.46
2011,3,3,0,24.48,0,33.94,312.83,1.31
2011,3,3,1,23.74,0,38.44,322.56,1.09
2011,3,3,2,23.14,0,42.94,335.56,0.76
2011,3,3,3,22.53,0,46.5,358.78,0.37
2011,3,3,4,22.23,0,48.06,97.43,0.36
2011,3,3,5,21.73,0,49.12,129.09,0.97
2011,3,3,6,21.33,0,48.88,138.06,1.45
2011,3,3,7,24.46,0,38.94,147.31,2
2011,3,3,8,28.77,0,27.81,167.17,1.44
2011,3,3,9,32.92,0,19.12,201.99,1.75
2011,3,3,10,35.36,0,15.94,228.47,2.83
2011,3,3,11,36.62,0,14.94,245.89,4.07
2011,3,3,12,37.06,0,14.75,256.01,5.17
2011,3,3,13,36.88,0,14.94,259.65,5.87
2011,3,3,14,36.35,0,15.31,259.32,6.11
2011,3,3,15,35.4,0,16.06,257.19,6.1
2011,3,3,16,33.9,0,17.62,253.75,5.89
2011,3,3,17,31.29,0,21.94,246.76,4.81
2011,3,3,18,27.69,0,32.38,235.17,3.6
2011,3,3,19,26.12,0,41.75,230.79,3.94
2011,3,3,20,24.94,0,51.06,231.55,3.68
2011,3,3,21,24.11,0,59.06,234.27,3.29
2011,3,3,22,23.38,0,65.81,238.71,2.84
2011,3,3,23,22.71,0,71.5,246.11,2.55
2011,3,4,0,22.1,0,75.69,256.53,2.31
2011,3,4,1,21.55,0.03,79,268.5,2.09
2011,3,4,2,21.2,0.03,80.94,277.53,1.79
2011,3,4,3,21.05,0.03,81.19,281.31,1.39
2011,3,4,4,20.99,0,80.81,276.13,0.95
2011,3,4,5,20.9,0,80.56,249.27,0.62
2011,3,4,6,21.02,0,80.12,213.9,0.6
2011,3,4,7,23.38,0,63.44,266.47,0.63
2011,3,4,8,26.73,0,41.19,311.01,1.43
2011,3,4,9,29.77,0,30.25,292.97,1.56
2011,3,4,10,32.71,0,21.56,270.76,2.36
2011,3,4,11,34.72,0,17.88,266.93,3.36
2011,3,4,12,35.76,0,17.19,268.44,4.31
2011,3,4,13,35.94,0,17.81,270.45,4.98
2011,3,4,14,35.51,0,18.5,269.91,5.17
2011,3,4,15,34.65,0,19.5,268.77,5.11
2011,3,4,16,33.23,0,21.25,267.37,4.77
2011,3,4,17,30.9,0,25,262.34,3.63
2011,3,4,18,27.49,0,34.12,248.78,2.44
2011,3,4,19,26.03,0,41.88,237.72,2.63
2011,3,4,20,24.76,0,49.88,232.07,2.87
2011,3,4,21,23.73,0,57.81,232.4,2.96
2011,3,4,22,22.94,0,65.5,236.44,2.81
2011,3,4,23,22.26,0,72.88,241.28,2.5
2011,3,5,0,21.63,0,79.94,247.97,2.21
2011,3,5,1,21.16,0,85,259.51,1.93
2011,3,5,2,20.89,0,88,280.86,1.58
2011,3,5,3,20.54,0,90.62,311.85,1.41
2011,3,5,4,20.2,0,90.94,341.66,1.47
2011,3,5,5,19.77,0,89.56,6.84,1.57
2011,3,5,6,19.87,0,85.06,30.92,1.61
2011,3,5,7,22.62,0,65.75,49.07,2.34
2011,3,5,8,26.98,0,40.5,41.74,3.11
2011,3,5,9,31.58,0,25.56,28.79,3.07
2011,3,5,10,34.44,0,19.88,4.84,2.31
2011,3,5,11,36.51,0,16.94,323.05,2.33
2011,3,5,12,37.66,0,15.88,303.81,3.16
2011,3,5,13,38.01,0,15.62,298.67,3.91
2011,3,5,14,37.69,0,15.62,300.37,4.53
2011,3,5,15,36.85,0,15.75,305.1,4.85
2011,3,5,16,35.51,0,16.19,311.56,4.79
2011,3,5,17,32.67,0,18.25,318.9,3.49
2011,3,5,18,28.72,0,22.19,327.04,3.04
2011,3,5,19,27.53,0,22.5,336.46,3.11
2011,3,5,20,26.51,0,22.94,344.77,3.09
2011,3,5,21,25.59,0,23.88,350.25,3.04
2011,3,5,22,24.68,0,25.62,352.72,2.96
2011,3,5,23,23.69,0,28.25,354.65,2.85
2011,3,6,0,22.74,0,31,359.84,2.75
2011,3,6,1,21.87,0,33.19,10.98,2.67
2011,3,6,2,21.07,0,34.38,24.47,2.68
2011,3,6,3,20.33,0,35,36.87,2.73
