YEAR,MO,DY,HR,T2M,PRECTOTCORR,WS50M,RH2M,PS
2011,4,1,5,18.55,0,3.9,32.5,94.71
2011,4,1,6,19.55,0,3.77,30.69,94.77
2011,4,1,7,24.07,0,3,23.44,94.84
2011,4,1,8,28.51,0,2.9,17.5,94.88
2011,4,1,9,31.37,0,2.73,13.81,94.89
2011,4,1,10,33.16,0,2.74,11.69,94.85
2011,4,1,11,34.58,0,3.09,10.38,94.77
2011,4,1,12,35.54,0,3.87,9.75,94.66
2011,4,1,13,35.99,0,4.9,9.81,94.56
2011,4,1,14,35.84,0,5.74,10.56,94.48
2011,4,1,15,35.15,0,6.51,11.94,94.44
2011,4,1,16,33.84,0,7.17,13.88,94.46
2011,4,1,17,31.76,0,7.3,16.5,94.5
2011,4,1,18,27.86,0,7.53,21.38,94.57
2011,4,1,19,26.3,0,7.45,23.75,94.64
2011,4,1,20,25.08,0,6.63,25.62,94.7
2011,4,1,21,24.06,0,5.62,27.19,94.73
2011,4,1,22,23.35,0,4.79,28.31,94.72
2011,4,1,23,22.96,0,4.03,28.94,94.68
2011,4,2,0,22.74,0,3.45,29.31,94.64
2011,4,2,1,22.45,0,3.12,29.81,94.59
2011,4,2,2,21.89,0,3.2,30.75,94.55
2011,4,2,3,21.13,0,3.4,32.12,94.54
2011,4,2,4,20.51,0,3.49,33.25,94.58
2011,4,2,5,20.03,0,3.44,34.12,94.65
2011,4,2,6,20.99,0,3.3,31.94,94.74
2011,4,2,7,24.62,0,2.52,25.38,94.85
2011,4,2,8,29.03,0,2.26,19,94.91
2011,4,2,9,31.39,0,2.49,16.5,94.92
2011,4,2,10,33.09,0,3.08,15.06,94.88
2011,4,2,11,34.34,0,3.73,13.94,94.79
2011,4,2,12,35.18,0,4.47,13.06,94.67
2011,4,2,13,35.56,0,5.31,12.5,94.56
2011,4,2,14,35.42,0,5.77,12.38,94.47
2011,4,2,15,34.76,0,6.07,12.75,94.43
2011,4,2,16,33.58,0,6.44,13.56,94.44
2011,4,2,17,31.62,0,6.46,15.12,94.49
2011,4,2,18,27.76,0,6.83,19,94.56
2011,4,2,19,26.14,0,6.69,20.81,94.64
2011,4,2,20,24.87,0,6.17,22.06,94.7
2011,4,2,21,23.8,0,5.73,22.94,94.72
2011,4,2,22,22.83,0,5.36,23.38,94.7
2011,4,2,23,21.91,0,5.13,23.44,94.66
2011,4,3,0,21,0,5.21,23.06,94.63
2011,4,3,1,20.16,0,5.54,22.06,94.6
2011,4,3,2,19.67,0,6.36,19.94,94.58
2011,4,3,3,19.54,0,7.38,16.81,94.59
2011,4,3,4,19.13,0,8.01,14,94.64
2011,4,3,5,18.47,0,8.27,12.5,94.71
2011,4,3,6,19.46,0,7.96,11,94.79
2011,4,3,7,22.48,0,6.55,8.94,94.88
2011,4,3,8,27.11,0,6.26,7.5,94.94
2011,4,3,9,29.88,0,4.78,7.62,94.97
2011,4,3,10,31.54,0,3.56,7.56,94.95
2011,4,3,11,32.94,0,2.95,7.25,94.88
