YEAR,MO,DY,HR,T2M,PRECTOTCORR,WS50M,RH2M,PS
2011,4,1,5,20.9,0,5.9,30.75,94.94
2011,4,1,6,22.62,0,5.02,27.5,95.02
2011,4,1,7,26.16,0,3.93,21.56,95.1
2011,4,1,8,31.79,0,4.71,13.25,95.15
2011,4,1,9,34.59,0,3.8,11.31,95.16
2011,4,1,10,36.52,0,2.87,10.38,95.09
2011,4,1,11,37.9,0,2.21,9.81,94.98
2011,4,1,12,38.82,0,1.8,9.38,94.85
2011,4,1,13,39.27,0,1.71,9,94.72
2011,4,1,14,39.28,0,1.84,8.75,94.63
2011,4,1,15,38.8,0,2.06,8.69,94.59
2011,4,1,16,37.76,0,2.23,8.94,94.59
2011,4,1,17,35.55,0,2.3,10.25,94.64
2011,4,1,18,32.64,0,2.5,12.25,94.71
2011,4,1,19,31.17,0,3.02,13.12,94.8
2011,4,1,20,29.64,0,4.58,14.19,94.86
2011,4,1,21,28.26,0,6.57,15.44,94.91
2011,4,1,22,26.71,0,8.19,17.81,94.92
2011,4,1,23,25.38,0,8.64,21.62,94.88
2011,4,2,0,24.07,0,8.25,27,94.83
2011,4,2,1,22.97,0,7.74,32.5,94.76
2011,4,2,2,21.9,0,7.18,37.38,94.74
2011,4,2,3,20.96,0,6.66,41.19,94.74
2011,4,2,4,20.15,0,6.25,44.06,94.79
2011,4,2,5,19.39,0,5.82,46.56,94.86
2011,4,2,6,20.77,0,4.9,42.81,94.95
2011,4,2,7,24.03,0,3.51,34.25,95.05
2011,4,2,8,29.83,0,2.81,17.5,95.11
2011,4,2,9,34,0,2.06,10.31,95.11
2011,4,2,10,36.25,0,1.83,8.81,95.05
2011,4,2,11,37.81,0,1.83,8.06,94.93
2011,4,2,12,38.83,0,2.1,7.56,94.79
2011,4,2,13,39.39,0,2.5,7.19,94.65
2011,4,2,14,39.5,0,2.86,6.94,94.56
2011,4,2,15,39.05,0,3.16,6.94,94.51
2011,4,2,16,38.04,0,3.44,7.25,94.51
2011,4,2,17,35.59,0,3.77,8.56,94.55
2011,4,2,18,31.96,0,4.69,11,94.63
2011,4,2,19,30.67,0,6.18,12.56,94.73
2011,4,2,20,28.7,0,7.48,15.62,94.82
2011,4,2,21,27.1,0,8.58,19.81,94.86
2011,4,2,22,25.9,0,8.8,25.25,94.86
2011,4,2,23,24.58,0,8.36,32.12,94.82
2011,4,3,0,23.31,0,7.73,39.5,94.77
2011,4,3,1,22.3,0,7.24,46.12,94.73
2011,4,3,2,21.42,0,6.9,52,94.72
2011,4,3,3,20.62,0,6.61,57.56,94.74
2011,4,3,4,19.83,0,6.28,63.12,94.81
2011,4,3,5,19.11,0,5.9,68.75,94.89
2011,4,3,6,20.19,0,4.97,66.62,94.98
2011,4,3,7,23.58,0,4.34,54.19,95.06
2011,4,3,8,28.39,0,4.71,33.94,95.1
2011,4,3,9,32.8,0,4.66,18.44,95.09
2011,4,3,10,35.37,0,4.39,13.25,95.04
2011,4,3,11,37.05,0,4.19,11,94.93
