,T2M,PRECTOTCORR,HR,DY,MO,YEAR,RH2M,WS50M,WS50M
0,19.76,1.0,5,1,4,2011,31.94,4.96,4.96
1,21.53,1.0,6,1,4,2011,28.81,4.24,4.24
2,24.8,1.0,7,1,4,2011,23.75,2.82,2.82
3,29.91,1.0,8,1,4,2011,17.75,2.46,2.46
4,33.25,1.0,9,1,4,2011,14.56,2.77,2.77
5,35.12,1.0,10,1,4,2011,13.0,3.37,3.37
6,36.56,1.0,11,1,4,2011,11.56,3.94,3.94
7,37.51,1.0,12,1,4,2011,10.5,4.47,4.47
8,37.98,1.0,13,1,4,2011,9.81,5.05,5.05
9,37.87,1.0,14,1,4,2011,9.44,5.85,5.85
10,37.17,1.0,15,1,4,2011,9.56,6.66,6.66
11,35.81,1.0,16,1,4,2011,10.12,7.23,7.23
12,33.3,1.0,17,1,4,2011,11.75,7.51,7.51
13,29.03,1.0,18,1,4,2011,15.38,8.2,8.2
14,27.75,1.0,19,1,4,2011,17.0,8.35,8.35
15,26.59,1.0,20,1,4,2011,18.88,7.97,7.97
16,25.51,1.0,21,1,4,2011,21.06,7.58,7.58
17,24.66,1.0,22,1,4,2011,23.25,7.53,7.53
18,23.94,1.0,23,1,4,2011,25.5,7.73,7.73
19,23.3,1.0,0,2,4,2011,27.62,8.0,8.0
20,22.67,1.0,1,2,4,2011,29.69,8.19,8.19
21,21.97,1.0,2,2,4,2011,32.0,8.11,8.11
22,21.18,1.0,3,2,4,2011,34.88,7.79,7.79
23,20.4,1.0,4,2,4,2011,38.31,7.42,7.42
24,19.7,1.0,5,2,4,2011,42.38,7.1,7.1
25,21.05,1.0,6,2,4,2011,41.69,6.17,6.17
26,24.23,1.0,7,2,4,2011,36.38,4.68,4.68
27,29.8,1.0,8,2,4,2011,23.75,5.6,5.6
28,33.08,1.0,9,2,4,2011,17.94,5.14,5.14
29,35.03,1.0,10,2,4,2011,15.81,4.64,4.64
30,36.34,1.0,11,2,4,2011,14.44,4.37,4.37
31,37.21,1.0,12,2,4,2011,13.44,4.54,4.54
32,37.56,1.0,13,2,4,2011,12.81,4.88,4.88
33,37.5,1.0,14,2,4,2011,12.56,5.21,5.21
34,36.85,1.0,15,2,4,2011,12.69,5.22,5.22
35,35.65,1.0,16,2,4,2011,13.31,5.11,5.11
36,33.22,1.0,17,2,4,2011,15.06,5.33,5.33
37,28.99,1.0,18,2,4,2011,19.25,6.04,6.04
38,27.84,1.0,19,2,4,2011,20.56,6.67,6.67
39,26.92,1.0,20,2,4,2011,21.69,6.96,6.96
40,25.94,1.0,21,2,4,2011,23.0,6.69,6.69
41,25.07,1.0,22,2,4,2011,24.38,6.73,6.73
42,24.33,1.0,23,2,4,2011,25.94,7.09,7.09
43,23.72,1.0,0,3,4,2011,27.69,7.64,7.64
44,23.15,1.0,1,3,4,2011,29.94,8.15,8.15
45,22.5,1.0,2,3,4,2011,33.06,8.31,8.31
46,21.68,1.0,3,3,4,2011,37.31,8.1,8.1
47,20.85,1.0,4,3,4,2011,42.0,7.67,7.67
48,20.03,1.0,5,3,4,2011,46.31,7.07,7.07
49,21.27,1.0,6,3,4,2011,43.56,5.75,5.75
50,24.55,1.0,7,3,4,2011,34.88,4.4,4.4
51,29.98,1.0,8,3,4,2011,21.44,4.88,4.88
52,32.88,1.0,9,3,4,2011,16.62,3.45,3.45
53,34.68,1.0,10,3,4,2011,14.62,2.8,2.8
54,36.06,1.0,11,3,4,2011,13.44,3.21,3.21
55,36.89,1.0,12,3,4,2011,12.69,3.94,3.94
56,37.19,1.0,13,3,4,2011,12.25,4.66,4.66
57,36.96,1.0,14,3,4,2011,12.06,5.1,5.1
58,36.32,1.0,15,3,4,2011,12.31,5.19,5.19
59,35.17,1.0,16,3,4,2011,12.94,5.16,5.16
60,32.9,1.0,17,3,4,2011,14.62,5.22,5.22
61,28.94,1.0,18,3,4,2011,18.19,5.99,5.99
62,27.9,1.0,19,3,4,2011,18.69,7.0,7.0
