,T2M,PRECTOTCORR,HR,DY,MO,YEAR,RH2M,WS50M,WS50M
0,6.5,1.0,5,1,2,2011,73.75,5.26,5.26
1,6.34,1.0,6,1,2,2011,74.38,5.06,5.06
2,9.19,1.0,7,1,2,2011,61.81,4.2,4.2
3,11.99,1.0,8,1,2,2011,52.81,2.69,2.69
4,16.74,1.0,9,1,2,2011,40.38,2.36,2.36
5,21.69,1.0,10,1,2,2011,27.81,3.89,3.89
6,23.41,1.0,11,1,2,2011,24.62,4.18,4.18
7,24.46,1.0,12,1,2,2011,22.75,4.49,4.49
8,24.97,1.0,13,1,2,2011,21.69,4.66,4.66
9,24.94,1.0,14,1,2,2011,21.38,4.97,4.97
10,24.08,1.0,15,1,2,2011,22.81,4.97,4.97
11,20.12,1.0,16,1,2,2011,38.62,4.66,4.66
12,16.78,1.0,17,1,2,2011,42.31,4.43,4.43
13,16.14,1.0,18,1,2,2011,42.12,3.97,3.97
14,15.58,1.0,19,1,2,2011,42.44,3.6,3.6
15,14.91,1.0,20,1,2,2011,43.69,3.34,3.34
16,14.11,1.0,21,1,2,2011,45.56,3.2,3.2
17,12.78,1.0,22,1,2,2011,49.5,3.61,3.61
18,11.24,1.0,23,1,2,2011,54.56,4.38,4.38
19,10.2,1.0,0,2,2,2011,58.25,4.83,4.83
20,9.4,1.0,1,2,2,2011,61.81,5.14,5.14
21,8.75,1.0,2,2,2,2011,64.88,5.08,5.08
22,8.21,1.0,3,2,2,2011,67.44,4.59,4.59
23,7.8,1.0,4,2,2,2011,69.44,4.06,4.06
24,7.29,1.0,5,2,2,2011,72.06,4.01,4.01
25,7.06,1.0,6,2,2,2011,73.44,4.45,4.45
26,10.45,1.0,7,2,2,2011,59.5,4.0,4.0
27,13.28,1.0,8,2,2,2011,50.88,2.41,2.41
28,18.14,1.0,9,2,2,2011,37.88,2.05,2.05
29,22.58,1.0,10,2,2,2011,27.75,2.24,2.24
30,24.25,1.0,11,2,2,2011,25.12,2.15,2.15
31,25.25,1.0,12,2,2,2011,23.62,1.85,1.85
32,25.71,1.0,13,2,2,2011,22.5,1.55,1.55
