YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS50M,WD50M
2011,2,1,5,6.5,73.75,0,5.26,315.6
2011,2,1,6,6.34,74.38,0,5.06,307.22
2011,2,1,7,9.19,61.81,0,4.2,297.95
2011,2,1,8,11.99,52.81,0,2.69,282.75
2011,2,1,9,16.74,40.38,0,2.36,282.05
2011,2,1,10,21.69,27.81,0,3.89,290.07
2011,2,1,11,23.41,24.62,0,4.18,288.74
2011,2,1,12,24.46,22.75,0,4.49,291.34
2011,2,1,13,24.97,21.69,0,4.66,294.89
2011,2,1,14,24.94,21.38,0,4.97,298.34
2011,2,1,15,24.08,22.81,0,4.97,302.01
2011,2,1,16,20.12,38.62,0,4.66,308.46
2011,2,1,17,16.78,42.31,0,4.43,318.43
2011,2,1,18,16.14,42.12,0,3.97,326.25
2011,2,1,19,15.58,42.44,0,3.6,332.21
2011,2,1,20,14.91,43.69,0,3.34,334.39
2011,2,1,21,14.11,45.56,0,3.2,329.3
2011,2,1,22,12.78,49.5,0,3.61,318.69
2011,2,1,23,11.24,54.56,0,4.38,314.86
2011,2,2,0,10.2,58.25,0,4.83,313.76
2011,2,2,1,9.4,61.81,0,5.14,313.03
2011,2,2,2,8.75,64.88,0,5.08,312.94
2011,2,2,3,8.21,67.44,0,4.59,311.76
2011,2,2,4,7.8,69.44,0,4.06,306.78
2011,2,2,5,7.29,72.06,0,4.01,296.96
2011,2,2,6,7.06,73.44,0,4.45,290.53
2011,2,2,7,10.45,59.5,0,4,287.97
2011,2,2,8,13.28,50.88,0,2.41,278.02
2011,2,2,9,18.14,37.88,0,2.05,274.6
2011,2,2,10,22.58,27.75,0,2.24,283.7
2011,2,2,11,24.25,25.12,0,2.15,292.19
2011,2,2,12,25.25,23.62,0,1.85,306.77
2011,2,2,13,25.71,22.5,0,1.55,323.42
2011,2,2,14,25.62,22.25,0,1.73,317.74
2011,2,2,15,24.76,23.56,0,2.58,307.87
2011,2,2,16,21.43,39.44,0,3.03,316.25
2011,2,2,17,18.9,38,0,3.11,333.76
2011,2,2,18,18.05,38,0,2.98,351.11
2011,2,2,19,17.1,40,0,3.02,1.93
2011,2,2,20,16.07,42.69,0,3.09,13.02
2011,2,2,21,15.1,45.12,0,3.07,22.91
2011,2,2,22,14.49,46.5,0,2.73,26.57
2011,2,2,23,13.87,47.94,0,2.06,20.84
2011,2,3,0,13.86,47.25,0,1.56,353.95
2011,2,3,1,12.65,51.31,0,1.74,320.46
2011,2,3,2,11.57,55.25,0,2.19,302.61
2011,2,3,3,10.65,58.69,0,2.67,293.04
2011,2,3,4,9.69,62.5,0,3.03,289.88
2011,2,3,5,9.11,64.81,0,3.05,291.04
2011,2,3,6,8.88,65.56,0,2.96,290.2
2011,2,3,7,11.64,56.62,0,2.47,286.72
2011,2,3,8,14.47,47.38,0,1.51,265.26
2011,2,3,9,19.2,34.94,0,1.35,263.04
2011,2,3,10,23.44,25.44,0,1.47,284.77
2011,2,3,11,25.05,23.69,0,1.66,276.22
2011,2,3,12,26.23,22.56,0,1.82,276.39
2011,2,3,13,26.9,21.81,0,1.84,284.74
2011,2,3,14,27.05,21.75,0,1.84,299.29
2011,2,3,15,26.24,23.81,0,2.05,318.09
2011,2,3,16,23.24,37.5,0,2.34,343.92
2011,2,3,17,20.54,36.81,0,3,8.24
2011,2,3,18,18.57,41.56,0,3.89,23.58
2011,2,3,19,16.87,46.5,0,4.63,34.2
2011,2,3,20,15.73,49.75,0,4.77,43.21
2011,2,3,21,15.15,51.25,0,4.13,54.08
2011,2,3,22,15.28,49.94,0,3.06,70.92
2011,2,3,23,15.35,48.56,0,2.07,101.78
2011,2,4,0,14.65,49.88,0,1.87,148.17
2011,2,4,1,14.12,51.25,0,2.3,183.7
2011,2,4,2,13.13,54.25,0,2.76,208.02
2011,2,4,3,12.23,57.25,0,3.05,231.55
2011,2,4,4,11.48,60,0,3.17,257.78
2011,2,4,5,10.71,63.19,0,3.26,285.27
2011,2,4,6,10.01,66.75,0,3.56,304.63
2011,2,4,7,12.77,57.88,0,3.34,311.78
2011,2,4,8,15.25,50.31,0,1.8,309.2
2011,2,4,9,19.05,40.88,0,0.84,282.36
2011,2,4,10,22.65,33.12,0,1.16,258.77
2011,2,4,11,26.54,24.69,0,2.02,278.44
2011,2,4,12,28.63,21,0,2.69,276.67
2011,2,4,13,29.31,19.94,0,3.12,273.87
2011,2,4,14,29.36,19.75,0,3.29,282.22
2011,2,4,15,28.45,22.31,0,3.34,293.99
2011,2,4,16,24.93,36.62,0,3.02,303.2
2011,2,4,17,22.89,32.75,0,2.52,313.24
2011,2,4,18,22.55,31.56,0,2.01,326.43
2011,2,4,19,22.76,29.94,0,1.35,348.3
2011,2,4,20,22.14,32,0,0.87,47.17
2011,2,4,21,20.86,34.31,0,1.44,105.09
2011,2,4,22,18.37,40.69,0,2.32,126.79
2011,2,4,23,16.87,44.5,0,3.2,139.16
