,T2M,PRECTOTCORR,HR,DY,MO,YEAR,RH2M,WS50M,WS50M
0,8.33,1.0,5,1,2,2011,89.31,7.03,7.03
1,8.94,1.0,6,1,2,2011,86.44,6.99,6.99
2,11.1,1.0,7,1,2,2011,75.56,4.96,4.96
3,14.58,1.0,8,1,2,2011,61.44,3.72,3.72
4,19.37,1.0,9,1,2,2011,43.75,5.77,5.77
5,22.54,1.0,10,1,2,2011,34.31,6.4,6.4
6,24.0,1.0,11,1,2,2011,30.88,6.15,6.15
7,24.87,1.0,12,1,2,2011,28.94,5.78,5.78
8,25.19,1.0,13,1,2,2011,28.25,5.42,5.42
9,24.84,1.0,14,1,2,2011,28.81,5.34,5.34
10,23.58,1.0,15,1,2,2011,32.94,5.29,5.29
11,19.18,1.0,16,1,2,2011,48.31,5.62,5.62
12,16.46,1.0,17,1,2,2011,52.25,6.29,6.29
13,15.55,1.0,18,1,2,2011,54.12,6.64,6.64
14,14.66,1.0,19,1,2,2011,56.38,6.76,6.76
15,13.8,1.0,20,1,2,2011,59.12,6.66,6.66
16,12.92,1.0,21,1,2,2011,62.38,6.22,6.22
17,12.1,1.0,22,1,2,2011,66.44,5.76,5.76
18,11.36,1.0,23,1,2,2011,70.5,5.26,5.26
19,10.69,1.0,0,2,2,2011,74.38,4.86,4.86
20,10.05,1.0,1,2,2,2011,78.38,4.75,4.75
21,9.46,1.0,2,2,2,2011,82.19,4.65,4.65
22,8.96,1.0,3,2,2,2011,85.44,4.27,4.27
23,8.65,1.0,4,2,2,2011,87.62,3.67,3.67
24,8.67,1.0,5,2,2,2011,87.81,2.86,2.86
25,9.23,1.0,6,2,2,2011,85.12,2.23,2.23
26,11.97,1.0,7,2,2,2011,72.06,1.78,1.78
27,15.13,1.0,8,2,2,2011,60.06,1.77,1.77
28,20.08,1.0,9,2,2,2011,41.94,2.6,2.6
29,22.21,1.0,10,2,2,2011,35.5,2.65,2.65
30,23.22,1.0,11,2,2,2011,32.69,2.86,2.86
31,23.87,1.0,12,2,2,2011,31.12,2.98,2.98
32,24.11,1.0,13,2,2,2011,30.0,2.89,2.89
33,23.7,1.0,14,2,2,2011,30.44,3.18,3.18
34,22.4,1.0,15,2,2,2011,35.69,3.38,3.38
35,18.71,1.0,16,2,2,2011,50.69,3.51,3.51
36,16.43,1.0,17,2,2,2011,52.0,4.12,4.12
37,15.17,1.0,18,2,2,2011,55.5,4.95,4.95
38,14.26,1.0,19,2,2,2011,57.94,5.77,5.77
39,13.53,1.0,20,2,2,2011,60.0,5.99,5.99
40,12.79,1.0,21,2,2,2011,62.44,5.71,5.71
41,12.15,1.0,22,2,2,2011,64.94,4.96,4.96
42,11.94,1.0,23,2,2,2011,65.56,3.98,3.98
43,11.83,1.0,0,3,2,2011,65.88,3.35,3.35
44,11.38,1.0,1,3,2,2011,68.12,3.12,3.12
45,10.65,1.0,2,3,2,2011,71.94,3.19,3.19
46,9.98,1.0,3,3,2,2011,75.81,3.29,3.29
47,9.6,1.0,4,3,2,2011,78.25,3.11,3.11
48,9.29,1.0,5,3,2,2011,80.38,2.86,2.86
49,9.35,1.0,6,3,2,2011,81.0,3.06,3.06
50,12.35,1.0,7,3,2,2011,68.06,2.99,2.99
51,14.98,1.0,8,3,2,2011,59.0,2.62,2.62
52,19.53,1.0,9,3,2,2011,43.06,3.25,3.25
53,21.79,1.0,10,3,2,2011,36.88,2.88,2.88
54,22.9,1.0,11,3,2,2011,34.38,2.45,2.45
55,23.8,1.0,12,3,2,2011,32.38,2.03,2.03
56,24.28,1.0,13,3,2,2011,31.06,1.6,1.6
57,24.21,1.0,14,3,2,2011,30.94,1.34,1.34
58,23.07,1.0,15,3,2,2011,39.06,1.42,1.42
59,20.62,1.0,16,3,2,2011,43.06,1.79,1.79
60,18.85,1.0,17,3,2,2011,44.5,2.29,2.29
61,17.51,1.0,18,3,2,2011,47.69,2.95,2.95
62,16.19,1.0,19,3,2,2011,51.12,3.55,3.55
63,14.97,1.0,20,3,2,2011,54.5,4.06,4.06
64,14.01,1.0,21,3,2,2011,57.31,4.31,4.31
65,13.21,1.0,22,3,2,2011,60.5,4.36,4.36
66,12.62,1.0,23,3,2,2011,63.38,4.18,4.18
67,12.26,1.0,0,4,2,2011,65.38,3.72,3.72
68,12.1,1.0,1,4,2,2011,66.69,3.1,3.1
69,11.93,1.0,2,4,2,2011,68.0,2.55,2.55
70,11.64,1.0,3,4,2,2011,69.62,2.2,2.2
71,11.19,1.0,4,4,2,2011,72.06,2.12,2.12
72,10.45,1.0,5,4,2,2011,76.12,2.49,2.49
