YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS50M,WD50M
2011,2,1,5,8.33,89.31,0,7.03,268.41
2011,2,1,6,8.94,86.44,0,6.99,263.45
2011,2,1,7,11.1,75.56,0,4.96,260.11
2011,2,1,8,14.58,61.44,0,3.72,258.86
2011,2,1,9,19.37,43.75,0,5.77,275.29
2011,2,1,10,22.54,34.31,0,6.4,279.91
2011,2,1,11,24,30.88,0,6.15,282.32
2011,2,1,12,24.87,28.94,0,5.78,284.24
2011,2,1,13,25.19,28.25,0,5.42,285.3
2011,2,1,14,24.84,28.81,0,5.34,285.86
2011,2,1,15,23.58,32.94,0,5.29,285.76
2011,2,1,16,19.18,48.31,0,5.62,285.08
2011,2,1,17,16.46,52.25,0,6.29,287.56
2011,2,1,18,15.55,54.12,0,6.64,290.59
2011,2,1,19,14.66,56.38,0,6.76,294.64
2011,2,1,20,13.8,59.12,0,6.66,297.17
2011,2,1,21,12.92,62.38,0,6.22,300.33
2011,2,1,22,12.1,66.44,0,5.76,304.23
2011,2,1,23,11.36,70.5,0,5.26,306.73
2011,2,2,0,10.69,74.38,0,4.86,306.83
2011,2,2,1,10.05,78.38,0,4.75,304.21
2011,2,2,2,9.46,82.19,0,4.65,302.38
2011,2,2,3,8.96,85.44,0,4.27,302.53
2011,2,2,4,8.65,87.62,0,3.67,302.13
2011,2,2,5,8.67,87.81,0,2.86,300.56
2011,2,2,6,9.23,85.12,0,2.23,300.52
2011,2,2,7,11.97,72.06,0,1.78,301.39
2011,2,2,8,15.13,60.06,0,1.77,286.12
2011,2,2,9,20.08,41.94,0,2.6,274.82
2011,2,2,10,22.21,35.5,0,2.65,278.13
2011,2,2,11,23.22,32.69,0,2.86,289.33
2011,2,2,12,23.87,31.12,0,2.98,290.85
2011,2,2,13,24.11,30,0,2.89,284.71
2011,2,2,14,23.7,30.44,0,3.18,280.62
2011,2,2,15,22.4,35.69,0,3.38,281.34
2011,2,2,16,18.71,50.69,0,3.51,285.61
2011,2,2,17,16.43,52,0,4.12,289.74
2011,2,2,18,15.17,55.5,0,4.95,296.4
2011,2,2,19,14.26,57.94,0,5.77,305.52
2011,2,2,20,13.53,60,0,5.99,316
2011,2,2,21,12.79,62.44,0,5.71,322.89
2011,2,2,22,12.15,64.94,0,4.96,321.72
2011,2,2,23,11.94,65.56,0,3.98,315.95
2011,2,3,0,11.83,65.88,0,3.35,311.98
2011,2,3,1,11.38,68.12,0,3.12,311.75
2011,2,3,2,10.65,71.94,0,3.19,313.11
2011,2,3,3,9.98,75.81,0,3.29,313.75
2011,2,3,4,9.6,78.25,0,3.11,309.49
2011,2,3,5,9.29,80.38,0,2.86,296.77
2011,2,3,6,9.35,81,0,3.06,278.5
2011,2,3,7,12.35,68.06,0,2.99,267.45
2011,2,3,8,14.98,59,0,2.62,260.2
2011,2,3,9,19.53,43.06,0,3.25,266.97
2011,2,3,10,21.79,36.88,0,2.88,265.02
2011,2,3,11,22.9,34.38,0,2.45,259.55
2011,2,3,12,23.8,32.38,0,2.03,257.09
2011,2,3,13,24.28,31.06,0,1.6,252.1
2011,2,3,14,24.21,30.94,0,1.34,261.96
2011,2,3,15,23.07,39.06,0,1.42,282.73
2011,2,3,16,20.62,43.06,0,1.79,291.52
2011,2,3,17,18.85,44.5,0,2.29,293.76
2011,2,3,18,17.51,47.69,0,2.95,294.26
2011,2,3,19,16.19,51.12,0,3.55,296.85
2011,2,3,20,14.97,54.5,0,4.06,298.54
2011,2,3,21,14.01,57.31,0,4.31,300.05
2011,2,3,22,13.21,60.5,0,4.36,303.23
2011,2,3,23,12.62,63.38,0,4.18,307.32
2011,2,4,0,12.26,65.38,0,3.72,311.42
2011,2,4,1,12.1,66.69,0,3.1,315.51
2011,2,4,2,11.93,68,0,2.55,318.85
2011,2,4,3,11.64,69.62,0,2.2,320.9
2011,2,4,4,11.19,72.06,0,2.12,318.28
2011,2,4,5,10.45,76.12,0,2.49,306.33
2011,2,4,6,10.12,78.69,0,3.25,294.16
2011,2,4,7,13.33,65.5,0,3.32,287.97
2011,2,4,8,15.88,57.31,0,2.56,273.85
2011,2,4,9,20.58,42.25,0,3.14,269.29
2011,2,4,10,23.12,36,0,3.03,257.36
2011,2,4,11,24.64,32.81,0,2.99,250.95
2011,2,4,12,25.78,30.25,0,2.92,251.57
2011,2,4,13,26.34,28.81,0,2.85,255.7
2011,2,4,14,26.14,29,0,3.12,264.25
2011,2,4,15,24.53,38.69,0,3.53,271.27
2011,2,4,16,20.64,49.75,0,4.1,275.36
2011,2,4,17,18.51,50.5,0,4.47,280.07
2011,2,4,18,17.61,52.25,0,4.57,285.89
2011,2,4,19,16.8,54.12,0,4.57,290.29
2011,2,4,20,15.98,56.12,0,4.54,290.43
2011,2,4,21,15.3,58.06,0,4.32,289.45
2011,2,4,22,14.69,60.5,0,4,289.39
2011,2,4,23,14.23,62.69,0,3.58,293.15
2011,2,5,0,13.87,64.56,0,3.08,300.27
2011,2,5,1,13.58,66.5,0,2.57,308.09
2011,2,5,2,13.37,67.81,0,2.01,312.48
2011,2,5,3,12.85,70.44,0,1.55,307.22
2011,2,5,4,12.89,70.38,0,1.19,287.6
2011,2,5,5,12.81,70.88,0,0.93,253.99
2011,2,5,6,12.66,71.81,0,0.93,217.83
2011,2,5,7,14.65,64.56,0,0.93,215.43
2011,2,5,8,17.12,56.69,0,0.9,227.83
2011,2,5,9,21.12,44.62,0,1.12,247.9
2011,2,5,10,24.73,35.44,0,1.51,288.72
2011,2,5,11,25.75,33.5,0,1.48,299.41
2011,2,5,12,26.51,31.75,0,1.26,291.47
2011,2,5,13,26.82,31.19,0,1.3,275.88
2011,2,5,14,26.76,31.44,0,1.71,275.24
2011,2,5,15,25.4,40.25,0,1.94,281.85
2011,2,5,16,22.97,44.06,0,1.8,285.91
2011,2,5,17,21.94,42.69,0,1.67,285.98
2011,2,5,18,21.52,42.56,0,1.52,282.75
2011,2,5,19,20.94,43.06,0,1.3,273.79
2011,2,5,20,20.27,43.94,0,1.15,258.61
2011,2,5,21,19.56,45.81,0,1.1,247.07
2011,2,5,22,18.87,47.88,0,0.92,242.13
2011,2,5,23,18.19,50.06,0,0.53,243.81
2011,2,6,0,17.58,52.19,0,0.27,293.63
2011,2,6,1,16.87,54.81,0,0.53,338.36
2011,2,6,2,16.12,57.69,0,0.73,350.13
2011,2,6,3,15.62,59.62,0,0.45,351.03
2011,2,6,4,14.89,62.62,0,0.49,174.47
2011,2,6,5,13.27,69.62,0,1.75,181.53
2011,2,6,6,12.48,73.94,0,2.96,194.07
2011,2,6,7,15.39,62.88,0,3.07,205
2011,2,6,8,17.98,54.94,0,2.1,223.19
2011,2,6,9,22.23,42.56,0,2.43,250.69
2011,2,6,10,25.9,32.88,0,2.34,282.92
2011,2,6,11,27.24,29.19,0,1.79,285.67
2011,2,6,12,28.14,26.62,0,2.68,270
2011,2,6,13,28.35,25.5,0,3.81,266.71
2011,2,6,14,28.02,25.81,0,3.92,272.4
2011,2,6,15,26.17,36.75,0,3.6,281.9
2011,2,6,16,22.56,45.25,0,3.59,293.89
2011,2,6,17,21.16,42.31,0,3.34,305.66
2011,2,6,18,20.94,41.69,0,2.76,320.4
2011,2,6,19,20.28,42.62,0,2.3,334.91
2011,2,6,20,20.34,41.5,0,1.76,353.13
2011,2,6,21,20.11,41.31,0,1.53,6.47
2011,2,6,22,19.24,43.25,0,1.64,6.28
2011,2,6,23,18.36,45.19,0,1.74,17.22
2011,2,7,0,17.21,48.69,0,1.84,37.94
2011,2,7,1,15.83,53.44,0,1.98,60.9
2011,2,7,2,15.05,56.12,0,1.89,80.73
2011,2,7,3,14.41,58.5,0,1.95,105.6
2011,2,7,4,13.54,62.06,0,2.36,127.21
2011,2,7,5,12.36,67.25,0,2.96,143.58
2011,2,7,6,12.26,68.5,0,3.4,156.56
2011,2,7,7,15.6,56.94,0,2.97,168.93
2011,2,7,8,18.32,49.25,0,1.76,177.71
2011,2,7,9,22.42,39.44,0,1.82,199.6
2011,2,7,10,26.93,28.31,0,2.34,250.72
2011,2,7,11,28.88,23.75,0,3.16,278.67
2011,2,7,12,29.69,21.81,0,3.66,285.1
2011,2,7,13,29.83,21.19,0,3.91,287.2
2011,2,7,14,29.33,22.12,0,4.11,288.4
2011,2,7,15,27.51,31.44,0,3.85,293.92
2011,2,7,16,23.66,42.56,0,3.74,303.76
2011,2,7,17,21.82,39.69,0,3.75,313.82
2011,2,7,18,21.05,40.06,0,3.72,325.88
2011,2,7,19,20.38,41,0,3.64,338.61
2011,2,7,20,19.69,42.19,0,3.61,348.91
2011,2,7,21,19.01,43.38,0,3.57,356.74
2011,2,7,22,18.33,44.81,0,3.52,1.78
2011,2,7,23,17.68,46.31,0,3.43,6.15
2011,2,8,0,17.11,47.56,0,3.25,13.07
2011,2,8,1,16.56,48.88,0,3.1,20.67
2011,2,8,2,16.21,50,0,2.98,23
2011,2,8,3,16.15,50,0,2.51,24.89
2011,2,8,4,16.63,46.69,0,1.49,19.67
2011,2,8,5,16.47,46.44,0,0.74,297.65
2011,2,8,6,15.34,52.69,0,2.04,262.52
2011,2,8,7,18,47.75,0,2.77,267.74
2011,2,8,8,20.83,39.69,0,2.9,272.62
2011,2,8,9,24.66,31.44,0,2.96,281.73
2011,2,8,10,27.9,25.25,0,3.19,288.83
2011,2,8,11,28.98,23.94,0.01,3.24,279.71
2011,2,8,12,29.4,23.62,0,3.66,270.98
2011,2,8,13,29.33,23.88,0,4.18,267.86
2011,2,8,14,28.93,24.88,0,4.82,268.61
2011,2,8,15,27.79,28.12,0,5.56,270.97
2011,2,8,16,23.8,41.56,0,6.45,275.77
2011,2,8,17,20.54,47.31,0,7.96,282.75
2011,2,8,18,19.76,46.56,0,9.09,289.68
2011,2,8,19,18.8,45.88,0,9.59,295.12
2011,2,8,20,17.64,48.06,0,9.51,297.6
2011,2,8,21,16.54,52.06,0,9.31,297.77
2011,2,8,22,15.64,56.12,0,9.13,297.29
2011,2,8,23,14.87,59.88,0,8.94,296.86
2011,2,9,0,14.1,63.5,0,8.78,296.52
2011,2,9,1,13.34,66.94,0,8.67,296.31
2011,2,9,2,12.65,69.5,0,8.58,295.75
2011,2,9,3,12.09,70.81,0,8.57,295.33
