,T2M,PRECTOTCORR,HR,DY,MO,YEAR,RH2M,WS50M,WS50M
0,7.05,1.0,5,1,2,2011,90.44,6.64,6.64
1,7.14,1.0,6,1,2,2011,89.31,6.78,6.78
2,9.8,1.0,7,1,2,2011,76.12,5.59,5.59
3,12.69,1.0,8,1,2,2011,64.81,4.34,4.34
4,17.02,1.0,9,1,2,2011,50.25,5.39,5.39
5,20.29,1.0,10,1,2,2011,40.12,5.98,5.98
6,21.67,1.0,11,1,2,2011,36.56,5.59,5.59
7,22.4,1.0,12,1,2,2011,34.81,5.61,5.61
8,22.69,1.0,13,1,2,2011,34.25,5.7,5.7
9,22.45,1.0,14,1,2,2011,35.25,6.09,6.09
10,21.33,1.0,15,1,2,2011,40.19,6.36,6.36
11,17.72,1.0,16,1,2,2011,55.94,6.24,6.24
12,14.43,1.0,17,1,2,2011,63.56,6.55,6.55
13,13.48,1.0,18,1,2,2011,66.56,6.38,6.38
14,12.63,1.0,19,1,2,2011,69.62,5.91,5.91
15,11.87,1.0,20,1,2,2011,72.25,5.32,5.32
16,11.19,1.0,21,1,2,2011,74.5,4.81,4.81
17,10.59,1.0,22,1,2,2011,76.62,4.48,4.48
18,10.06,1.0,23,1,2,2011,78.56,4.38,4.38
19,9.62,1.0,0,2,2,2011,80.12,4.14,4.14
20,9.24,1.0,1,2,2,2011,81.25,3.74,3.74
21,8.76,1.0,2,2,2,2011,83.12,3.44,3.44
22,8.1,1.0,3,2,2,2011,85.81,3.3,3.3
23,7.53,1.0,4,2,2,2011,87.81,2.98,2.98
24,7.05,1.0,5,2,2,2011,89.31,2.45,2.45
25,6.76,1.0,6,2,2,2011,89.88,2.32,2.32
26,9.54,1.0,7,2,2,2011,75.81,2.41,2.41
27,12.31,1.0,8,2,2,2011,64.81,1.6,1.6
28,16.41,1.0,9,2,2,2011,51.62,1.42,1.42
29,20.05,1.0,10,2,2,2011,40.25,1.32,1.32
30,21.11,1.0,11,2,2,2011,37.81,0.99,0.99
31,21.71,1.0,12,2,2,2011,36.56,1.48,1.48
32,22.34,1.0,13,2,2,2011,35.0,1.65,1.65
33,22.25,1.0,14,2,2,2011,34.81,1.77,1.77
34,21.25,1.0,15,2,2,2011,38.94,2.56,2.56
35,17.56,1.0,16,2,2,2011,56.81,3.72,3.72
36,14.95,1.0,17,2,2,2011,58.5,4.43,4.43
37,14.42,1.0,18,2,2,2011,59.56,4.52,4.52
38,13.82,1.0,19,2,2,2011,60.5,4.3,4.3
39,13.19,1.0,20,2,2,2011,60.06,3.75,3.75
40,12.9,1.0,21,2,2,2011,59.38,3.11,3.11
41,12.4,1.0,22,2,2,2011,60.62,2.61,2.61
42,11.94,1.0,23,2,2,2011,62.19,2.41,2.41
43,11.11,1.0,0,3,2,2011,65.69,2.53,2.53
44,10.24,1.0,1,3,2,2011,69.5,2.7,2.7
45,9.98,1.0,2,3,2,2011,70.38,2.53,2.53
46,9.65,1.0,3,3,2,2011,71.56,2.22,2.22
47,8.87,1.0,4,3,2,2011,75.19,2.3,2.3
48,8.0,1.0,5,3,2,2011,79.62,2.68,2.68
49,7.7,1.0,6,3,2,2011,81.25,2.77,2.77
50,10.53,1.0,7,3,2,2011,70.62,2.18,2.18
51,13.19,1.0,8,3,2,2011,60.88,1.18,1.18
52,17.51,1.0,9,3,2,2011,46.75,0.99,0.99
53,20.87,1.0,10,3,2,2011,37.0,1.15,1.15
54,21.77,1.0,11,3,2,2011,35.69,1.39,1.39
55,22.64,1.0,12,3,2,2011,34.0,1.47,1.47
56,23.04,1.0,13,3,2,2011,33.38,1.44,1.44
57,23.23,1.0,14,3,2,2011,33.25,1.28,1.28
58,22.44,1.0,15,3,2,2011,37.25,1.06,1.06
59,20.15,1.0,16,3,2,2011,46.56,1.12,1.12
60,18.2,1.0,17,3,2,2011,46.06,1.31,1.31
61,17.44,1.0,18,3,2,2011,46.88,1.68,1.68
62,16.44,1.0,19,3,2,2011,49.06,2.29,2.29
63,15.26,1.0,20,3,2,2011,52.44,2.8,2.8
64,14.41,1.0,21,3,2,2011,54.88,2.88,2.88
65,13.94,1.0,22,3,2,2011,56.12,2.55,2.55
66,13.57,1.0,23,3,2,2011,57.12,2.15,2.15
67,13.23,1.0,0,4,2,2011,58.25,1.91,1.91
68,12.5,1.0,1,4,2,2011,61.19,1.87,1.87
69,11.8,1.0,2,4,2,2011,64.31,1.89,1.89
70,11.3,1.0,3,4,2,2011,66.69,1.8,1.8
71,10.75,1.0,4,4,2,2011,69.38,1.74,1.74
72,9.98,1.0,5,4,2,2011,73.06,1.92,1.92
73,9.48,1.0,6,4,2,2011,75.69,2.12,2.12
74,11.99,1.0,7,4,2,2011,68.62,2.14,2.14
75,14.63,1.0,8,4,2,2011,58.38,1.78,1.78
76,18.41,1.0,9,4,2,2011,47.69,1.69,1.69
77,22.19,1.0,10,4,2,2011,37.44,1.84,1.84
78,23.69,1.0,11,4,2,2011,35.38,2.0,2.0
79,24.76,1.0,12,4,2,2011,34.0,2.36,2.36
80,25.37,1.0,13,4,2,2011,33.25,2.84,2.84
81,25.34,1.0,14,4,2,2011,33.44,3.54,3.54
82,24.28,1.0,15,4,2,2011,38.94,4.0,4.0
83,20.6,1.0,16,4,2,2011,55.69,3.85,3.85
84,18.46,1.0,17,4,2,2011,53.69,3.68,3.68
85,17.9,1.0,18,4,2,2011,53.56,3.36,3.36
86,17.68,1.0,19,4,2,2011,53.0,2.77,2.77
87,17.33,1.0,20,4,2,2011,53.44,2.06,2.06
88,16.98,1.0,21,4,2,2011,54.19,1.47,1.47
89,16.76,1.0,22,4,2,2011,54.56,1.12,1.12
90,16.28,1.0,23,4,2,2011,56.06,0.98,0.98
91,15.61,1.0,0,5,2,2011,58.56,0.93,0.93
92,14.96,1.0,1,5,2,2011,61.12,0.92,0.92
93,14.33,1.0,2,5,2,2011,63.56,0.66,0.66
94,13.61,1.0,3,5,2,2011,66.19,0.08,0.08
95,12.62,1.0,4,5,2,2011,70.31,1.03,1.03
96,11.34,1.0,5,5,2,2011,76.38,1.79,1.79
