YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS50M,WD50M
2011,2,1,5,7.05,90.44,0,6.64,288.61
2011,2,1,6,7.14,89.31,0,6.78,284.82
2011,2,1,7,9.8,76.12,0,5.59,280.48
2011,2,1,8,12.69,64.81,0,4.34,270.41
2011,2,1,9,17.02,50.25,0,5.39,278.93
2011,2,1,10,20.29,40.12,0,5.98,283.06
2011,2,1,11,21.67,36.56,0,5.59,281.28
2011,2,1,12,22.4,34.81,0,5.61,282.22
2011,2,1,13,22.69,34.25,0,5.7,284.11
2011,2,1,14,22.45,35.25,0,6.09,285.95
2011,2,1,15,21.33,40.19,0,6.36,287.08
2011,2,1,16,17.72,55.94,0,6.24,287.35
2011,2,1,17,14.43,63.56,0,6.55,287.35
2011,2,1,18,13.48,66.56,0,6.38,289.74
2011,2,1,19,12.63,69.62,0,5.91,294.94
2011,2,1,20,11.87,72.25,0,5.32,301.43
2011,2,1,21,11.19,74.5,0,4.81,309.2
2011,2,1,22,10.59,76.62,0,4.48,316.2
2011,2,1,23,10.06,78.56,0,4.38,315.29
2011,2,2,0,9.62,80.12,0,4.14,309.87
2011,2,2,1,9.24,81.25,0,3.74,303.86
2011,2,2,2,8.76,83.12,0,3.44,293.3
2011,2,2,3,8.1,85.81,0,3.3,284.1
2011,2,2,4,7.53,87.81,0,2.98,283.78
2011,2,2,5,7.05,89.31,0,2.45,287.63
2011,2,2,6,6.76,89.88,0,2.32,279.87
2011,2,2,7,9.54,75.81,0,2.41,276.5
2011,2,2,8,12.31,64.81,0,1.6,293.68
2011,2,2,9,16.41,51.62,0,1.42,319.91
2011,2,2,10,20.05,40.25,0,1.32,313.32
2011,2,2,11,21.11,37.81,0,0.99,277.68
2011,2,2,12,21.71,36.56,0,1.48,261.53
2011,2,2,13,22.34,35,0,1.65,262.94
2011,2,2,14,22.25,34.81,0,1.77,270.51
2011,2,2,15,21.25,38.94,0,2.56,274.55
2011,2,2,16,17.56,56.81,0,3.72,278.45
2011,2,2,17,14.95,58.5,0,4.43,288.82
2011,2,2,18,14.42,59.56,0,4.52,302.95
2011,2,2,19,13.82,60.5,0,4.3,317.87
2011,2,2,20,13.19,60.06,0,3.75,333.38
2011,2,2,21,12.9,59.38,0,3.11,344.71
2011,2,2,22,12.4,60.62,0,2.61,347.55
2011,2,2,23,11.94,62.19,0,2.41,344.97
2011,2,3,0,11.11,65.69,0,2.53,339.94
2011,2,3,1,10.24,69.5,0,2.7,334.47
2011,2,3,2,9.98,70.38,0,2.53,329.4
2011,2,3,3,9.65,71.56,0,2.22,317.56
2011,2,3,4,8.87,75.19,0,2.3,298.56
2011,2,3,5,8,79.62,0,2.68,288.38
2011,2,3,6,7.7,81.25,0,2.77,287.92
2011,2,3,7,10.53,70.62,0,2.18,289.47
2011,2,3,8,13.19,60.88,0,1.18,270.76
2011,2,3,9,17.51,46.75,0,0.99,259.13
2011,2,3,10,20.87,37,0,1.15,244.65
2011,2,3,11,21.77,35.69,0,1.39,231.84
2011,2,3,12,22.64,34,0,1.47,234.11
2011,2,3,13,23.04,33.38,0,1.44,234.93
2011,2,3,14,23.23,33.25,0,1.28,244.69
2011,2,3,15,22.44,37.25,0,1.06,276.76
2011,2,3,16,20.15,46.56,0,1.12,311.34
2011,2,3,17,18.2,46.06,0,1.31,326.4
2011,2,3,18,17.44,46.88,0,1.68,327.34
2011,2,3,19,16.44,49.06,0,2.29,330.11
2011,2,3,20,15.26,52.44,0,2.8,336.3
2011,2,3,21,14.41,54.88,0,2.88,343.63
2011,2,3,22,13.94,56.12,0,2.55,349.59
2011,2,3,23,13.57,57.12,0,2.15,354.37
2011,2,4,0,13.23,58.25,0,1.91,355.78
2011,2,4,1,12.5,61.19,0,1.87,356.65
2011,2,4,2,11.8,64.31,0,1.89,0.24
2011,2,4,3,11.3,66.69,0,1.8,350.99
2011,2,4,4,10.75,69.38,0,1.74,328.95
2011,2,4,5,9.98,73.06,0,1.92,308.88
2011,2,4,6,9.48,75.69,0,2.12,296.28
2011,2,4,7,11.99,68.62,0,2.14,288.77
2011,2,4,8,14.63,58.38,0,1.78,272.77
2011,2,4,9,18.41,47.69,0,1.69,266.56
2011,2,4,10,22.19,37.44,0,1.84,268.05
2011,2,4,11,23.69,35.38,0,2,270.45
2011,2,4,12,24.76,34,0,2.36,273.41
2011,2,4,13,25.37,33.25,0,2.84,271.26
2011,2,4,14,25.34,33.44,0,3.54,272.78
2011,2,4,15,24.28,38.94,0,4,276.96
2011,2,4,16,20.6,55.69,0,3.85,282.18
2011,2,4,17,18.46,53.69,0,3.68,289.47
2011,2,4,18,17.9,53.56,0,3.36,295.02
2011,2,4,19,17.68,53,0,2.77,298.8
2011,2,4,20,17.33,53.44,0,2.06,299.1
2011,2,4,21,16.98,54.19,0,1.47,296.43
2011,2,4,22,16.76,54.56,0,1.12,299.79
2011,2,4,23,16.28,56.06,0,0.98,311.78
2011,2,5,0,15.61,58.56,0,0.93,334.72
2011,2,5,1,14.96,61.12,0,0.92,5.37
2011,2,5,2,14.33,63.56,0,0.66,25.35
2011,2,5,3,13.61,66.19,0,0.08,248.2
2011,2,5,4,12.62,70.31,0,1.03,233.91
2011,2,5,5,11.34,76.38,0,1.79,242.43
2011,2,5,6,10.97,78.38,0,2.12,254.17
2011,2,5,7,13.42,71.25,0,1.86,267.11
2011,2,5,8,16.23,59.75,0,0.97,276.95
2011,2,5,9,19.76,50.19,0,0.47,245.56
2011,2,5,10,23.05,41.81,0,0.75,211.88
2011,2,5,11,25.81,34.5,0,1.49,234.39
2011,2,5,12,27.65,30,0,1.93,240.74
2011,2,5,13,28.4,28.06,0,2,239.23
2011,2,5,14,28.24,29,0,1.98,241.71
2011,2,5,15,27.26,34.38,0,1.75,246.3
2011,2,5,16,25.52,37.12,0,1.14,243.61
2011,2,5,17,24.54,33.69,0,0.59,247.5
2011,2,5,18,23.85,34.56,0,0.18,12.26
2011,2,5,19,22.35,37.5,0,1.03,62.85
2011,2,5,20,20.03,43.62,0,2,77.59
2011,2,5,21,18.27,49,0,2.89,86.74
2011,2,5,22,16.69,54.56,0,3.44,89.22
2011,2,5,23,15.42,59.31,0,3.77,90.83
2011,2,6,0,14.36,63.69,0,4.22,94.36
2011,2,6,1,13.62,67.12,0,4.9,99.09
2011,2,6,2,13.17,68.94,0,5.15,101.38
2011,2,6,3,12.87,69.62,0,4.88,102.66
2011,2,6,4,12.86,69.06,0,4.69,103.69
2011,2,6,5,12.92,68.12,0,4.28,105.26
2011,2,6,6,12.54,67.31,0,3.32,111.98
2011,2,6,7,15.26,62.44,0,3.16,121.64
2011,2,6,8,17.73,51.5,0,2.71,135.7
2011,2,6,9,20.5,46.38,0,2.35,162.95
2011,2,6,10,23.28,40.5,0,2.05,176.51
2011,2,6,11,25.74,34.5,0,2.26,183.76
2011,2,6,12,26.97,30.94,0,2.5,195.04
2011,2,6,13,27.3,30.12,0,2.45,205.67
2011,2,6,14,27.07,31,0,2.04,209.42
2011,2,6,15,26.21,34.44,0,1.32,206.72
2011,2,6,16,24.21,43.12,0,0.87,126.25
2011,2,6,17,21.76,43.69,0,2.27,94.73
2011,2,6,18,19.43,50.31,0,3.51,92.42
2011,2,6,19,18.18,54,0,4.24,86.2
2011,2,6,20,17.07,57.75,0,5.24,82.8
2011,2,6,21,16.37,60.06,0,6.05,82.28
2011,2,6,22,16.19,60.94,0,6.8,84
2011,2,6,23,15.99,61.25,0,7.32,86.69
2011,2,7,0,15.48,62.25,0,7.47,88.74
2011,2,7,1,14.58,63.81,0,7.5,90.3
2011,2,7,2,14.02,64.25,0,7.64,93.22
2011,2,7,3,13.65,64.25,0,7.6,98.63
2011,2,7,4,12.98,65.31,0,7.11,108.26
2011,2,7,5,12.62,65.94,0,6.66,122.44
2011,2,7,6,12.91,65.5,0.01,6.53,137.96
2011,2,7,7,14.71,60.94,0.04,5.76,146.46
2011,2,7,8,16.65,56.56,0.64,4.45,142.99
2011,2,7,9,19.52,51.31,0.06,4.93,142.73
2011,2,7,10,22.54,43.38,0,5.65,140.83
2011,2,7,11,24.83,35.94,0,6.33,144.29
2011,2,7,12,25.87,32.25,0,6.26,145.48
2011,2,7,13,26.29,31.12,0,5.85,144.74
2011,2,7,14,26.33,31.81,0,5.41,146.13
2011,2,7,15,25.53,36.88,0,4.58,148.05
2011,2,7,16,22.38,51.25,0,3.72,135.26
2011,2,7,17,20.08,49.69,0,3.87,114.34
2011,2,7,18,18.58,54.25,0,4.68,102.74
2011,2,7,19,17.8,57.56,0.01,5.43,99.53
2011,2,7,20,17.25,59.88,0.03,5.79,100.73
2011,2,7,21,16.62,62.75,0.12,5.91,105.34
2011,2,7,22,15.8,66.38,0.48,5.44,110.88
2011,2,7,23,15.33,68,0.48,3.95,120.67
2011,2,8,0,15.62,65.94,0.09,2.27,145.93
2011,2,8,1,16,65.06,0.02,1.1,199.84
2011,2,8,2,16.1,64.69,0.03,1,296.57
2011,2,8,3,15.64,64.12,0.05,1.88,341.87
2011,2,8,4,14.84,66.44,0.04,2.67,350.04
2011,2,8,5,13.97,69.88,0,3.27,348.99
2011,2,8,6,13.69,72.81,0,3.54,350.1
2011,2,8,7,16.68,69.19,0,3.02,351.81
2011,2,8,8,19.36,56.69,0,1.84,345.49
2011,2,8,9,23.23,42.5,0.08,1.99,322.5
2011,2,8,10,24.8,37.31,0,2.49,302.29
2011,2,8,11,25.71,33.56,0,3.17,295.74
2011,2,8,12,26.28,30.5,0,3.98,295.71
2011,2,8,13,26.36,28.94,0,4.91,297.5
2011,2,8,14,25.94,28.69,0,6.01,298.4
2011,2,8,15,24.73,31.12,0,7.16,297.26
2011,2,8,16,21.79,40.5,0,8.13,293.21
2011,2,8,17,18.17,47.94,0,9.76,293.3
2011,2,8,18,17.19,48.94,0,10.11,297.28
2011,2,8,19,15.89,52.62,0,9.73,301.61
2011,2,8,20,14.49,57.38,0,9.13,304.72
2011,2,8,21,13.12,62.19,0,8.43,306.33
2011,2,8,22,11.93,66,0,7.78,306.13
2011,2,8,23,10.9,68.81,0,7.2,302.78
2011,2,9,0,10.02,71.38,0.32,6.86,295.95
2011,2,9,1,9.28,74.56,0.32,6.89,289.96
2011,2,9,2,8.62,77,0.32,7.14,288.69
2011,2,9,3,7.97,79.44,0,7.24,292.66
2011,2,9,4,7.32,81.62,0,7.03,300.1
2011,2,9,5,6.71,83.69,0,6.63,307.25
2011,2,9,6,6.93,82.12,0,6.11,309.97
2011,2,9,7,9.87,70.62,0,4.58,304.23
2011,2,9,8,13.11,59.31,0,3.48,285.75
2011,2,9,9,17.9,41.94,0,4.32,294.15
2011,2,9,10,21.84,28.44,0,4.35,295.32
2011,2,9,11,23.83,23.69,0,4.26,284.21
2011,2,9,12,24.94,21.06,0,4.56,275.91
2011,2,9,13,25.37,19.75,0,4.83,271.76
2011,2,9,14,25.01,19.88,0,5.34,271.17
2011,2,9,15,23.62,23.81,0,6.46,274.51
2011,2,9,16,19.7,37.69,0,7.22,276.59
2011,2,9,17,15.44,46,0,8.12,277.86
2011,2,9,18,14.51,46.94,0,9.21,280.6
2011,2,9,19,13.69,49.06,0,9.32,285.96
2011,2,9,20,12.47,53.88,0,8.43,295.07
2011,2,9,21,11.35,58.44,0,7.53,304.43
2011,2,9,22,10.4,62.19,0,6.71,309.19
2011,2,9,23,9.65,64.94,0,6.16,307.68
2011,2,10,0,9,67.19,0,5.95,306.13
2011,2,10,1,8.44,68.88,0,5.82,307.42
2011,2,10,2,7.94,69.88,0,5.53,306.09
