YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS50M,WD50M
2011,2,1,5,5.49,77.25,0,6.04,308.28
2011,2,1,6,5.27,79,0,6.1,299.72
2011,2,1,7,8.44,65.31,0,5.31,291.24
2011,2,1,8,11.28,55.56,0,3.42,275.65
2011,2,1,9,15.74,44.25,0,3.32,275.54
2011,2,1,10,20.08,33.5,0,4.74,291.45
2011,2,1,11,21.72,30,0,4.88,292.91
2011,2,1,12,22.81,27.81,0,4.87,294.84
2011,2,1,13,23.4,26.5,0,4.98,297.17
2011,2,1,14,23.43,26.25,0,5.19,301.9
2011,2,1,15,22.61,28.88,0,5.18,304.98
2011,2,1,16,18.9,46.56,0,4.82,303.97
2011,2,1,17,15.38,50.62,0,4.83,302.04
2011,2,1,18,14.36,51.62,0,4.84,301.33
2011,2,1,19,13.41,53.31,0,5.01,299.6
2011,2,1,20,12.34,55.75,0,5.52,297.54
2011,2,1,21,11.37,58.06,0,6.39,295.12
2011,2,1,22,10.66,59.56,0,6.96,294.55
2011,2,1,23,9.98,61.06,0,7.15,296.4
2011,2,2,0,9.35,62.62,0,7.25,297.59
2011,2,2,1,8.68,64.56,0,6.92,298.16
2011,2,2,2,8.03,66.56,0,6.33,299.25
2011,2,2,3,7.49,68.25,0,6.07,298.88
2011,2,2,4,7.07,69.5,0,6.34,296.63
2011,2,2,5,6.77,70.12,0,6.7,293.49
2011,2,2,6,6.74,69.94,0,6.57,292.21
2011,2,2,7,10.03,57.25,0,5.65,290.49
2011,2,2,8,12.35,49.44,0,3.59,283.19
2011,2,2,9,15.55,43,0,2.28,275.32
2011,2,2,10,21.06,29.06,0,3.71,312.01
2011,2,2,11,23.58,24.06,0,3.42,324.68
2011,2,2,12,24.6,22.69,0,2.86,338.49
2011,2,2,13,25.01,22.12,0,2.54,340
2011,2,2,14,24.3,23.31,0,2.62,325.69
2011,2,2,15,23,31.38,0,2.89,316.97
2011,2,2,16,20.34,45.88,0,2.79,325.73
2011,2,2,17,18.17,38.69,0,2.82,336.84
2011,2,2,18,17.3,38.75,0,2.66,346.74
2011,2,2,19,16.77,38.81,0,2.31,349.87
2011,2,2,20,16.08,39.75,0,1.91,347.5
2011,2,2,21,15.47,40.5,0,1.71,328.99
2011,2,2,22,14.09,44.06,0,2.09,305.41
2011,2,2,23,13.21,45.69,0,2.78,295.63
2011,2,3,0,11.9,49.19,0,3.4,294.98
2011,2,3,1,10.73,52.56,0,3.88,298.47
2011,2,3,2,9.71,55.5,0,4.21,302.57
2011,2,3,3,8.97,57.69,0,4.29,304.62
2011,2,3,4,8.58,58.56,0,4.09,303.93
2011,2,3,5,8.42,58.56,0,3.73,299.52
2011,2,3,6,8.51,58.44,0,3.35,290.93
2011,2,3,7,11.23,56.5,0,3.15,278.85
2011,2,3,8,14.44,42.25,0,2.51,262.48
2011,2,3,9,18.61,35.5,0,2.08,265.91
2011,2,3,10,23.12,28.25,0,2.65,301.02
2011,2,3,11,24.52,26.88,0,2.88,306.06
2011,2,3,12,25.69,25.62,0,2.82,308.71
