YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS50M,WD50M
2011,2,1,5,5.71,81.5,0,6.56,309.49
2011,2,1,6,5.52,82.81,0,6.54,301.07
2011,2,1,7,8.45,69.75,0,5.59,292.95
2011,2,1,8,11.2,60.69,0,3.64,276.91
2011,2,1,9,15.42,49.94,0,3.55,272.4
2011,2,1,10,19.76,37.88,0,5.11,289.57
2011,2,1,11,21.37,34.12,0,5.07,290.83
2011,2,1,12,22.37,32,0,4.99,293.15
2011,2,1,13,22.87,30.94,0,5.03,295.09
2011,2,1,14,22.82,30.94,0,5.3,298.15
2011,2,1,15,21.86,35.69,0,5.34,301.37
2011,2,1,16,18.26,52.31,0,4.88,301.12
2011,2,1,17,15.04,54.62,0,4.78,299.58
2011,2,1,18,14.16,55,0,4.68,300.29
2011,2,1,19,13.39,55.94,0,4.67,300.34
2011,2,1,20,12.35,58.38,0,5.04,298.95
2011,2,1,21,11.26,61.25,0,5.79,297.64
2011,2,1,22,10.47,63.12,0,6.7,297.34
2011,2,1,23,9.76,64.69,0,6.92,300.44
2011,2,2,0,9.08,66.56,0,7,302.61
2011,2,2,1,8.4,68.69,0,6.9,302.23
2011,2,2,2,7.73,70.88,0,6.47,301.87
2011,2,2,3,7.12,72.88,0,6.04,300.91
2011,2,2,4,6.63,74.56,0,6.08,297.65
2011,2,2,5,6.29,75.69,0,6.57,292.6
2011,2,2,6,6.25,75.56,0,6.68,290.17
2011,2,2,7,9.49,62,0,5.46,290.25
2011,2,2,8,11.91,54.75,0,3.2,284.41
2011,2,2,9,14.66,49.75,0,1.91,270.47
2011,2,2,10,19.36,36.31,0,3.34,304.14
2011,2,2,11,22.07,29.81,0,3.64,311.08
2011,2,2,12,23.2,28.19,0,3.02,318.77
2011,2,2,13,23.67,27.62,0,2.56,324.42
2011,2,2,14,23.39,28.38,0,2.74,313.15
2011,2,2,15,21.71,40,0,3.15,304.79
2011,2,2,16,19.19,51.62,0,3.11,308.68
2011,2,2,17,17.33,44.81,0,2.97,324.85
2011,2,2,18,16.22,46,0,3.08,340.14
2011,2,2,19,15.45,46.88,0,2.91,349.32
2011,2,2,20,15.08,46.5,0,2.56,352.12
2011,2,2,21,14.4,47.31,0,2.12,347.24
2011,2,2,22,13.52,49.19,0,2.02,327.97
2011,2,2,23,12.65,51.56,0,2.53,309.49
2011,2,3,0,11.22,56.25,0,3.28,304.22
2011,2,3,1,9.83,61.06,0,3.93,304.8
2011,2,3,2,8.7,64.69,0,4.39,306.24
2011,2,3,3,7.96,66.38,0,4.55,305.43
2011,2,3,4,7.53,66.25,0,4.39,302.64
2011,2,3,5,7.3,65.56,0,4.08,296.71
2011,2,3,6,7.26,65.38,0,3.87,287.37
2011,2,3,7,10.44,58.69,0,3.61,278.08
2011,2,3,8,13.53,46.75,0,2.6,264.65
2011,2,3,9,17.42,40.75,0,2.31,259.87
2011,2,3,10,21.9,32.25,0,3.24,286.55
2011,2,3,11,23.05,31.25,0,3.33,293.92
2011,2,3,12,23.98,30.38,0,3.25,297.3
2011,2,3,13,24.51,30.19,0,2.95,301.8
2011,2,3,14,24.68,30.81,0,2.85,310.89
2011,2,3,15,23.74,36.62,0,2.82,327.1
