YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS50M,WD50M
2011,2,1,5,7.4,72.56,0,3.03,305.45
2011,2,1,6,7.18,72.56,0,2.89,303.3
2011,2,1,7,8.94,64.94,0,2.57,298.67
2011,2,1,8,11.83,53.25,0,2.15,286.26
2011,2,1,9,15.62,43,0,2.97,286.81
2011,2,1,10,20.02,32.38,0,4.41,300.7
2011,2,1,11,22.01,28.12,0,4.44,307.13
2011,2,1,12,23.26,25.62,0,4.2,308.43
2011,2,1,13,23.92,24.19,0,4.02,301.5
2011,2,1,14,23.98,23.75,0,4.15,291.98
2011,2,1,15,23.2,25.25,0,4.39,287.08
2011,2,1,16,19.31,41.12,0,4.58,284.91
2011,2,1,17,15.83,44.94,0,4.69,291.27
2011,2,1,18,14.89,45.44,0,4.51,304.27
2011,2,1,19,14.08,46.56,0,4.39,316.8
2011,2,1,20,13.49,47.25,0,4.06,327.11
2011,2,1,21,13.27,46.81,0,3.28,335.94
2011,2,1,22,13.19,45.75,0,2.52,340.05
2011,2,1,23,13.13,45.06,0,1.93,346.19
2011,2,2,0,12.65,45.94,0,1.45,357.84
2011,2,2,1,12.37,45.81,0,1.23,359.27
2011,2,2,2,11.44,48.12,0,1.5,344.3
2011,2,2,3,10.64,50.19,0,2.1,332.77
2011,2,2,4,9.77,52.44,0,2.47,327.51
2011,2,2,5,9.08,53.94,0,2.67,321.65
2011,2,2,6,8.54,54.44,0,2.79,315.79
2011,2,2,7,10.03,52.25,0,2.68,312.63
2011,2,2,8,13.17,40.62,0,1.73,305.99
2011,2,2,9,16.27,34.44,0,1.28,302.82
2011,2,2,10,20.28,26.69,0,2.32,312.27
2011,2,2,11,23.56,20.25,0,3.3,310.48
2011,2,2,12,24.58,18.69,0,3.1,304.33
2011,2,2,13,24.55,18.94,0,3.56,290.31
2011,2,2,14,23.97,20.38,0,4.52,283.48
2011,2,2,15,22.87,24.38,0,4.82,285.91
2011,2,2,16,19.35,40.19,0,4.52,296.48
2011,2,2,17,16.55,41.25,0,3.81,316
2011,2,2,18,16.12,39.62,0,2.93,340.5
2011,2,2,19,16.14,37.94,0,2.14,355.81
2011,2,2,20,16.01,37.5,0,1.61,349.35
2011,2,2,21,15.27,39.06,0,1.67,346.48
2011,2,2,22,14.14,41.88,0,2.14,356.86
2011,2,2,23,12.8,44.88,0,2.65,3.56
2011,2,3,0,11.96,46.56,0,2.77,3.72
2011,2,3,1,11.67,46.94,0,2.7,0.17
2011,2,3,2,11.31,47.38,0,2.78,357.75
2011,2,3,3,10.76,47.94,0,2.87,1.25
2011,2,3,4,11.03,46.12,0,2.62,5.64
2011,2,3,5,11.5,43.81,0,1.96,358.86
2011,2,3,6,11.35,44.12,0,1.52,324.84
2011,2,3,7,11.83,49.12,0,2.26,291.07
2011,2,3,8,14.8,38.81,0,2.42,284.04
2011,2,3,9,17.76,34,0,2.26,287.31
2011,2,3,10,22.28,26.25,0,4.13,305.68
2011,2,3,11,25.03,21.88,0,4.27,304.94
2011,2,3,12,26.19,20.81,0,4.36,297.44
2011,2,3,13,26.74,20.69,0,4.72,293.72
2011,2,3,14,26.62,21.31,0,4.56,295.38
2011,2,3,15,25.65,24.06,0,4.05,296.71
2011,2,3,16,21.75,40.5,0,3.93,293.2
2011,2,3,17,18.82,41.38,0,3.9,294.77
2011,2,3,18,18.4,40.44,0,3.27,305.17
2011,2,3,19,18.1,40.44,0,2.76,326.31
2011,2,3,20,17.15,42.75,0,2.72,352.92
2011,2,3,21,16.23,44.81,0,2.95,15.36
2011,2,3,22,15.31,46.88,0,3.1,29.73
2011,2,3,23,15.04,46.62,0,2.92,35.73
2011,2,4,0,15.07,45.88,0,2.35,35.38
2011,2,4,1,15.35,44.38,0,1.65,26.69
2011,2,4,2,15.2,44.88,0,1.22,7.72
2011,2,4,3,15.26,44.06,0,0.69,13.09
2011,2,4,4,14.8,43.75,0,0.53,101.98
2011,2,4,5,14.3,44.12,0,0.95,112.15
2011,2,4,6,13.23,47.06,0,1.74,104.85
2011,2,4,7,13.83,50.56,0,2.25,101.23
2011,2,4,8,16.76,41.19,0,1.83,94.64
2011,2,4,9,19.57,34.62,0,0.45,36.47
2011,2,4,10,24.05,26,0,1.59,311.21
2011,2,4,11,25.7,23.31,0,2.56,290.92
2011,2,4,12,25.54,23.88,0,3.38,292.59
2011,2,4,13,24.97,25.25,0,3.57,300.55
2011,2,4,14,23.98,30.06,0,3.34,313.39
2011,2,4,15,21.94,42.56,0,3.11,339.56
2011,2,4,16,20.16,43.94,0,2.95,8.07
2011,2,4,17,19.19,43.5,0,2.6,23.33
2011,2,4,18,18.96,42.31,0,2.14,20.48
2011,2,4,19,18.67,41.94,0,2.18,12.44
2011,2,4,20,18,43.81,0,2.56,15.22
2011,2,4,21,17.38,45.19,0,2.89,32.19
2011,2,4,22,16.48,47.38,0,3.11,55.63
2011,2,4,23,15.81,48.12,0,3.3,77.54
2011,2,5,0,15.3,48.31,0,3.3,96.67
2011,2,5,1,14.76,49.19,0,3.18,112.85
2011,2,5,2,14.36,49.75,0,2.94,121.88
2011,2,5,3,14.05,50,0,2.6,130.98
2011,2,5,4,13.83,49.88,0,2.18,141.69
2011,2,5,5,13.5,50.5,0,1.9,148.59
2011,2,5,6,12.9,52.19,0,2,144.2
2011,2,5,7,13.88,53,0,2.38,138.32
2011,2,5,8,17.23,42.75,0,2.5,138.43
2011,2,5,9,19.64,36.56,0,2.2,144.67
2011,2,5,10,21.84,32.19,0,2.31,148.84
2011,2,5,11,25.01,25.69,0,3.2,164.13
2011,2,5,12,26.94,22.25,0,3.7,177.94
2011,2,5,13,26.98,22.06,0,3.55,192.45
2011,2,5,14,25.61,28.31,0,2.59,206.49
2011,2,5,15,24.12,33.88,0,1.3,211.02
2011,2,5,16,23.4,32.31,0,0.61,150.8
2011,2,5,17,21.51,32.12,0,0.92,105.34
2011,2,5,18,19.77,35.75,0,1.57,86
2011,2,5,19,17.91,41.5,0,2.68,88.16
2011,2,5,20,15.8,48.62,0,4.53,97.33
2011,2,5,21,15.17,52.19,0,6.66,104.39
2011,2,5,22,15.27,53.5,0,7.51,110.77
2011,2,5,23,14.83,56.19,0,7.24,111.14
2011,2,6,0,14.35,58.06,0,6.82,107.19
2011,2,6,1,13.91,58.81,0,6.33,107.83
2011,2,6,2,14.22,56.94,0,5.05,110.85
2011,2,6,3,14.53,55.5,0,4.89,111.73
2011,2,6,4,14.54,54.62,0,5.29,111.41
2011,2,6,5,14.44,54.19,0,5.61,115.57
2011,2,6,6,14.4,54,0,6.11,123.73
2011,2,6,7,15.01,53,0,6.28,134.34
2011,2,6,8,16.69,50.19,0.02,6.26,137.78
2011,2,6,9,19.01,43.44,0.03,6.41,126.38
2011,2,6,10,21.56,36.81,0.03,7.48,117.23
2011,2,6,11,23.69,31.81,0.02,9.03,119.31
2011,2,6,12,24.83,29.38,0.01,9.73,126.01
2011,2,6,13,25.53,27.81,0,9.96,135.89
2011,2,6,14,25.6,27.31,0,10.18,144.59
2011,2,6,15,24.68,28.81,0,10.01,149.61
2011,2,6,16,22.34,34.31,0,9.09,154.49
2011,2,6,17,19.24,43.81,0,8.55,153.11
2011,2,6,18,18.15,48.19,0,7.82,139.95
2011,2,6,19,17.55,51.06,0,7.72,123.4
2011,2,6,20,17.13,53.12,0.01,7.83,115.85
2011,2,6,21,16.83,53.81,0.01,7.94,117.67
2011,2,6,22,16.8,52.44,0.01,8.39,125.98
2011,2,6,23,16.72,51.19,0.02,8.73,134.42
2011,2,7,0,16.51,51.62,0.04,8.95,138.47
2011,2,7,1,16.14,54.25,0.12,9.31,139.66
2011,2,7,2,15.88,56.69,0.23,10.44,141.53
2011,2,7,3,15.67,58.69,0.29,11.02,143.36
2011,2,7,4,15.15,62.25,0.32,10.51,144.77
2011,2,7,5,14.66,66,0.27,9.95,147.63
2011,2,7,6,14.1,70.06,0.16,9.47,150.92
2011,2,7,7,13.82,73.44,0.07,8.94,152.47
2011,2,7,8,14.07,74.75,0.05,7.98,151.48
2011,2,7,9,15.1,71.06,0.06,7.57,148.64
2011,2,7,10,16.48,66.12,0.3,8.05,147.03
2011,2,7,11,17.68,63.31,1.08,8.44,152.37
2011,2,7,12,18.47,62.31,1.71,8.12,161.25
2011,2,7,13,18.58,65.62,1.78,6.93,171.58
2011,2,7,14,18.17,72.69,1.38,5.18,186.15
2011,2,7,15,17.44,80.38,0.32,4.15,210.33
2011,2,7,16,16.62,87.06,0.13,3.8,232.42
2011,2,7,17,15.12,91.88,0.01,3.35,242.78
2011,2,7,18,14.78,90.06,0,2.22,246.59
2011,2,7,19,15.31,84.5,0,0.83,240.79
2011,2,7,20,14.21,89,0,1.43,83.11
2011,2,7,21,12.37,99.38,0,3.19,76.41
2011,2,7,22,11.26,100,0,4.21,71.4
2011,2,7,23,10.55,100,0,5.09,73.23
2011,2,8,0,10.11,100,0,5.86,79.39
2011,2,8,1,9.69,100,0,6.22,86.19
2011,2,8,2,9.19,98.38,0,5.97,91.42
2011,2,8,3,8.9,92,0,5.04,95.6
2011,2,8,4,9.23,83.06,0,3.56,99.48
2011,2,8,5,10.26,73.12,0,1.96,93.66
2011,2,8,6,10.38,70.62,0,1.21,38.95
2011,2,8,7,11.29,71.88,0,2.02,358.45
2011,2,8,8,13.76,63.88,0,2.34,334.29
2011,2,8,9,17.26,50,0,2.63,314.52
2011,2,8,10,19.94,36.5,0,2.72,306.94
2011,2,8,11,21.14,31.5,0,3.03,303.53
2011,2,8,12,21.84,28.75,0,3.45,302.79
2011,2,8,13,22.08,27.5,0,3.87,304.97
2011,2,8,14,21.92,27.12,0,4.16,310.05
2011,2,8,15,21.16,27.88,0,4.34,316.75
2011,2,8,16,18.72,37.81,0,4.52,321.11
2011,2,8,17,14.26,50,0,4.94,323.04
2011,2,8,18,12.9,51.69,0,5.09,326.58
2011,2,8,19,12.02,52.94,0,5.02,331.04
2011,2,8,20,11.26,54.12,0,4.85,336.16
2011,2,8,21,10.59,55.06,0,4.71,341.11
2011,2,8,22,9.9,56.19,0,4.7,342.68
2011,2,8,23,9.17,57.69,0,4.86,339.67
2011,2,9,0,8.45,59.5,0,5.17,336.19
2011,2,9,1,7.78,61,0,5.66,334.25
2011,2,9,2,7.26,61.44,0,6.33,334.04
2011,2,9,3,6.9,60.44,0,6.48,333.96
2011,2,9,4,6.62,58.38,0,5.96,331.52
2011,2,9,5,6.46,55.75,0,5.1,326.87
2011,2,9,6,6.4,53.62,0,4.18,318.48
2011,2,9,7,9.42,48.5,0,3.35,311.6
2011,2,9,8,12.68,35.81,0,2.01,306.96
2011,2,9,9,16.9,28.5,0,2.52,310.6
2011,2,9,10,20.32,22.44,0,2.89,305.2
2011,2,9,11,21.92,20.25,0,2.94,295.54
2011,2,9,12,22.99,18.69,0,2.99,291.13
2011,2,9,13,23.54,17.81,0,3.39,288.52
2011,2,9,14,23.43,17.75,0,3.34,288.39
2011,2,9,15,22.62,19,0,3.99,286.48
2011,2,9,16,19.41,31.81,0,5.12,289.35
2011,2,9,17,14.76,41.75,0,5.47,301.81
2011,2,9,18,13.45,43.31,0,5.41,314.59
2011,2,9,19,12.76,43.81,0,5.14,324.04
2011,2,9,20,12.48,43.38,0,4.5,332.81
2011,2,9,21,12.44,42.81,0,3.92,340.81
2011,2,9,22,12.05,43.56,0,3.83,350.5
2011,2,9,23,11.26,45.25,0,4.05,357.35
2011,2,10,0,10.83,45.88,0,4.15,1.51
2011,2,10,1,10.29,45.62,0,3.95,358.41
2011,2,10,2,10.08,45.38,0,3.83,348
2011,2,10,3,10.13,45.38,0,3.91,340.73
2011,2,10,4,10.01,45.31,0,4.03,339.46
2011,2,10,5,9.89,45.06,0,3.97,338.53
2011,2,10,6,9.78,45.06,0,3.66,337.11
2011,2,10,7,11.62,43.62,0,3.19,334
2011,2,10,8,14.48,31.06,0,2.14,323.3
2011,2,10,9,18.19,24.19,0,2.91,309.88
2011,2,10,10,21.36,18.94,0,3.23,307.42
2011,2,10,11,22.41,17.69,0,3.01,294.04
2011,2,10,12,22.81,17.06,0,3.07,282.34
2011,2,10,13,23.04,16.62,0,3.29,275.05
2011,2,10,14,22.94,16.62,0,3.31,272.98
2011,2,10,15,22.21,17.94,0,3.14,276.28
2011,2,10,16,19.34,34.88,0,3.4,282.76
2011,2,10,17,16,37.44,0,3.8,292.5
2011,2,10,18,14.65,37.94,0,4.01,308.28
2011,2,10,19,13.58,39,0,4.18,324.82
2011,2,10,20,12.6,39.62,0,4.27,332.45
2011,2,10,21,11.87,40.62,0,4.06,333.83
2011,2,10,22,11.34,41.5,0,3.8,337.91
