YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS50M,WD50M
2011,2,1,5,8.12,85.62,0,6.78,280.29
2011,2,1,6,8.61,82.38,0,6.93,271.87
2011,2,1,7,11.05,69.94,0,5.29,264.15
2011,2,1,8,14.4,57.5,0,3.8,256.19
2011,2,1,9,19.76,39.12,0,6.32,279.32
2011,2,1,10,22.79,30.75,0,6.93,284.76
2011,2,1,11,24.12,27.94,0,6.41,287.75
2011,2,1,12,25,26,0,5.7,290.8
2011,2,1,13,25.37,24.88,0,5.14,293.76
2011,2,1,14,25.02,25,0,5.14,294.34
2011,2,1,15,23.76,28.56,0,5.4,291.82
2011,2,1,16,19.36,43.88,0,5.99,292.95
2011,2,1,17,16.19,49.75,0,6.56,295.62
2011,2,1,18,15.17,52.5,0,6.66,299.84
2011,2,1,19,14.24,55.62,0,6.48,303.5
2011,2,1,20,13.37,58.62,0,5.93,305.68
2011,2,1,21,12.57,61.56,0,5.43,307.69
2011,2,1,22,11.87,64.94,0,4.96,308.93
2011,2,1,23,11.24,68.25,0,4.59,310.03
2011,2,2,0,10.58,72.19,0,4.52,308.97
2011,2,2,1,9.93,76.31,0,4.63,307.87
2011,2,2,2,9.4,79.94,0,4.48,305.49
2011,2,2,3,8.98,83,0,4.16,299.36
2011,2,2,4,8.76,84.56,0,3.65,289.09
2011,2,2,5,8.57,85.56,0,3.22,277.52
2011,2,2,6,8.65,85,0,3.2,272.24
2011,2,2,7,11.7,69.62,0,2.84,270
2011,2,2,8,14.49,59.44,0,1.79,261.2
2011,2,2,9,19.7,42.5,0,2.64,266.26
2011,2,2,10,22.22,35.69,0,2.73,289.42
2011,2,2,11,23.33,33,0,2.85,308.44
2011,2,2,12,24.08,31.25,0,2.71,314.06
2011,2,2,13,24.38,30.19,0,2.53,310.37
2011,2,2,14,24.11,30.31,0,2.57,307.71
2011,2,2,15,22.98,34.62,0,2.74,309.22
2011,2,2,16,19.48,49.25,0,3.23,311.37
2011,2,2,17,16.95,50.69,0,4,314.68
2011,2,2,18,15.51,54.62,0,4.84,324
2011,2,2,19,14.47,57.44,0,5.32,333.32
2011,2,2,20,13.63,59.75,0,5.34,339.37
2011,2,2,21,12.95,62.06,0,4.87,342.93
2011,2,2,22,12.69,63,0,3.87,345.04
2011,2,2,23,12.87,61.94,0,2.82,339.91
2011,2,3,0,12.8,62.12,0,2.14,323.46
2011,2,3,1,12.14,64.94,0,2.06,305.74
2011,2,3,2,11.26,68.94,0,2.44,300.18
2011,2,3,3,10.21,74.12,0,2.87,301.74
2011,2,3,4,9.48,78,0,2.96,300.29
2011,2,3,5,8.8,81.69,0,3.03,291.33
2011,2,3,6,8.59,82.94,0,3.38,280.12
2011,2,3,7,11.58,68.31,0,3.23,274.44
2011,2,3,8,14.11,59,0,2.38,266.61
2011,2,3,9,18.46,43.44,0,2.6,275.69
2011,2,3,10,21.23,36.06,0,1.92,277.93
2011,2,3,11,22.34,33.88,0,1.28,270.35
2011,2,3,12,23.3,32.12,0,1.05,251.7
2011,2,3,13,23.79,31.44,0,0.93,245.6
2011,2,3,14,23.9,31.19,0,0.98,271.36
2011,2,3,15,22.95,36,0,1.45,306.87
2011,2,3,16,20.16,45.81,0,2.27,331.67
2011,2,3,17,17.87,48.19,0,3.12,341.88
2011,2,3,18,16.66,51.19,0,3.52,345.75
2011,2,3,19,16.02,52.19,0,3.42,343.68
2011,2,3,20,15.62,52.44,0,3.12,334.33
2011,2,3,21,15.07,54.12,0,3,321.88
2011,2,3,22,14.45,56.31,0,2.92,314.24
2011,2,3,23,13.99,58.06,0,2.62,310.77
2011,2,4,0,13.62,59.69,0,2.12,309.32
2011,2,4,1,13.15,61.88,0,1.69,305.97
2011,2,4,2,12.96,62.81,0,1.43,304.56
2011,2,4,3,12.17,66.25,0,1.47,309.38
2011,2,4,4,11.02,71.69,0,1.93,311.88
2011,2,4,5,10.05,76.75,0,2.64,308.87
2011,2,4,6,9.62,79.38,0,3.16,304.83
2011,2,4,7,12.71,65.75,0,2.9,298.43
2011,2,4,8,15.12,57.69,0,1.99,278.58
2011,2,4,9,19.51,43.94,0,2.53,273.72
2011,2,4,10,22.58,36,0,2.68,270.17
2011,2,4,11,24.19,32.62,0,2.63,267.78
2011,2,4,12,25.4,30.25,0,2.58,270.87
2011,2,4,13,26.05,28.88,0,2.65,273.71
2011,2,4,14,26.17,28.62,0,3.03,280.56
2011,2,4,15,24.69,38.44,0,3.43,291.66
2011,2,4,16,21.07,48.06,0,3.72,305.43
2011,2,4,17,19.05,48,0,3.92,317.34
2011,2,4,18,18.12,49.88,0,3.93,323.24
2011,2,4,19,17.37,51.44,0,3.84,322.43
2011,2,4,20,16.8,52.38,0,3.6,318.52
2011,2,4,21,16.36,53.81,0,3.26,309.26
2011,2,4,22,15.78,56,0,3.1,298.24
2011,2,4,23,15.12,58.69,0,3.04,290.3
2011,2,5,0,14.48,61.5,0,2.87,286.91
2011,2,5,1,14.12,63.38,0,2.49,289.46
2011,2,5,2,13.83,64.88,0,2.12,296.94
2011,2,5,3,13.39,66.88,0,1.82,300.96
2011,2,5,4,13.16,67.94,0,1.37,291.44
2011,2,5,5,13.09,68.25,0,1.09,263.43
2011,2,5,6,12.53,70.88,0,1.5,245.04
2011,2,5,7,14.51,63.81,0,1.93,247.9
2011,2,5,8,16.86,55.94,0,1.5,249.3
2011,2,5,9,20.76,44.5,0,1.44,255.21
2011,2,5,10,24.9,33.94,0,1.88,302.43
2011,2,5,11,26.41,30.44,0,2.14,321.54
2011,2,5,12,27.19,29.06,0,2,315.95
