YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS50M,WD50M
2011,2,1,5,5.63,86.12,0,6.71,304.08
2011,2,1,6,5.48,87.25,0,6.8,296.83
2011,2,1,7,8.33,74.12,0,5.7,289.1
2011,2,1,8,10.9,65.25,0,3.7,274.11
2011,2,1,9,14.66,55.44,0,3.58,268.37
2011,2,1,10,18.98,42.12,0,5.59,287.32
2011,2,1,11,20.7,38.12,0,5.43,289.95
2011,2,1,12,21.78,35.88,0,5.1,292.4
2011,2,1,13,22.33,34.56,0,5,293.2
2011,2,1,14,22.33,34.5,0,5.21,293.88
2011,2,1,15,21.37,40.31,0,5.21,295.99
2011,2,1,16,17.91,57.31,0,4.68,293.22
2011,2,1,17,14.83,57.56,0,4.66,288.28
2011,2,1,18,13.88,58.12,0,4.75,288.11
2011,2,1,19,13.05,59.19,0,4.88,290.15
2011,2,1,20,11.98,61.81,0,5.31,292.6
2011,2,1,21,10.94,64.62,0,5.92,295.21
2011,2,1,22,10.08,66.81,0,6.46,297.68
2011,2,1,23,9.31,68.88,0,6.46,300.75
2011,2,2,0,8.58,71,0,6.39,302.15
2011,2,2,1,7.9,73,0,6.21,300.47
2011,2,2,2,7.28,74.75,0,5.87,299.4
2011,2,2,3,6.73,76.31,0,5.58,299.9
2011,2,2,4,6.2,78.06,0,5.63,297.88
2011,2,2,5,5.73,79.69,0,5.95,291.58
2011,2,2,6,5.56,80.06,0,6.13,286.43
2011,2,2,7,8.75,66.12,0,5.03,286.43
2011,2,2,8,11.09,58.44,0,2.72,281.08
2011,2,2,9,13.44,55.25,0,1.28,260.48
2011,2,2,10,17.15,44.88,0,2.4,301.83
2011,2,2,11,20.73,34.69,0,3.54,312.14
2011,2,2,12,22.32,31.5,0,3.25,316.95
2011,2,2,13,22.97,30.56,0,2.85,321.9
2011,2,2,14,22.65,31.62,0,2.97,312.55
2011,2,2,15,21.14,42.88,0,3.3,303.8
2011,2,2,16,18.59,54.81,0,3.18,307.21
2011,2,2,17,17.05,46.75,0,2.9,320.14
2011,2,2,18,16.4,45.44,0,2.55,338.79
2011,2,2,19,15.62,46.19,0,2.1,354.01
2011,2,2,20,16.12,42.44,0,1.47,356.04
2011,2,2,21,15.68,42.5,0,1.01,334.23
2011,2,2,22,14.55,45.62,0,1.37,300.96
