YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS50M,WD50M
2011,2,1,6,9.76,68.75,0,5.2,271.29
2011,2,1,7,10.71,64.44,0,5.7,258.38
2011,2,1,8,13.68,53,0,4.88,250.64
2011,2,1,9,17.22,42.25,0,3.9,248.37
2011,2,1,10,22.69,27.25,0,6.16,270.95
2011,2,1,11,25,22.19,0,6.79,278.2
2011,2,1,12,26.22,19.88,0,6.78,286.05
2011,2,1,13,27.08,18.38,0,6.54,293.14
2011,2,1,14,27.37,17.62,0,6.14,297.28
2011,2,1,15,27.08,17.69,0,5.55,298.33
2011,2,1,16,25.86,19.38,0,5.07,298.66
2011,2,1,17,21.07,29.31,0,5.07,300.28
2011,2,1,18,18.1,33.38,0,5.31,299.81
2011,2,1,19,17.04,35.19,0,5.58,299.26
2011,2,1,20,16.06,37.06,0,5.73,300.66
2011,2,1,21,15.15,39.25,0,5.64,302.33
2011,2,1,22,14.29,41.62,0,5.37,304.68
2011,2,1,23,13.49,44.06,0,4.97,305.99
2011,2,2,0,12.75,46.75,0,4.64,307.68
2011,2,2,1,12.06,49.62,0,4.39,310.81
2011,2,2,2,11.42,52.75,0,4.17,313.71
2011,2,2,3,10.88,55.75,0,3.97,315.4
2011,2,2,4,10.63,57.75,0,3.48,313.73
2011,2,2,5,10.69,58.31,0,2.68,300.91
2011,2,2,6,10.39,59.81,0,2.29,271.17
2011,2,2,7,10.43,59.38,0,2.89,239.97
2011,2,2,8,13.64,47.44,0,3.12,227.13
2011,2,2,9,17.56,36.81,0,2.13,231.41
2011,2,2,10,23.07,25.12,0,2.23,269.8
2011,2,2,11,25.16,20.88,0,2.61,289.57
2011,2,2,12,26.21,18.69,0,2.57,302.34
2011,2,2,13,26.92,17.19,0,2.82,309.5
2011,2,2,14,27.1,16.5,0,3.34,315.47
2011,2,2,15,26.62,16.75,0,3.68,318.62
2011,2,2,16,25.28,19.31,0,3.63,323.67
2011,2,2,17,20.75,29.44,0,4.01,338.18
2011,2,2,18,17.98,33.38,0,4.59,346.82
2011,2,2,19,16.74,37.06,0,4.98,350.89
2011,2,2,20,15.74,40.88,0,5.08,353.9
2011,2,2,21,14.92,44.69,0,4.79,357.47
2011,2,2,22,14.33,48,0,4.21,0.96
2011,2,2,23,14.06,50.12,0,3.49,1.67
2011,2,3,0,14.1,51,0,2.56,1.05
2011,2,3,1,14.45,50.44,0,1.19,6.42
2011,2,3,2,14.26,51.19,0,0.51,173.85
2011,2,3,3,12.62,56.5,0,2.03,193.82
2011,2,3,4,11.28,60.5,0,3.05,204.07
