YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,PS,WS50M
2011,6,1,5,23.22,87.06,0.01,94.53,5.18
2011,6,1,6,24.47,79.94,0,94.58,4.91
2011,6,1,7,27.87,62.81,0,94.62,5.05
2011,6,1,8,30.62,52.69,0.01,94.62,3.79
2011,6,1,9,32.59,46.81,0.02,94.6,3.61
2011,6,1,10,34,42.94,0.04,94.56,3.94
2011,6,1,11,34.75,40.56,0.07,94.5,4.32
2011,6,1,12,34.88,39.5,0.08,94.42,4.52
2011,6,1,13,34.01,41,0.1,94.35,4.55
2011,6,1,14,33.15,43.25,0.1,94.32,4.55
2011,6,1,15,32.12,46,0.08,94.34,4.39
2011,6,1,16,31.08,48.88,0.09,94.38,4.25
2011,6,1,17,29.55,56.38,0.09,94.46,4.59
2011,6,1,18,27.94,65.5,0.1,94.51,5.42
2011,6,1,19,26.98,68.5,0.11,94.55,5.87
2011,6,1,20,26.2,72.69,0.12,94.59,5.56
2011,6,1,21,25.51,76.81,0.15,94.64,5.25
2011,6,1,22,24.87,80.56,0.18,94.68,5.09
2011,6,1,23,24.26,83.69,0.19,94.68,4.86
2011,6,2,0,23.82,86.62,0.18,94.66,4.26
2011,6,2,1,23.67,87.06,0.13,94.62,4.16
2011,6,2,2,23.52,87.25,0.08,94.57,4.52
2011,6,2,3,23.4,87.5,0.04,94.54,4.93
2011,6,2,4,23.27,88.25,0.01,94.53,4.88
2011,6,2,5,23.28,88.19,0,94.54,4.73
2011,6,2,6,24.32,82.38,0,94.59,4.83
2011,6,2,7,26.15,72.19,0,94.66,6.6
2011,6,2,8,28.02,62,0,94.71,7.52
2011,6,2,9,29.54,55.12,0.01,94.71,7.33
2011,6,2,10,30.87,49.88,0.02,94.66,6.82
2011,6,2,11,32.04,45.88,0.04,94.58,6.15
2011,6,2,12,32.69,44,0.04,94.49,5.66
2011,6,2,13,32.43,44.94,0.04,94.42,5.49
2011,6,2,14,31.47,48.25,0.04,94.39,5.43
2011,6,2,15,30.24,53.12,0.03,94.4,5.16
2011,6,2,16,28.99,58.62,0.02,94.46,4.63
2011,6,2,17,27.78,65.62,0.03,94.53,4.02
2011,6,2,18,26.7,73.5,0.04,94.61,3.89
2011,6,2,19,26.17,76.62,0.06,94.68,4.17
2011,6,2,20,25.73,79.06,0.06,94.73,4.54
2011,6,2,21,25.35,81,0.06,94.75,4.87
2011,6,2,22,24.98,82.5,0.05,94.75,5.24
2011,6,2,23,24.61,84,0.05,94.71,5.48
2011,6,3,0,24.26,85.44,0.04,94.65,5.5
2011,6,3,1,23.96,86.44,0.03,94.6,5.53
2011,6,3,2,23.69,86.81,0.01,94.57,5.51
2011,6,3,3,23.37,87.12,0,94.58,5.49
2011,6,3,4,23.04,87.81,0,94.6,5.54
2011,6,3,5,22.95,87.5,0,94.65,5.49
2011,6,3,6,23.99,80.69,0,94.72,6.04
2011,6,3,7,25.65,69.94,0,94.77,7
2011,6,3,8,27.44,60.06,0,94.78,7.05
2011,6,3,9,29.04,52.88,0,94.78,6.82
2011,6,3,10,30.29,48.69,0.01,94.77,6.48
2011,6,3,11,30.91,47.25,0.01,94.73,6.08
2011,6,3,12,30.77,48.12,0.01,94.66,5.71
2011,6,3,13,30.26,50.38,0.01,94.59,5.26
2011,6,3,14,29.66,53.38,0.01,94.54,4.82
2011,6,3,15,29.07,56.56,0.01,94.53,4.68
2011,6,3,16,28.28,60.62,0,94.56,4.59
2011,6,3,17,27.19,67.62,0,94.62,4.16
2011,6,3,18,26.05,76.38,0,94.7,3.95
2011,6,3,19,25.59,79.19,0,94.76,3.98
2011,6,3,20,25.24,81.44,0,94.8,3.96
2011,6,3,21,24.91,83.69,0,94.8,3.75
2011,6,3,22,24.62,85.25,0,94.75,3.7
2011,6,3,23,24.37,85.75,0,94.69,4.15
2011,6,4,0,24.15,85.81,0,94.64,4.98
2011,6,4,1,23.9,86.19,0,94.59,5.53
2011,6,4,2,23.6,87.38,0,94.57,5.68
2011,6,4,3,23.29,88.75,0,94.58,5.67
2011,6,4,4,23.04,89.88,0,94.6,5.53
2011,6,4,5,23.04,89.81,0,94.64,5.25
2011,6,4,6,24.52,81.06,0,94.7,5.79
2011,6,4,7,26.88,67.88,0,94.75,7.02
2011,6,4,8,29.22,57.06,0,94.77,7.2
2011,6,4,9,31.16,49.62,0.01,94.75,7.04
2011,6,4,10,32.84,43.75,0.03,94.68,6.77
2011,6,4,11,34.31,39.12,0.07,94.56,6.71
2011,6,4,12,35.39,36.06,0.11,94.46,6.96
2011,6,4,13,35.82,34.75,0.15,94.36,7.71
2011,6,4,14,34.76,36.94,0.17,94.33,8.93
2011,6,4,15,32.79,42.25,0.16,94.36,9.7
2011,6,4,16,30.94,48,0.12,94.42,9.49
2011,6,4,17,29.25,54.38,0.08,94.5,8.41
2011,6,4,18,27.48,63.75,0.08,94.57,7.09
2011,6,4,19,26.65,68.94,0.05,94.64,6.69
2011,6,4,20,26.07,71.88,0.01,94.69,6.7
2011,6,4,21,25.62,73.62,0,94.7,7.06
2011,6,4,22,25.06,75.81,0,94.7,7.33
2011,6,4,23,24.34,79.06,0,94.65,7.3
2011,6,5,0,23.6,82.69,0,94.58,6.96
2011,6,5,1,23.02,85.62,0,94.51,6.61
2011,6,5,2,22.59,87.81,0,94.48,6.35
2011,6,5,3,22.32,89.06,0,94.48,6.23
2011,6,5,4,22.13,89.81,0,94.51,6.15
2011,6,5,5,22.17,89.5,0,94.59,5.97
2011,6,5,6,23.73,81.38,0,94.67,7.13
2011,6,5,7,26.14,68.5,0,94.73,8.96
2011,6,5,8,28.58,56.25,0,94.75,9.52
2011,6,5,9,30.58,47.88,0,94.73,9.55
2011,6,5,10,32.23,42.5,0,94.68,9.28
2011,6,5,11,33.51,38.88,0,94.59,8.96
2011,6,5,12,34.47,36.56,0,94.5,8.8
2011,6,5,13,34.93,35.56,0.01,94.42,8.78
2011,6,5,14,34.95,35.56,0,94.37,8.89
2011,6,5,15,34.3,37,0,94.36,9.14
2011,6,5,16,33.08,40,0,94.41,9.35
2011,6,5,17,31.3,45.56,0,94.48,9.09
2011,6,5,18,29,54.62,0,94.58,8.61
2011,6,5,19,27.89,59.88,0,94.66,8.25
2011,6,5,20,27.03,64.5,0,94.74,7.55
2011,6,5,21,26.39,68.31,0,94.77,7.08
2011,6,5,22,25.79,71.81,0,94.75,6.81
2011,6,5,23,25.22,75.06,0,94.67,6.67
2011,6,6,0,24.66,78.38,0,94.59,6.46
2011,6,6,1,24.16,81.5,0,94.51,6.18
2011,6,6,2,23.72,84.38,0,94.47,5.69
2011,6,6,3,23.35,87,0,94.48,5.2
2011,6,6,4,23.04,89.25,0,94.51,4.87
2011,6,6,5,22.99,89.94,0,94.57,4.62
2011,6,6,6,24.2,84,0,94.67,4.98
2011,6,6,7,26.37,72.44,0,94.74,7.49
2011,6,6,8,28.65,59.19,0.01,94.76,8.97
2011,6,6,9,30.62,48.62,0.01,94.76,9.3
2011,6,6,10,32.32,42.31,0.15,94.71,8.93
2011,6,6,11,33.61,38.38,0.45,94.61,8.71
2011,6,6,12,34.44,35.88,0.54,94.5,8.73
2011,6,6,13,34.7,34.62,0.65,94.4,8.93
2011,6,6,14,34.43,34.62,0.71,94.36,9.2
2011,6,6,15,33.64,36,0.69,94.39,9.33
2011,6,6,16,32.08,40.19,0.42,94.46,9.41
2011,6,6,17,29.69,48.31,0.29,94.56,9.49
2011,6,6,18,27.38,55.75,0.26,94.67,9.55
2011,6,6,19,26.05,60.25,0.18,94.75,9.13
2011,6,6,20,24.96,65.25,0.07,94.8,8.3
2011,6,6,21,24.06,70.5,0.04,94.83,7.63
2011,6,6,22,23.45,74.81,0.07,94.8,7.34
2011,6,6,23,22.96,78.88,0.17,94.74,7.18
2011,6,7,0,22.48,82.88,0.28,94.67,6.96
2011,6,7,1,22.07,85.75,0.27,94.59,6.82
2011,6,7,2,21.76,87.75,0.16,94.54,6.59
2011,6,7,3,21.48,89.75,0.08,94.53,6.16
2011,6,7,4,21.35,91,0.05,94.57,5.54
2011,6,7,5,21.6,90.31,0.04,94.66,4.9
2011,6,7,6,22.62,84.38,0.05,94.75,4.35
2011,6,7,7,24.59,72.31,0.05,94.82,6.5
2011,6,7,8,26.92,56.94,0.01,94.84,8.05
2011,6,7,9,29.18,45.31,0.01,94.83,8.57
2011,6,7,10,31.25,38,0.01,94.77,8.61
2011,6,7,11,32.71,33.69,0,94.68,8.68
2011,6,7,12,33.77,30.69,0,94.59,8.71
2011,6,7,13,34.66,28.19,0,94.48,8.68
2011,6,7,14,35.3,26.44,0,94.42,8.82
2011,6,7,15,35.12,26.31,0,94.4,9.09
2011,6,7,16,33.98,28.31,0,94.44,9.24
2011,6,7,17,31.26,36.38,0.01,94.54,9.05
2011,6,7,18,28,47.38,0.01,94.67,9.32
2011,6,7,19,26.67,52.06,0,94.78,9.23
2011,6,7,20,25.59,57.12,0,94.85,8.7
2011,6,7,21,24.63,62.5,0,94.87,8.03
2011,6,7,22,23.86,67,0,94.84,7.66
2011,6,7,23,23.38,69.94,0,94.77,7.57
2011,6,8,0,23.15,71.88,0,94.7,7.55
2011,6,8,1,22.86,74.56,0,94.64,7.43
2011,6,8,2,22.48,78,0,94.61,7.17
2011,6,8,3,22.13,81.31,0,94.63,6.96
2011,6,8,4,21.85,84.31,0,94.67,6.81
2011,6,8,5,21.83,85.56,0,94.71,6.63
2011,6,8,6,22.92,80.62,0,94.77,6.2
2011,6,8,7,24.97,68.69,0,94.81,7.58
2011,6,8,8,27.49,52.75,0,94.83,8.91
2011,6,8,9,29.77,40.81,0.06,94.81,9.94
2011,6,8,10,31.55,34.38,0.14,94.74,10.23
2011,6,8,11,32.94,31,0.16,94.65,9.94
2011,6,8,12,33.87,29.19,0.17,94.54,9.65
2011,6,8,13,34.36,28.5,0.17,94.46,9.43
2011,6,8,14,34.36,28.88,0.14,94.4,9.47
2011,6,8,15,34.06,30.06,0.12,94.38,9.68
2011,6,8,16,33.05,33,0.1,94.41,9.88
2011,6,8,17,30.73,40.38,0.08,94.49,9.7
2011,6,8,18,27.8,51.44,0.06,94.59,9.73
2011,6,8,19,26.59,56.5,0.04,94.67,9.5
2011,6,8,20,25.4,62.06,0.03,94.73,8.63
2011,6,8,21,24.39,66.94,0.01,94.75,8.04
2011,6,8,22,23.6,70.81,0,94.73,7.64
2011,6,8,23,22.98,74.19,0,94.66,7.42
2011,6,9,0,22.52,77.25,0,94.58,7.27
2011,6,9,1,22.12,80.56,0,94.51,7.11
2011,6,9,2,21.71,84,0,94.48,6.88
2011,6,9,3,21.33,87.19,0,94.5,6.53
2011,6,9,4,21.07,89.75,0,94.53,6.24
2011,6,9,5,21.25,89.81,0,94.6,6.03
2011,6,9,6,23.05,81.81,0,94.68,5.96
2011,6,9,7,26.2,67.75,0,94.74,8.01
2011,6,9,8,29.18,53.5,0,94.76,8.84
2011,6,9,9,31.58,43.06,0,94.75,8.75
2011,6,9,10,33.15,37.44,0,94.69,8.16
2011,6,9,11,34.15,34.44,0,94.61,7.65
2011,6,9,12,34.73,32.81,0.02,94.51,7.29
2011,6,9,13,35.04,31.81,0.02,94.44,7.13
2011,6,9,14,35.08,31.25,0.01,94.37,7.21
2011,6,9,15,34.83,31.38,0.01,94.34,7.42
2011,6,9,16,34.08,32.88,0,94.35,7.7
2011,6,9,17,31.89,40.31,0,94.41,7.97
2011,6,9,18,29.21,50.69,0.01,94.49,8.96
2011,6,9,19,28.11,55.81,0.01,94.57,9.1
2011,6,9,20,27,61.38,0,94.64,8.54
2011,6,9,21,26.09,66.06,0,94.69,7.81
2011,6,9,22,25.33,70.19,0,94.69,7.36
2011,6,9,23,24.71,73.69,0,94.64,7.21
2011,6,10,0,24.21,76.69,0,94.59,7.14
2011,6,10,1,23.78,79.38,0,94.54,7.02
2011,6,10,2,23.45,81.62,0,94.52,6.99
2011,6,10,3,23.18,83.5,0,94.52,6.92
2011,6,10,4,22.94,85.25,0,94.56,6.8
2011,6,10,5,22.84,86.06,0,94.6,6.63
2011,6,10,6,24.15,79.62,0,94.67,7.35
2011,6,10,7,26.43,66.69,0,94.72,9.34
2011,6,10,8,28.83,53.81,0,94.74,10.14
2011,6,10,9,31.05,45.25,0,94.71,10.33
2011,6,10,10,32.9,40.06,0,94.66,10.21
2011,6,10,11,34.1,37.31,0,94.57,10.07
2011,6,10,12,34.61,36.38,0,94.49,9.89
2011,6,10,13,33.79,38.44,0,94.44,9.7
2011,6,10,14,32.28,42.62,0,94.43,9.48
2011,6,10,15,31.24,46.06,0,94.45,9.12
2011,6,10,16,30.51,48.44,0,94.47,8.51
2011,6,10,17,29.48,52.44,0,94.53,7.67
2011,6,10,18,28.12,58.62,0,94.58,7.52
2011,6,10,19,27.41,61.94,0,94.63,7.37
2011,6,10,20,26.82,64.75,0,94.68,7.19
2011,6,10,21,26.31,67.44,0,94.7,7.15
2011,6,10,22,25.92,69.62,0,94.7,7.52
2011,6,10,23,25.39,73,0,94.63,7.62
2011,6,11,0,24.86,76.62,0,94.55,7.55
2011,6,11,1,24.42,79.5,0,94.48,7.51
2011,6,11,2,24.08,81.75,0,94.46,7.26
2011,6,11,3,23.76,83.44,0,94.47,7.03
2011,6,11,4,23.51,84.44,0,94.52,6.83
2011,6,11,5,23.38,84.69,0,94.6,6.64
2011,6,11,6,24.14,80.38,0,94.68,7.1
2011,6,11,7,25.69,71.25,0,94.75,8.57
2011,6,11,8,27.84,59,0,94.79,9.25
2011,6,11,9,30.39,47,0,94.77,9.4
2011,6,11,10,32.9,38,0,94.7,9.21
2011,6,11,11,34.94,32.62,0,94.6,9.13
2011,6,11,12,36.23,30,0,94.5,9.25
2011,6,11,13,36.57,29.12,0,94.41,9.41
2011,6,11,14,35.85,29.81,0,94.38,9.7
2011,6,11,15,34.76,31.5,0,94.39,9.85
2011,6,11,16,33.44,34.31,0,94.44,9.63
2011,6,11,17,31.79,39.19,0,94.53,9.19
2011,6,11,18,29.98,45.81,0,94.62,8.74
2011,6,11,19,29.05,49.94,0,94.71,8.73
2011,6,11,20,28.2,53.88,0,94.78,8.28
2011,6,11,21,27.26,58.25,0,94.82,7.35
2011,6,11,22,26.47,62,0,94.8,7.04
2011,6,11,23,25.76,65.5,0,94.72,6.78
2011,6,12,0,25.1,69.06,0,94.63,6.5
2011,6,12,1,24.54,72.62,0,94.55,6.2
2011,6,12,2,24.05,75.94,0,94.52,5.88
2011,6,12,3,23.67,78.81,0,94.52,5.62
2011,6,12,4,23.36,81.44,0,94.56,5.57
2011,6,12,5,23.33,82.5,0,94.62,5.47
2011,6,12,6,24.29,78.94,0,94.71,5.65
2011,6,12,7,25.86,71.44,0,94.77,7.43
2011,6,12,8,27.8,61.75,0,94.81,8.4
2011,6,12,9,29.64,53.12,0,94.82,8.92
2011,6,12,10,31.15,46.75,0,94.79,9.07
2011,6,12,11,32.35,42.31,0,94.73,9.03
2011,6,12,12,33.11,39.69,0,94.65,8.89
2011,6,12,13,33.15,39.12,0,94.6,8.73
2011,6,12,14,32.86,39.56,0,94.56,8.52
2011,6,12,15,32.23,41.38,0,94.58,8.3
2011,6,12,16,31.42,44.06,0,94.62,7.86
2011,6,12,17,30.11,49.06,0,94.69,7.24
2011,6,12,18,28.56,56,0,94.76,6.87
2011,6,12,19,27.78,59.94,0,94.83,6.83
2011,6,12,20,27.02,64.06,0,94.88,7.17
2011,6,12,21,26.36,68.38,0,94.9,6.8
2011,6,12,22,25.83,72.06,0,94.88,6.47
2011,6,12,23,25.47,74.38,0,94.82,7.1
2011,6,13,0,25.12,76.38,0,94.75,7.54
2011,6,13,1,24.75,78.19,0,94.68,7.98
