YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,PS,WS50M
2011,6,1,5,22.94,96.56,0.27,94.57,6.41
2011,6,1,6,23.34,95.69,0.22,94.64,5.31
2011,6,1,7,24.06,92.81,0.25,94.7,5.54
2011,6,1,8,24.8,87,0.41,94.76,6.51
2011,6,1,9,25.58,80.75,0.81,94.79,7.26
2011,6,1,10,26.31,76.06,1.5,94.77,7.52
2011,6,1,11,26.92,72.44,1.83,94.7,7.46
2011,6,1,12,27.16,70.75,2.23,94.61,7.37
2011,6,1,13,27.01,70.94,2.26,94.54,7.54
2011,6,1,14,26.59,72.31,2.27,94.52,7.81
2011,6,1,15,25.87,75,2.19,94.53,8.12
2011,6,1,16,24.88,80.19,2.02,94.58,7.44
2011,6,1,17,23.8,87.38,1.82,94.64,6.33
2011,6,1,18,22.99,93.38,1.91,94.69,5.59
2011,6,1,19,22.85,95.88,1.85,94.72,5.01
2011,6,1,20,23,96.75,1.68,94.74,5.05
2011,6,1,21,23.15,97.44,1.23,94.73,4.92
2011,6,1,22,23.27,97.75,1.21,94.7,4.91
2011,6,1,23,23.43,97.62,1.39,94.63,5.36
2011,6,2,0,23.65,96.88,1.51,94.53,6.51
2011,6,2,1,23.65,96.88,1.9,94.47,6.3
2011,6,2,2,23.57,96.94,2.25,94.45,6.14
2011,6,2,3,23.43,97.12,2.28,94.5,5.95
2011,6,2,4,23.18,97.12,1.88,94.58,6.04
2011,6,2,5,22.92,96.12,1.55,94.63,6.56
2011,6,2,6,22.94,94.75,1.22,94.67,5.93
2011,6,2,7,23.33,93.06,1.05,94.7,5.92
2011,6,2,8,23.79,90.62,0.39,94.73,8.83
2011,6,2,9,24.19,89.06,0.45,94.73,10.98
2011,6,2,10,25.05,86.06,0.59,94.71,11.82
2011,6,2,11,25.83,80.94,0.69,94.67,11.67
2011,6,2,12,26.24,77.06,0.73,94.62,10.63
2011,6,2,13,26.38,75.5,0.83,94.52,9.54
2011,6,2,14,26.2,76.75,0.8,94.46,9.92
2011,6,2,15,25.32,82.19,0.77,94.45,10.45
2011,6,2,16,24.68,87.88,0.67,94.49,9.34
2011,6,2,17,24.08,92.75,0.63,94.58,8.05
2011,6,2,18,23.65,94.94,0.6,94.64,7.38
2011,6,2,19,23.39,95.5,0.56,94.76,6.77
2011,6,2,20,23.14,95.44,0.53,94.86,6.19
2011,6,2,21,22.85,95.38,0.41,94.91,5.7
2011,6,2,22,22.56,95.69,0.47,94.91,5.2
2011,6,2,23,22.25,96.12,0.46,94.86,5.25
2011,6,3,0,22.13,96,0.48,94.77,5.98
2011,6,3,1,22.12,96.56,0.59,94.68,5.89
2011,6,3,2,22.2,96.62,0.57,94.65,6.24
2011,6,3,3,22.17,96.69,0.54,94.64,6.14
2011,6,3,4,21.99,97.06,0.5,94.64,5.77
2011,6,3,5,21.81,97.31,0.47,94.67,5.2
2011,6,3,6,22.55,95.06,0.4,94.72,5.09
2011,6,3,7,23.69,89.94,0.35,94.79,6.57
2011,6,3,8,25.07,81.62,0.52,94.83,7.98
2011,6,3,9,26.16,75.31,0.56,94.85,8.84
2011,6,3,10,26.83,72,0.7,94.84,9.06
2011,6,3,11,26.99,70.94,0.8,94.81,8.68
2011,6,3,12,26.85,70.75,0.86,94.75,7.99
2011,6,3,13,26.33,72,0.8,94.67,7.32
2011,6,3,14,25.79,74.44,0.62,94.62,6.73
2011,6,3,15,25.26,77.81,0.6,94.6,6.33
2011,6,3,16,24.7,82.5,0.47,94.64,6.07
2011,6,3,17,23.97,88.69,0.43,94.68,5.56
2011,6,3,18,23.18,94.12,0.44,94.75,5.33
2011,6,3,19,22.87,95.75,0.37,94.8,5
2011,6,3,20,22.65,96.38,0.35,94.82,4.91
2011,6,3,21,22.51,96.25,0.35,94.83,5.55
2011,6,3,22,22.37,96.5,0.38,94.82,5.35
2011,6,3,23,22.17,97.25,0.4,94.79,4.82
2011,6,4,0,22.05,97.56,0.4,94.74,4.66
2011,6,4,1,22.02,97.69,0.33,94.7,4.86
2011,6,4,2,22.08,97.56,0.27,94.65,5.2
2011,6,4,3,22.16,97.5,0.21,94.62,5.37
2011,6,4,4,22.3,97.19,0.17,94.61,6.18
2011,6,4,5,22.44,96.94,0.15,94.65,6.19
2011,6,4,6,23.1,95.19,0.12,94.71,5.53
2011,6,4,7,24.23,90.25,0.13,94.78,6.51
2011,6,4,8,25.78,80.12,0.17,94.84,7.5
2011,6,4,9,27.24,71.75,0.2,94.83,7.81
2011,6,4,10,28.05,68.12,0.26,94.8,8.11
2011,6,4,11,28.28,66.94,0.42,94.75,8.55
2011,6,4,12,27.83,68.62,0.58,94.7,8.76
2011,6,4,13,27.32,70.56,0.71,94.63,8.25
2011,6,4,14,27.01,71.5,0.8,94.57,7.41
2011,6,4,15,26.65,72.44,0.76,94.54,7.21
2011,6,4,16,25.8,75.69,0.59,94.57,7.21
2011,6,4,17,24.45,82.44,0.52,94.64,6.81
2011,6,4,18,23.07,89.94,0.55,94.72,6.63
2011,6,4,19,22.57,92.88,0.46,94.79,6.52
2011,6,4,20,22.3,94.56,0.32,94.85,6.48
2011,6,4,21,22.18,95.5,0.24,94.88,6.47
2011,6,4,22,22.06,95.94,0.24,94.87,6.58
2011,6,4,23,21.84,95.81,0.2,94.81,6.57
2011,6,5,0,21.51,95.5,0.19,94.72,6.43
2011,6,5,1,21.13,95.94,0.17,94.63,5.89
2011,6,5,2,20.89,96.44,0.16,94.58,5.76
2011,6,5,3,20.73,96.75,0.15,94.57,5.57
2011,6,5,4,20.62,97.06,0.14,94.6,5.52
2011,6,5,5,20.67,97.06,0.14,94.66,5.47
2011,6,5,6,21.48,95.12,0.16,94.74,5.16
2011,6,5,7,22.8,90,0.21,94.81,6.32
2011,6,5,8,24.52,80.88,0.39,94.86,7.01
2011,6,5,9,26.32,72.81,0.53,94.86,7.44
2011,6,5,10,27.55,68.62,0.66,94.83,7.81
2011,6,5,11,28.1,67.56,0.74,94.78,8.05
2011,6,5,12,28.14,68.12,0.68,94.72,8.11
2011,6,5,13,27.93,69.88,0.53,94.66,8.22
2011,6,5,14,27.4,72.75,0.46,94.62,8.47
2011,6,5,15,26.72,75.69,0.42,94.61,8.59
2011,6,5,16,25.9,79.62,0.39,94.64,8.18
2011,6,5,17,24.77,86.38,0.37,94.68,7.1
2011,6,5,18,23.69,92.75,0.32,94.75,6.7
2011,6,5,19,23.31,95.25,0.29,94.8,6.58
2011,6,5,20,23.11,96.19,0.26,94.84,6.47
2011,6,5,21,23.08,96.06,0.24,94.86,6.79
2011,6,5,22,23.05,96.25,0.23,94.84,6.75
2011,6,5,23,23.01,96.56,0.23,94.77,6.84
2011,6,6,0,23.02,96.75,0.25,94.68,7.22
2011,6,6,1,23.05,96.75,0.28,94.62,7.43
2011,6,6,2,23.01,96.38,0.3,94.58,7.7
2011,6,6,3,22.82,96.19,0.31,94.59,7.7
2011,6,6,4,22.6,96.06,0.31,94.62,7.75
2011,6,6,5,22.38,96.06,0.34,94.67,7.89
2011,6,6,6,22.78,94.25,0.29,94.75,7.59
2011,6,6,7,23.6,89.44,0.34,94.82,7.41
2011,6,6,8,24.82,79.62,0.35,94.86,7.58
2011,6,6,9,26.14,70.19,0.42,94.88,7.55
2011,6,6,10,27.01,65.44,0.43,94.86,7.43
2011,6,6,11,27.48,64.06,0.5,94.81,7.36
2011,6,6,12,27.61,64.56,0.54,94.73,7.43
2011,6,6,13,27.48,66.38,0.51,94.67,7.47
2011,6,6,14,27.08,68.88,0.54,94.62,7.57
2011,6,6,15,26.45,72.31,0.53,94.61,7.7
2011,6,6,16,25.52,77.75,0.47,94.65,7.39
2011,6,6,17,24.33,86.31,0.39,94.72,6.08
2011,6,6,18,23.3,93.88,0.28,94.81,5.2
2011,6,6,19,22.92,95.75,0.22,94.88,5.05
2011,6,6,20,22.69,96.31,0.17,94.92,4.91
2011,6,6,21,22.45,96.19,0.14,94.93,5.05
2011,6,6,22,22.17,96.06,0.12,94.91,4.92
2011,6,6,23,21.93,96.12,0.12,94.86,4.81
2011,6,7,0,21.74,96.12,0.14,94.79,4.84
2011,6,7,1,21.58,96.81,0.14,94.71,4.51
2011,6,7,2,21.52,97.19,0.12,94.66,4.49
2011,6,7,3,21.51,97.31,0.08,94.63,4.58
2011,6,7,4,21.51,97.56,0.05,94.64,4.72
2011,6,7,5,21.55,97.69,0.04,94.7,4.71
2011,6,7,6,22.39,95.38,0.04,94.78,4.6
2011,6,7,7,23.72,88.75,0.04,94.86,5.63
2011,6,7,8,25.45,75.75,0.02,94.91,6.85
2011,6,7,9,26.98,64.81,0.02,94.91,7.5
2011,6,7,10,28.06,58.81,0.07,94.87,7.64
2011,6,7,11,28.66,55.81,0.09,94.82,7.79
2011,6,7,12,28.9,53.94,0.14,94.75,8.08
2011,6,7,13,28.93,52.56,0.14,94.68,8.44
2011,6,7,14,28.42,53.44,0.09,94.64,8.78
2011,6,7,15,27.42,58.31,0.07,94.63,8.75
2011,6,7,16,26.16,66.94,0.06,94.65,8.08
2011,6,7,17,24.65,78.56,0.06,94.71,6.52
2011,6,7,18,23.03,90.19,0.05,94.77,5.33
2011,6,7,19,22.48,94.44,0.05,94.84,5.07
2011,6,7,20,22.2,96.44,0.06,94.9,4.7
2011,6,7,21,22.16,97,0.07,94.93,4.52
2011,6,7,22,22.17,97.44,0.08,94.92,4.64
2011,6,7,23,22.26,97.56,0.09,94.86,5.23
2011,6,8,0,22.3,97.88,0.1,94.79,5.49
2011,6,8,1,22.34,97.75,0.1,94.72,5.73
2011,6,8,2,22.35,97.69,0.09,94.68,5.9
2011,6,8,3,22.29,97.75,0.09,94.69,5.68
2011,6,8,4,22.21,97.62,0.09,94.73,5.67
2011,6,8,5,22.1,97.44,0.08,94.78,5.24
2011,6,8,6,22.69,95.69,0.08,94.83,4.37
2011,6,8,7,23.67,90.81,0.1,94.89,4.87
2011,6,8,8,25.37,79.19,0.05,94.92,5.79
2011,6,8,9,27.13,68.25,0.06,94.93,6.47
2011,6,8,10,28.28,64.06,0.07,94.88,6.73
2011,6,8,11,28.92,62.56,0.1,94.81,6.83
2011,6,8,12,29.15,62.19,0.1,94.72,6.98
2011,6,8,13,29.09,62.94,0.1,94.65,7.26
2011,6,8,14,28.37,65.69,0.07,94.61,7.5
2011,6,8,15,27.44,69.31,0.05,94.59,7.54
2011,6,8,16,26.38,74.12,0.04,94.61,7.23
2011,6,8,17,25.08,81.88,0.03,94.67,6.13
2011,6,8,18,23.8,90,0.02,94.74,5.58
2011,6,8,19,23.25,93.31,0.02,94.8,5.41
2011,6,8,20,22.9,94.94,0.01,94.83,5.11
2011,6,8,21,22.64,95.94,0.01,94.82,4.78
2011,6,8,22,22.41,96.5,0.01,94.79,4.63
2011,6,8,23,22.27,96.56,0.01,94.73,4.6
2011,6,9,0,22.15,96.75,0.02,94.66,4.65
2011,6,9,1,22.01,97.06,0.03,94.59,4.81
2011,6,9,2,21.88,97.69,0.03,94.56,4.9
2011,6,9,3,21.82,98,0.04,94.56,4.99
2011,6,9,4,21.83,98.25,0.04,94.59,5.27
2011,6,9,5,22.17,97.31,0.04,94.64,6.18
2011,6,9,6,23.14,94.5,0.04,94.71,6.18
2011,6,9,7,24.3,89.12,0.05,94.76,6.87
2011,6,9,8,25.55,81.12,0.4,94.79,7.03
2011,6,9,9,26.43,75,0.47,94.8,7.28
