YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,PS,WS50M
2011,6,1,5,24.83,91.44,0,98.06,5.44
2011,6,1,6,25.84,86.06,0,98.12,4.52
2011,6,1,7,27.45,76.56,0.1,98.18,5.46
2011,6,1,8,29.33,65.25,0.08,98.21,6.06
2011,6,1,9,30.95,56.75,0.31,98.22,6.23
2011,6,1,10,32.14,51.56,0.48,98.18,6.62
2011,6,1,11,32.84,48.81,0.63,98.12,6.97
2011,6,1,12,32.98,48.12,0.76,98.03,7.01
2011,6,1,13,32.63,49.31,0.79,97.95,7.14
2011,6,1,14,31.84,52.44,0.55,97.91,7.48
2011,6,1,15,30.78,57.06,0.42,97.92,7.93
2011,6,1,16,29.52,63,0.3,98,8.28
2011,6,1,17,27.96,71.44,0.18,98.1,7.69
2011,6,1,18,26.55,78.81,0.04,98.18,7.28
2011,6,1,19,25.79,82.5,0.01,98.23,6.4
2011,6,1,20,25.3,84.31,0,98.27,5.78
2011,6,1,21,24.97,85.75,0,98.28,5.12
2011,6,1,22,24.74,87.31,0,98.26,4.2
2011,6,1,23,24.55,87.69,0,98.19,3.91
2011,6,2,0,24.37,88,0,98.11,4.18
2011,6,2,1,24.22,89.44,0,98.04,4.17
2011,6,2,2,24.16,90.44,0.01,98.01,4.12
2011,6,2,3,24.15,91.44,0.01,98.02,3.96
2011,6,2,4,24.18,92.12,0.01,98.05,3.57
2011,6,2,5,24.26,92.62,0,98.12,2.73
2011,6,2,6,24.74,90.56,0,98.22,1.77
2011,6,2,7,26.54,79.75,0.01,98.27,4.21
2011,6,2,8,28.4,67.81,0,98.3,6.77
2011,6,2,9,29.93,58.12,0,98.3,8.65
2011,6,2,10,30.47,53.44,0,98.27,10.1
2011,6,2,11,30.15,53.81,0.01,98.18,10.85
2011,6,2,12,30.19,55.19,0.01,98.1,11.12
2011,6,2,13,30.49,55.62,0.01,98.02,10.67
2011,6,2,14,30.75,55.25,0.02,97.96,9.83
2011,6,2,15,30.49,56.12,0.03,97.95,9.06
2011,6,2,16,29.74,59.12,0.04,98,8.02
2011,6,2,17,28.14,67.62,0.05,98.1,6.55
2011,6,2,18,26.7,76.62,0.05,98.19,5.43
2011,6,2,19,26.25,79.75,0.05,98.28,5.1
2011,6,2,20,26.03,80.81,0.05,98.36,5.82
2011,6,2,21,25.87,82.19,0.04,98.41,6.36
2011,6,2,22,25.5,85.44,0.02,98.43,5.55
2011,6,2,23,25.12,88.19,0.01,98.38,4.52
2011,6,3,0,24.79,90.12,0.01,98.28,3.93
2011,6,3,1,24.52,91.38,0,98.22,3.96
2011,6,3,2,24.26,92.38,0,98.18,3.97
2011,6,3,3,24.06,93.12,0,98.19,3.81
2011,6,3,4,23.9,93.75,0,98.22,3.56
2011,6,3,5,23.84,93.75,0,98.25,3.19
2011,6,3,6,25.15,85.62,0,98.28,3.17
2011,6,3,7,27.26,72.38,0,98.33,5.42
2011,6,3,8,29.57,60.12,0.01,98.35,7.08
2011,6,3,9,31.68,51,0.08,98.33,7.87
2011,6,3,10,33.3,45.25,0.16,98.29,8.1
2011,6,3,11,34.04,42.69,0.2,98.22,8.15
2011,6,3,12,33.96,42.75,0.23,98.16,8.26
2011,6,3,13,32.78,46.12,0.25,98.12,8.02
2011,6,3,14,31.52,50.5,0.21,98.1,7.49
2011,6,3,15,30.43,54.5,0.16,98.1,6.8
2011,6,3,16,29.37,58.44,0.11,98.13,6.09
2011,6,3,17,28.09,64.56,0.06,98.19,5.29
2011,6,3,18,26.68,73.75,0.02,98.26,4.9
2011,6,3,19,26.05,76.81,0.01,98.31,4.97
2011,6,3,20,25.54,79.62,0.01,98.35,4.86
2011,6,3,21,25.23,82,0.01,98.37,4.79
2011,6,3,22,24.98,84.19,0.01,98.39,4.88
2011,6,3,23,24.78,86,0.01,98.37,5.07
2011,6,4,0,24.54,87.88,0,98.31,5.19
2011,6,4,1,24.37,89.06,0,98.23,4.92
