YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,PS,WS50M
2011,6,1,5,26.33,93.31,1.22,98.66,5.64
2011,6,1,6,26.56,92.81,1.15,98.72,6.04
2011,6,1,7,26.87,91.88,1.12,98.79,6.96
2011,6,1,8,27.13,90.69,1.05,98.88,8.18
2011,6,1,9,27.3,87.56,1.09,98.93,9.2
2011,6,1,10,27.28,83.62,1.18,98.91,9.08
2011,6,1,11,27.26,82,1.23,98.83,8.46
2011,6,1,12,27.58,80.81,1.41,98.76,8.29
2011,6,1,13,27.73,81.19,1.5,98.69,8.11
2011,6,1,14,27.58,83.25,1.63,98.67,8.14
2011,6,1,15,27.26,86.12,1.95,98.68,7.85
2011,6,1,16,26.98,89.12,1.98,98.69,7.41
2011,6,1,17,26.79,90.12,2.13,98.73,7.12
2011,6,1,18,26.55,90.56,2.55,98.78,6.53
2011,6,1,19,26.48,90.81,3.02,98.84,5.98
2011,6,1,20,26.47,90.88,3.31,98.88,5.88
2011,6,1,21,26.44,91.12,3.22,98.91,5.98
2011,6,1,22,26.35,91.19,3.02,98.92,6.58
2011,6,1,23,26.16,91.25,2.76,98.89,6.99
2011,6,2,0,25.93,91.44,2.82,98.81,7
2011,6,2,1,25.69,91.56,3.02,98.75,6.39
2011,6,2,2,25.43,92.06,3.23,98.7,5.09
2011,6,2,3,25.27,92.88,3.7,98.71,4.06
2011,6,2,4,25.24,93.25,3.96,98.72,3.33
2011,6,2,5,25.33,92.81,3.88,98.76,3.81
2011,6,2,6,25.63,92.06,3.65,98.83,5.32
2011,6,2,7,25.91,90.75,3.15,98.93,6.03
2011,6,2,8,26.19,88.5,2.58,99.01,6.18
2011,6,2,9,26.57,84.81,2.49,99.03,5.55
2011,6,2,10,26.94,82.44,2.78,98.99,4.4
2011,6,2,11,27.16,82.88,2.86,98.89,3.82
2011,6,2,12,27.26,84.62,3.01,98.78,4.39
2011,6,2,13,27.05,86.88,2.72,98.68,6.16
2011,6,2,14,26.83,87.75,2.31,98.67,8.14
2011,6,2,15,26.66,86.88,2.02,98.69,8.17
2011,6,2,16,26.54,85.81,1.83,98.73,7.19
2011,6,2,17,26.31,86.12,1.74,98.79,6.29
2011,6,2,18,25.94,87.62,1.76,98.89,6.18
2011,6,2,19,25.8,88.94,1.78,99,6.11
2011,6,2,20,25.75,90,1.77,99.09,5.88
2011,6,2,21,25.76,90.69,1.84,99.14,5.89
2011,6,2,22,25.78,90.81,2.03,99.13,6.03
2011,6,2,23,25.76,90.69,2.19,99.08,6.16
2011,6,3,0,25.71,90.62,2.34,99,6.27
2011,6,3,1,25.68,90.25,2.28,98.92,6.38
2011,6,3,2,25.62,90,2.26,98.87,6.18
2011,6,3,3,25.53,89.88,2.05,98.84,5.68
2011,6,3,4,25.41,89.75,1.65,98.84,4.93
2011,6,3,5,25.33,89.56,1.52,98.85,4.56
2011,6,3,6,25.68,89,1.34,98.91,4.35
2011,6,3,7,26.1,87.62,1.12,99,4.69
2011,6,3,8,26.48,85.56,1.66,99.06,5.34
2011,6,3,9,27.02,82.62,1.85,99.08,5.6
2011,6,3,10,27.41,81.12,2.03,99.06,5.67
2011,6,3,11,27.6,80.5,1.99,99.01,5.68
2011,6,3,12,27.73,79.75,1.96,98.94,5.7
2011,6,3,13,27.78,79.12,1.88,98.87,5.74
2011,6,3,14,27.66,79.25,1.71,98.83,5.9
2011,6,3,15,27.43,80.06,1.58,98.83,6.03
2011,6,3,16,27.03,82.62,1.54,98.86,5.92
2011,6,3,17,26.59,86.12,1.65,98.91,5.64
2011,6,3,18,26.19,88.5,1.85,98.97,5.88
2011,6,3,19,26.15,89.06,2.02,99.02,5.84
2011,6,3,20,26.18,89.12,2.12,99.04,5.78
2011,6,3,21,26.19,88.94,1.76,99.04,6.07
2011,6,3,22,26.18,89,1.37,99.01,6.08
2011,6,3,23,26.15,89,1.19,98.94,5.8
2011,6,4,0,26.12,89.12,1.12,98.88,5.86
2011,6,4,1,26.12,89,0.96,98.82,5.87
2011,6,4,2,26.12,88.94,0.87,98.8,5.55
2011,6,4,3,26.12,88.62,0.76,98.79,5.33
2011,6,4,4,26.04,88.38,0.61,98.8,5.08
2011,6,4,5,26.01,88.19,0.64,98.82,5.04
2011,6,4,6,26.48,87.62,0.53,98.87,5.12
2011,6,4,7,27.02,85.44,0.56,98.95,5.45
2011,6,4,8,27.44,82.62,0.62,99.02,5.81
2011,6,4,9,27.6,81.25,0.84,99.04,5.57
2011,6,4,10,27.39,82.06,1.17,99.04,5.69
2011,6,4,11,27.2,82.25,1.66,99.02,5.61
