YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,PS,WS50M
2011,6,1,5,24.55,91.81,0,98.03,4.67
2011,6,1,6,25.84,85.06,0,98.1,4
2011,6,1,7,27.51,74.69,0.04,98.17,4.97
2011,6,1,8,29.46,64.19,0.02,98.21,5.56
2011,6,1,9,31.3,55.5,0.11,98.22,5.75
2011,6,1,10,32.83,49.38,0.27,98.18,5.86
2011,6,1,11,33.69,46,0.42,98.1,5.78
2011,6,1,12,34.13,44.5,0.49,98,5.52
2011,6,1,13,34.19,44.44,0.41,97.91,5.49
2011,6,1,14,33.69,45.75,0.29,97.87,5.77
2011,6,1,15,32.75,48.25,0.32,97.88,6.39
2011,6,1,16,31.44,52.06,0.3,97.95,6.99
2011,6,1,17,29.41,60,0.25,98.06,7.16
2011,6,1,18,27.33,69.31,0.18,98.16,6.61
2011,6,1,19,26.3,75.06,0.15,98.23,5.41
2011,6,1,20,25.72,79.56,0.11,98.27,4.59
2011,6,1,21,25.34,82.69,0.07,98.3,4.72
2011,6,1,22,25.08,84.06,0.06,98.3,5.7
2011,6,1,23,24.88,87.06,0.08,98.26,6.69
2011,6,2,0,24.82,88.62,0.11,98.19,7.23
2011,6,2,1,24.7,88.88,0.09,98.1,7.38
2011,6,2,2,24.54,89.31,0.1,98.05,7.07
2011,6,2,3,24.43,89.75,0.14,98.06,6.66
2011,6,2,4,24.38,89.88,0.19,98.09,6.37
2011,6,2,5,24.36,90,0.2,98.15,6.01
2011,6,2,6,24.98,87,0.2,98.21,4.99
2011,6,2,7,26.77,78.06,0.18,98.28,7.07
2011,6,2,8,28.94,66.31,0.05,98.31,9.63
2011,6,2,9,30.37,57.25,0.02,98.3,10.76
2011,6,2,10,30.98,52.5,0.01,98.27,10.96
2011,6,2,11,31.16,51.06,0.01,98.2,10.56
2011,6,2,12,31.24,50.69,0.02,98.13,10.04
2011,6,2,13,31.16,51.12,0.01,98.06,9.43
2011,6,2,14,30.89,52,0.01,98.03,8.82
2011,6,2,15,30.35,53.75,0.01,98.03,8.58
2011,6,2,16,29.58,56.56,0.01,98.06,8.34
2011,6,2,17,28.28,63,0.01,98.14,7.62
2011,6,2,18,26.86,71.31,0.01,98.23,7.02
2011,6,2,19,26.23,75.81,0.02,98.32,6.42
2011,6,2,20,25.76,79.44,0.03,98.43,6.09
2011,6,2,21,25.46,82.19,0.03,98.47,5.9
2011,6,2,22,25.08,85.25,0.02,98.47,5.39
2011,6,2,23,24.7,88.12,0.01,98.4,4.88
2011,6,3,0,24.43,90.31,0.01,98.3,4.55
2011,6,3,1,24.35,91.44,0,98.23,3.84
2011,6,3,2,24.39,91.94,0,98.22,2.65
2011,6,3,3,24.42,91.75,0,98.22,1.97
2011,6,3,4,24.38,92.06,0,98.23,1.68
2011,6,3,5,24.2,93.38,0,98.27,1.47
