YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,PS,WS50M
2011,6,1,5,26.47,93.12,1.38,98.62,3.78
2011,6,1,6,26.64,92.12,1.28,98.67,2.48
2011,6,1,7,26.94,90.06,1.24,98.73,1.3
2011,6,1,8,27.21,88.38,0.41,98.8,1.17
2011,6,1,9,27.51,85,0.44,98.82,0.79
2011,6,1,10,28,82.12,0.45,98.76,0.56
2011,6,1,11,28.36,79.88,0.43,98.7,1.34
2011,6,1,12,28.54,78.25,0.46,98.65,1.76
2011,6,1,13,28.3,78.38,0.51,98.57,2.31
2011,6,1,14,27.9,79.88,0.55,98.52,2.93
2011,6,1,15,27.31,83.44,0.56,98.49,3.82
2011,6,1,16,26.79,88.12,0.59,98.47,4.5
2011,6,1,17,26.55,91.25,0.56,98.48,4.44
2011,6,1,18,26.52,92.69,0.59,98.5,4.93
2011,6,1,19,26.58,93,0.63,98.55,6.87
2011,6,1,20,26.59,92.5,0.66,98.65,8.44
2011,6,1,21,26.48,90.81,0.67,98.76,8.99
2011,6,1,22,26.19,90.38,0.64,98.86,8.78
2011,6,1,23,25.93,90.31,0.58,98.87,7.96
2011,6,2,0,25.71,90,0.55,98.79,7.14
2011,6,2,1,25.45,89.94,0.54,98.72,6.32
2011,6,2,2,25.19,90.12,0.57,98.67,5.22
2011,6,2,3,25.05,90.25,0.6,98.68,4.61
2011,6,2,4,24.94,90.44,0.65,98.74,4.1
2011,6,2,5,24.9,90.62,0.7,98.8,4.09
2011,6,2,6,25.24,89.62,0.74,98.87,4.17
2011,6,2,7,25.71,87.88,0.76,98.94,4.28
2011,6,2,8,26.3,84.56,2.57,98.98,4.8
2011,6,2,9,26.98,80.19,2.83,98.98,4.78
2011,6,2,10,27.4,78.5,3.12,98.95,4.56
2011,6,2,11,27.65,78.06,3.67,98.9,4.62
2011,6,2,12,27.66,78.44,4.38,98.85,5.08
2011,6,2,13,27.46,79.56,4.63,98.79,5.73
2011,6,2,14,27.22,81.19,3.96,98.75,6.46
2011,6,2,15,26.99,83.12,4.29,98.71,6.92
2011,6,2,16,26.74,85.56,3.77,98.74,7.15
2011,6,2,17,26.47,87,3.33,98.79,7.67
2011,6,2,18,26.19,87.38,3.09,98.87,8.32
2011,6,2,19,26.05,87.19,2.74,98.93,8.58
2011,6,2,20,25.92,87.44,2.46,99,8.11
2011,6,2,21,25.8,88.06,2.36,99.06,7.27
2011,6,2,22,25.7,88.44,2.41,99.07,6.57
2011,6,2,23,25.56,88.94,2.4,99.04,5.93
2011,6,3,0,25.41,89.38,2.4,98.96,5.7
2011,6,3,1,25.26,89.75,2.08,98.88,5.58
2011,6,3,2,25.17,89.94,1.84,98.83,5.48
2011,6,3,3,25.12,89.81,1.46,98.82,5.27
2011,6,3,4,25.13,89.31,1.02,98.82,4.88
2011,6,3,5,25.11,88.69,0.74,98.82,4.14
2011,6,3,6,25.68,87.06,0.62,98.85,3.61
2011,6,3,7,26.3,84.38,0.71,98.93,3.9
2011,6,3,8,27.02,81,0.81,98.99,5.04
2011,6,3,9,27.66,77.31,1.12,99.03,5.9
2011,6,3,10,28.1,75.62,1.44,99,6.35
2011,6,3,11,28.43,74.69,1.77,98.95,6.59
2011,6,3,12,28.46,74.5,1.63,98.88,6.74
2011,6,3,13,28.31,74.75,1.42,98.82,6.79
2011,6,3,14,28.02,76.06,1.26,98.79,6.76
2011,6,3,15,27.66,78,1.34,98.78,6.63
2011,6,3,16,27.22,81.19,1.45,98.81,6.05
2011,6,3,17,26.7,85.25,1.47,98.86,5.6
2011,6,3,18,26.27,88.06,1.82,98.92,5.67
2011,6,3,19,26.12,88.94,1.93,98.98,5.69
2011,6,3,20,26.01,89.25,1.79,98.99,5.36
2011,6,3,21,25.93,89.25,1.77,99,5.5
2011,6,3,22,25.83,89.25,1.67,98.97,5.32
2011,6,3,23,25.75,89.69,1.24,98.9,5.23
2011,6,4,0,25.74,89.81,1.04,98.81,5.58
2011,6,4,1,25.76,89.94,0.99,98.74,6
2011,6,4,2,25.79,89.75,1.03,98.69,6.06
2011,6,4,3,25.79,89.56,1.26,98.68,5.91
2011,6,4,4,25.76,89.38,1.31,98.71,5.78
2011,6,4,5,25.73,89.5,1.3,98.76,5.74
2011,6,4,6,26.19,88.25,1.5,98.82,5.71
2011,6,4,7,26.74,86.5,1.81,98.88,5.74
2011,6,4,8,27.4,83.06,1.74,98.92,6.23
2011,6,4,9,27.99,79.25,2.39,98.91,6.34
2011,6,4,10,28.42,77.56,2.62,98.89,6.5
2011,6,4,11,28.8,75.75,2.34,98.86,6.96
2011,6,4,12,29.05,74.19,2.2,98.8,7.21
2011,6,4,13,29.15,73.38,1.97,98.73,7.16
2011,6,4,14,29.08,73.12,1.79,98.69,7.16
2011,6,4,15,28.82,73.81,1.56,98.68,7.16
2011,6,4,16,28.37,76.12,1.46,98.71,6.9
2011,6,4,17,27.65,80.44,1.34,98.78,6.69
2011,6,4,18,26.8,84.62,1.21,98.84,6.85
2011,6,4,19,26.48,86.12,1.14,98.91,6.86
