YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,PS,WS50M
2011,6,1,5,24.62,89.31,0,96.95,6.12
2011,6,1,6,25.55,84.44,0,97,5.4
2011,6,1,7,26.97,76.25,0.06,97.06,6.34
2011,6,1,8,28.66,65.25,0.08,97.09,7.02
2011,6,1,9,30.11,56.94,0.24,97.09,7.06
2011,6,1,10,31.19,51.94,0.37,97.06,7.29
2011,6,1,11,31.84,49.31,0.5,97.01,7.37
2011,6,1,12,31.93,49,0.53,96.93,7.08
2011,6,1,13,31.57,50.44,0.56,96.86,6.82
2011,6,1,14,30.97,53.12,0.44,96.82,6.83
2011,6,1,15,30.15,56.88,0.32,96.83,7.03
2011,6,1,16,29.05,62.38,0.23,96.89,7.35
2011,6,1,17,27.55,71.06,0.19,96.98,6.9
2011,6,1,18,26.08,80,0.1,97.05,6.49
2011,6,1,19,25.35,84.25,0.04,97.11,6.16
2011,6,1,20,24.81,86.81,0.02,97.14,5.95
2011,6,1,21,24.42,88.31,0.01,97.16,5.49
2011,6,1,22,24.1,89.94,0.01,97.14,4.6
2011,6,1,23,23.87,91.38,0.01,97.07,3.79
2011,6,2,0,23.74,91.94,0.01,96.99,3.07
2011,6,2,1,23.65,92.31,0.01,96.95,2.83
2011,6,2,2,23.66,92.31,0.01,96.91,3.03
2011,6,2,3,23.69,92.38,0,96.9,2.72
2011,6,2,4,23.74,92.56,0,96.92,2.08
2011,6,2,5,23.83,92.69,0,96.99,1.37
2011,6,2,6,24.32,90.5,0,97.1,2.28
2011,6,2,7,25.83,82.44,0,97.17,4.67
2011,6,2,8,27.69,70.69,0,97.21,6.34
2011,6,2,9,29.24,60.69,0,97.19,8.16
2011,6,2,10,29.78,56.75,0.01,97.15,9.87
2011,6,2,11,29.32,58.56,0.01,97.05,10.79
2011,6,2,12,28.9,62.12,0.01,96.96,10.82
2011,6,2,13,29.08,63,0.01,96.88,9.87
2011,6,2,14,29.53,61.56,0.02,96.83,8.93
2011,6,2,15,29.6,60.88,0.02,96.83,8.1
2011,6,2,16,28.98,63.31,0.02,96.87,7.01
2011,6,2,17,27.25,72.94,0.03,96.98,5.67
2011,6,2,18,25.7,82.38,0.03,97.08,4.49
2011,6,2,19,25.08,86.81,0.04,97.16,3.91
2011,6,2,20,24.89,88.44,0.03,97.22,4.05
2011,6,2,21,24.82,89.44,0.03,97.27,4.64
2011,6,2,22,24.72,90.62,0.02,97.28,4.79
2011,6,2,23,24.55,91.75,0.01,97.22,4.6
2011,6,3,0,24.16,93.56,0.01,97.13,4.31
2011,6,3,1,23.83,94.69,0,97.08,4.28
2011,6,3,2,23.64,95,0,97.05,4.01
2011,6,3,3,23.48,95.19,0,97.06,3.75
2011,6,3,4,23.38,95.31,0,97.08,3.74
2011,6,3,5,23.37,95.06,0,97.12,3.66
2011,6,3,6,24.43,88.5,0,97.16,3.55
2011,6,3,7,26.27,77.25,0,97.21,4.83
2011,6,3,8,28.26,66.19,0.01,97.22,6.09
2011,6,3,9,30.04,57.38,0.04,97.22,6.85
2011,6,3,10,31.54,51.31,0.07,97.18,7.08
2011,6,3,11,32.57,47.56,0.09,97.12,7.1
2011,6,3,12,32.91,45.94,0.13,97.04,7.27
2011,6,3,13,32.15,47.69,0.12,96.99,7.43
2011,6,3,14,31.18,51,0.1,96.96,7.43
2011,6,3,15,30.3,54.31,0.08,96.96,7.06
2011,6,3,16,29.39,57.94,0.05,97,6.41
2011,6,3,17,28.11,64.25,0.03,97.06,5.45
2011,6,3,18,26.58,73.94,0.01,97.12,5.03
2011,6,3,19,25.98,77,0.01,97.18,4.92
2011,6,3,20,25.48,80,0.01,97.22,4.5
2011,6,3,21,25.02,82.94,0.01,97.23,4.25
2011,6,3,22,24.57,85.44,0.01,97.23,4.54
2011,6,3,23,24.19,87.38,0.01,97.21,5.02
2011,6,4,0,23.87,89.31,0,97.16,5.13
2011,6,4,1,23.63,91.12,0,97.1,4.87
2011,6,4,2,23.4,92.81,0,97.05,4.38
2011,6,4,3,23.21,94,0,97.03,3.82
2011,6,4,4,23.16,94.31,0,97.05,3.2
2011,6,4,5,23.21,94.12,0,97.08,2.83
2011,6,4,6,24.49,87,0,97.15,3.2
2011,6,4,7,27.12,73.69,0,97.21,5.53
2011,6,4,8,29.37,62.75,0.01,97.23,6.34
2011,6,4,9,31.19,54.94,0.07,97.2,6.43
2011,6,4,10,32.92,48.25,0.24,97.12,6.58
2011,6,4,11,34.37,43.12,0.32,97.02,7.06
2011,6,4,12,35.01,40.75,0.36,96.93,7.78
2011,6,4,13,34.66,41.38,0.33,96.85,8.33
2011,6,4,14,33.76,44.06,0.27,96.82,8.66
2011,6,4,15,32.65,47.62,0.22,96.82,8.34
2011,6,4,16,31.44,51.56,0.14,96.85,7.82
2011,6,4,17,29.81,58.19,0.11,96.92,7.38
