YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,PS,WS50M
2011,6,1,5,24.64,93.88,0,98.66,3.4
2011,6,1,6,25.87,86.75,0,98.72,3.56
2011,6,1,7,27.86,76.19,0.1,98.77,5.51
2011,6,1,8,29.87,65.44,0.09,98.8,6.11
2011,6,1,9,31.58,57.12,0.27,98.78,5.87
2011,6,1,10,33.06,51.25,0.44,98.75,5.73
2011,6,1,11,34.09,47.44,0.56,98.68,5.81
2011,6,1,12,34.57,45.38,0.62,98.58,5.85
2011,6,1,13,34.52,44.94,0.65,98.49,5.89
2011,6,1,14,34.01,45.94,0.47,98.44,6.39
2011,6,1,15,33.08,48.44,0.33,98.46,7.15
2011,6,1,16,31.71,53.56,0.22,98.53,7.89
2011,6,1,17,29.79,62.75,0.13,98.63,8.18
2011,6,1,18,28.05,71.44,0.04,98.73,8.27
2011,6,1,19,27.19,75.62,0.01,98.8,8.11
2011,6,1,20,26.61,78.06,0,98.86,7.71
2011,6,1,21,26.15,79.62,0,98.88,7.18
2011,6,1,22,25.73,81.31,0,98.88,6.17
2011,6,1,23,25.37,82.38,0,98.81,5.6
2011,6,2,0,25.1,83.25,0,98.75,5.34
2011,6,2,1,24.89,85.12,0,98.7,5.05
2011,6,2,2,24.88,86.94,0,98.67,5.15
2011,6,2,3,24.85,88.75,0,98.67,4.88
2011,6,2,4,24.82,89.75,0,98.69,5.29
2011,6,2,5,24.84,90.12,0,98.72,5.68
2011,6,2,6,25.26,87.94,0,98.79,6.43
2011,6,2,7,26.4,81.25,0,98.88,7.07
2011,6,2,8,28.38,70.12,0,98.92,7.65
2011,6,2,9,30.18,60,0,98.91,8.63
2011,6,2,10,31.7,52.06,0,98.86,9.63
2011,6,2,11,32.58,46.75,0.01,98.78,10.4
2011,6,2,12,32.33,45.88,0.01,98.69,10.85
2011,6,2,13,31.71,47.94,0.01,98.61,10.96
2011,6,2,14,31.39,50.38,0.01,98.56,10.66
2011,6,2,15,31.1,52.38,0.02,98.55,9.84
2011,6,2,16,30.55,55.06,0.02,98.61,8.5
2011,6,2,17,29.28,61.62,0.03,98.7,7.05
2011,6,2,18,27.84,69.88,0.03,98.8,6.08
2011,6,2,19,27.19,73.88,0.03,98.88,5.37
2011,6,2,20,26.72,75.81,0.03,98.96,5.69
2011,6,2,21,26.44,76.44,0.03,99,6.6
2011,6,2,22,26.03,78.88,0.02,99.02,6.82
2011,6,2,23,25.51,82.56,0.01,98.98,6.6
2011,6,3,0,25.08,85.62,0.01,98.89,6.06
2011,6,3,1,24.77,87.81,0,98.81,5.65
2011,6,3,2,24.64,89.06,0,98.8,5.21
2011,6,3,3,24.48,90.25,0,98.8,4.77
2011,6,3,4,24.38,91.06,0,98.83,4.51
2011,6,3,5,24.37,91.31,0,98.86,4.17
2011,6,3,6,25.15,87.25,0,98.91,3.79
2011,6,3,7,26.8,76.69,0,98.94,4.73
2011,6,3,8,28.8,64.75,0.01,98.96,6.17
2011,6,3,9,30.74,55.5,0.08,98.95,6.95
2011,6,3,10,32.49,48.62,0.15,98.92,7.04
2011,6,3,11,33.76,44.12,0.18,98.85,6.86
2011,6,3,12,34.19,42.31,0.21,98.76,6.88
2011,6,3,13,33.61,43.56,0.22,98.7,7.01
2011,6,3,14,32.4,47.56,0.16,98.68,6.97
2011,6,3,15,31.3,51.88,0.12,98.69,6.56
2011,6,3,16,30.11,56.81,0.09,98.73,5.89
2011,6,3,17,28.58,65.19,0.06,98.78,4.98
2011,6,3,18,27.26,74.5,0.03,98.86,4.76
2011,6,3,19,26.76,76.69,0.02,98.93,4.99
2011,6,3,20,26.35,78.31,0.02,98.97,5.23
2011,6,3,21,26.05,79.44,0.02,98.99,5.48
2011,6,3,22,25.79,80.81,0.01,98.99,5.57
2011,6,3,23,25.47,82.81,0.01,98.95,5.73
2011,6,4,0,25.16,84.94,0.01,98.89,5.96
2011,6,4,1,24.93,86.75,0,98.82,5.75
2011,6,4,2,24.71,88.44,0,98.76,5.08
2011,6,4,3,24.51,89.88,0,98.75,4.47
2011,6,4,4,24.33,90.94,0,98.77,4.09
2011,6,4,5,24.33,91.06,0,98.82,4
2011,6,4,6,25.52,84.88,0,98.89,3.99
2011,6,4,7,28.07,70.44,0,98.95,5.95
2011,6,4,8,30.28,59.88,0.01,98.96,6.6
2011,6,4,9,32.13,52.69,0.06,98.92,6.26
2011,6,4,10,33.84,46.88,0.27,98.83,6.09
2011,6,4,11,35.28,42.38,0.37,98.73,6.32
2011,6,4,12,36.2,39.56,0.49,98.62,6.73
2011,6,4,13,36.43,38.69,0.49,98.54,7.09
2011,6,4,14,35.87,39.81,0.39,98.49,7.68
2011,6,4,15,34.85,42.44,0.28,98.48,8.15
2011,6,4,16,33.48,46.88,0.14,98.53,8.03
2011,6,4,17,31.53,55.06,0.1,98.62,7.63
2011,6,4,18,29.6,64.12,0.07,98.72,7.47
2011,6,4,19,28.68,68.31,0.03,98.83,7.3
2011,6,4,20,27.82,72.5,0.02,98.89,7.09
2011,6,4,21,27.1,76.25,0.01,98.93,7.08
2011,6,4,22,26.45,79.56,0.01,98.92,6.99
2011,6,4,23,25.87,82.56,0,98.86,6.69
2011,6,5,0,25.38,84.94,0,98.78,6.42
2011,6,5,1,24.98,86.62,0,98.71,6.08
2011,6,5,2,24.62,87.81,0,98.68,5.68
2011,6,5,3,24.29,88.62,0,98.68,5.39
2011,6,5,4,24.02,88.75,0,98.71,5.17
2011,6,5,5,23.9,87.88,0,98.77,4.91
2011,6,5,6,25.08,79.06,0,98.85,4.94
2011,6,5,7,27.37,64.19,0,98.92,6.64
2011,6,5,8,29.87,53.56,0,98.94,7.65
2011,6,5,9,32.13,45.88,0,98.92,7.83
2011,6,5,10,34.08,40.88,0,98.86,7.56
2011,6,5,11,35.54,38.06,0,98.76,7.34
2011,6,5,12,36.2,37.31,0,98.66,7.45
2011,6,5,13,36.13,38.25,0,98.58,7.78
2011,6,5,14,35.51,40.25,0,98.54,8.29
2011,6,5,15,34.59,42.81,0,98.53,8.8
2011,6,5,16,33.52,45.69,0,98.57,8.99
2011,6,5,17,32.02,50.62,0,98.64,8.76
2011,6,5,18,30.37,56.88,0,98.73,8.72
2011,6,5,19,29.45,61.19,0,98.82,8.54
2011,6,5,20,28.59,66.5,0,98.9,7.98
2011,6,5,21,27.86,71.88,0,98.94,7.05
2011,6,5,22,27.29,76,0,98.92,6.38
2011,6,5,23,26.81,79.06,0,98.85,6.07
2011,6,6,0,26.4,81.31,0,98.76,5.87
2011,6,6,1,26.04,83.44,0,98.69,5.45
2011,6,6,2,25.69,85.44,0,98.65,4.93
2011,6,6,3,25.38,87.06,0,98.65,4.5
